"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Alabama","01",22327,21218,26282,31578,21507
"Alaska","02",31557,20247,40592,21837,25735
"Arizona","04",26070,21722,30112,26512,21347
"Arkansas","05",22179,21595,23664,25009,21458
"California","06",26997,26666,37210,31453,23083
"Colorado","08",30801,26148,35452,31889,25006
"Connecticut","09",33027,32007,40870,19481,30719
"Delaware","10",30173,28492,31208,31172,30050
"District of Columbia","11",40094,22264,52195,59482,32415
"Florida","12",24405,21915,27880,20839,21023
"Georgia","13",25371,21615,31171,30846,24076
"Hawaii","15",31072,30716,36285,31433,25947
"Idaho","16",23448,22185,24831,24792,21647
"Illinois","17",29006,28755,32959,22947,25862
"Indiana","18",25800,25660,26651,28451,22333
"Iowa","19",28060,28665,27192,27171,26241
"Kansas","20",27139,26526,30027,26173,24290
"Kentucky","21",22657,21862,25349,22738,21742
"Louisiana","22",24022,22671,28732,36106,22985
"Maine","23",25294,23626,28125,26323,21838
"Maryland","24",35342,28808,45145,38917,31819
"Massachusetts","25",31763,31384,40869,16511,28094
"Michigan","26",25360,25158,26364,23987,25048
"Minnesota","27",31035,30874,34621,29179,24793
"Mississippi","28",21458,20353,25165,35040,21440
"Missouri","29",25251,24407,26722,28255,24469
"Montana","30",24232,24283,24386,23084,21852
"Nebraska","31",27289,27490,29241,30335,23419
"Nevada","32",26900,22953,29230,25246,24802
"New Hampshire","33",31326,26792,35300,30171,30064
"New Jersey","34",32683,32120,41053,22904,29666
"New Mexico","35",22588,20373,27711,31577,18816
"New York","36",29429,30449,37071,19334,25327
"North Carolina","37",24914,21960,30321,26038,21682
"North Dakota","38",30609,31238,30105,22179,25995
"Ohio","39",25936,25804,26638,22034,25484
"Oklahoma","40",25302,24574,26739,30523,21992
"Oregon","41",25244,24078,26840,24663,21762
"Pennsylvania","42",26954,26720,30351,18019,25135
"Rhode Island","44",27375,28003,30956,14605,23350
"South Carolina","45",23454,20975,27632,27263,21762
"South Dakota","46",26916,27100,27099,24977,21264
"Tennessee","47",23189,21456,26364,27084,21733
"Texas","48",26287,25201,33961,29400,22102
"Utah","49",25983,25472,27921,30758,23613
"Vermont","50",26799,25469,30049,25862,20908
"Virginia","51",31147,24938,40453,40578,30576
"Washington","53",30376,27623,33515,30747,26528
"West Virginia","54",22247,21902,23548,29001,21697
"Wisconsin","55",27434,28054,27336,20681,23949
"Wyoming","56",29681,26524,31429,31633,22872
