"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3256766,497759,1028665,965935,478058,286349,2143805,358358,737082,628450,270911,149004,952770,95692,258115,304088,177042,117833,32284,1409,6528,11513,8556,4278,127907,42300,26940,21884,21549,15234
"Alaska","02",465149,33253,131987,169645,85634,44630,123013,12733,46901,41863,15856,5660,285685,11370,70364,110020,59213,34718,11189,297,2936,4786,2124,1046,45262,8853,11786,12976,8441,3206
"Arizona","04",4436226,618786,1079812,1515336,765784,456508,1011729,138930,284759,378234,146715,63091,2574384,174498,601785,965315,513852,318934,63063,6956,14953,21183,12755,7216,787050,298402,178315,150604,92462,67267
"Arkansas","05",1968414,288737,686786,571933,272411,148547,1080675,153504,408213,304629,144241,70088,758368,85142,246523,246577,114144,65982,13655,950,3068,5713,2842,1082,115716,49141,28982,15014,11184,11395
"California","06",25654292,4593525,5360853,7563244,5120162,3016508,10235915,901044,2425444,3875010,2043625,990792,5624629,364885,999798,1786807,1436895,1036244,348677,40959,63922,114394,84712,44690,9445071,3286637,1871689,1787033,1554930,944782
"Colorado","08",3584463,338882,783816,1087553,862158,512054,1073569,89792,298088,370097,217644,97948,1996484,89236,376095,618501,561676,350976,57690,4232,10669,19174,13752,9863,456720,155622,98964,79781,69086,53267
"Connecticut","09",2471818,245167,680274,606263,527472,412642,1175733,86461,382529,332475,228462,145806,769409,37806,157095,172301,210475,191732,105247,32761,32560,22921,9519,7486,421429,88139,108090,78566,79016,67618
"Delaware","10",640343,70667,199747,174048,116931,78950,232283,25593,91073,63797,35783,16037,327755,28042,93411,95290,62925,48087,12559,2399,3557,3618,1998,987,67746,14633,11706,11343,16225,13839
"District of Columbia","11",463211,45454,84213,78872,112706,141966,129241,15955,44977,38085,18077,12147,248647,12670,27143,28952,77201,102681,9172,396,804,540,3640,3792,76151,16433,11289,11295,13788,23346
"Florida","12",14041196,1795693,4151300,4263699,2448663,1381841,3073602,368304,994008,998265,483179,229846,6952573,559763,2010750,2255421,1329847,796792,516127,90010,140366,163544,84458,37749,3498894,777616,1006176,846469,551179,317454
"Georgia","13",6576408,943888,1869967,1851953,1199733,710867,3047848,512454,1058049,848608,411652,217085,2587670,184865,593593,813725,618610,376877,97511,8048,22351,30281,23359,13472,843379,238521,195974,159339,146112,103433
"Hawaii","15",974586,80889,277667,313691,200315,102024,446768,28852,154852,140662,87388,35014,274534,7535,49154,101037,69249,47559,33074,2505,8118,12606,6362,3483,220210,41997,65543,59386,37316,15968
"Idaho","16",1045193,103178,294862,385631,175108,86414,396212,29411,124522,156237,62121,23921,560652,38865,148844,211637,103912,57394,10139,515,1820,5407,1816,581,78190,34387,19676,12350,7259,4518
