"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Census Tract 114.19, Richland County, South Carolina","45079011419",31660,31325,34375,35833,18036
"Census Tract 114.17, Richland County, South Carolina","45079011417",34876,30208,38917,2499,20368
"Census Tract 114.13, Richland County, South Carolina","45079011413",43333,37142,47610,19914,58514
"Census Tract 108.17, Dorchester County, South Carolina","45035010817",42061,41632,42157,53472,52614
"Census Tract 204.04, Berkeley County, South Carolina","45015020404",37366,37500,37057,26458,48182
"Census Tract 619, York County, South Carolina","45091061900",25126,25709,24185,41875,13750
"Census Tract 612.01, York County, South Carolina","45091061201",30258,27029,34917,29130,17950
"Census Tract 609.01, York County, South Carolina","45091060901",25706,21417,31151,5402,20722
"Census Tract 609.04, York County, South Carolina","45091060904",35079,40217,31965,43512,18520
"Census Tract 211.11, Lexington County, South Carolina","45063021111",28120,30750,29522,27647,20216
"Census Tract 211.02, Aiken County, South Carolina","45003021102",23327,20118,26731,19010,61250
"Census Tract 209.02, Aiken County, South Carolina","45003020902",23738,26467,22845,40568,11406
"Census Tract 206.01, Aiken County, South Carolina","45003020601",41386,43651,39135,61705,50500
"Census Tract 210.19, Lexington County, South Carolina","45063021019",39205,34211,44423,83750,23333
"Census Tract 207.05, Lexington County, South Carolina","45063020705",23005,21150,26250,60977,19727
"Census Tract 108.13, Dorchester County, South Carolina","45035010813",30685,28544,31742,48844,31071
"Census Tract 9602.02, Saluda County, South Carolina","45081960202",21437,19612,24659,26467,22150
"Census Tract 212.03, Lexington County, South Carolina","45063021203",47025,45227,47546,66136,53145
"Census Tract 210.24, Lexington County, South Carolina","45063021024",40810,41128,41667,66510,22273
"Census Tract 9506.01, Newberry County, South Carolina","45071950601",25068,25394,22184,31442,23125
"Census Tract 108.20, Dorchester County, South Carolina","45035010820",35451,31673,41353,37821,32396
"Census Tract 108.16, Dorchester County, South Carolina","45035010816",37105,30822,44594,26218,56452
"Census Tract 501.02, Horry County, South Carolina","45051050102",28886,31991,30448,18269,25977
"Census Tract 223.03, Spartanburg County, South Carolina","45083022303",17344,16026,24191,32375,22188
"Census Tract 233.02, Spartanburg County, South Carolina","45083023302",21184,20050,23731,18542,22201
"Census Tract 234.04, Spartanburg County, South Carolina","45083023404",35079,34167,37527,81750,20799
"Census Tract 228.01, Spartanburg County, South Carolina","45083022801",29194,32306,27440,15150,26352
"Census Tract 106, Anderson County, South Carolina","45007010600",31250,31970,30741,32500,21382
"Census Tract 107, Anderson County, South Carolina","45007010700",21423,20231,20323,33214,26725
"Census Tract 2, Anderson County, South Carolina","45007000200",18320,18279,20101,2499,30200
