"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Manchester Township School District, New Jersey","3409450",43418,1120,3243,1950,2721,2914,3972,3328,1284,2042,9795,11049,26413,1000,2895,1540,1911,1886,2380,2195,855,1261,5177,5313,12713,120,308,265,500,657,1030,769,332,544,3575,4613,598,0,40,13,64,135,59,17,29,9,185,47,3694,0,0,132,246,236,503,347,68,228,858,1076
"Maple Shade Township School District, New Jersey","3409660",18940,1192,2301,1708,3571,2168,2499,1514,505,557,1518,1407,9921,1054,1806,1111,1641,1210,964,651,195,229,499,561,6692,53,422,448,1004,690,1242,695,268,310,825,735,384,0,30,14,161,33,52,6,0,6,69,13,1943,85,43,135,765,235,241,162,42,12,125,98
"Mahwah Township School District, New Jersey","3409330",26581,1165,3801,4347,2452,3047,3933,2019,647,744,2360,2066,12984,1015,2720,3112,1015,1036,1438,766,208,247,780,647,8202,117,677,904,523,851,1596,892,306,371,1011,954,260,1,46,28,0,11,63,18,0,24,36,33,5135,32,358,303,914,1149,836,343,133,102,533,432
"Manasquan Borough School District, New Jersey","3409420",5824,267,756,585,829,475,888,438,200,276,619,491,4101,261,627,457,503,294,622,285,125,199,405,323,1076,6,39,36,133,97,158,153,75,77,160,142,39,0,0,12,0,0,18,0,0,0,9,0,608,0,90,80,193,84,90,0,0,0,45,26
"Manville Borough School District, New Jersey","3409630",10436,635,1629,912,1580,1149,1434,843,353,286,762,853,6552,590,1397,697,850,593,865,529,136,198,350,347,1558,14,105,73,260,85,236,110,22,69,244,340,97,0,0,16,0,11,10,12,0,0,18,30,2229,31,127,126,470,460,323,192,195,19,150,136
"Matawan-Aberdeen Regional School District, New Jersey","3409750",27270,1484,4398,2073,4117,3577,4425,2166,689,781,2107,1453,14326,1246,3514,1480,2153,1454,1911,736,262,380,671,519,8474,227,821,357,1238,1257,1488,911,270,244,1012,649,277,0,34,0,35,34,60,50,29,13,22,0,4193,11,29,236,691,832,966,469,128,144,402,285
"Maywood Borough School District, New Jersey","3409810",9789,487,1435,822,1246,1277,1603,714,243,236,983,743,4838,413,1106,554,484,515,706,302,107,84,303,264,1958,39,182,168,227,204,325,193,49,81,284,206,187,0,0,33,5,27,54,27,20,7,13,1,2806,35,147,67,530,531,518,192,67,64,383,272
"Metuchen Borough School District, New Jersey","3409990",13940,865,2521,612,1573,2119,2190,1020,393,467,1205,975,7656,725,2075,514,827,920,891,487,182,226,520,289,3326,91,270,88,293,487,757,314,157,183,385,301,139,11,40,0,16,17,12,17,0,0,26,0,2819,38,136,10,437,695,530,202,54,58,274,385
"Middle Township School District, New Jersey","3410020",18623,1106,2480,1600,2593,1645,2637,1211,598,685,2151,1917,11212,1088,2043,1175,1723,1040,1297,681,211,359,932,663,6387,18,288,344,692,445,1157,434,326,312,1169,1202,312,0,123,0,104,49,6,0,13,0,17,0,712,0,26,81,74,111,177,96,48,14,33,52
"Middlesex Borough School District, New Jersey","3410050",13875,816,2519,1132,1844,1697,1993,1267,289,319,1065,934,8675,801,2113,747,1146,790,1059,681,103,215,647,373,2221,15,194,233,228,141,435,292,114,70,193,306,151,0,51,0,20,39,41,0,0,0,0,0,2828,0,161,152,450,727,458,294,72,34,225,255
