"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Manchester Township School District, New Jersey","3409450",63.7,58.7,71,52.8,65.8
"Maple Shade Township School District, New Jersey","3409660",38.7,31.4,51.8,31,34.4
"Mahwah Township School District, New Jersey","3409330",39.7,23.1,52.4,52.4,43.9
"Manasquan Borough School District, New Jersey","3409420",45,42.9,57.1,47.8,31.2
"Manville Borough School District, New Jersey","3409630",38.3,30.8,55.4,57,42.1
"Matawan-Aberdeen Regional School District, New Jersey","3409750",39.4,28.9,47.1,49.7,48.3
"Maywood Borough School District, New Jersey","3409810",42,31.8,50.5,52.5,46.8
"Metuchen Borough School District, New Jersey","3409990",41.5,31,51.2,37.2,45.8
"Middle Township School District, New Jersey","3410020",44.2,32.6,58.2,30.7,49
"Middlesex Borough School District, New Jersey","3410050",38.2,30.4,53.5,35.4,44.3
"Middletown Township School District, New Jersey","3410110",43.8,34.5,50.8,59.5,53.1
"Midland Park Borough School District, New Jersey","3410140",43.2,35.2,56.2,50.6,44.7
"Millburn Township School District, New Jersey","3410200",41.1,19.8,44.8,39.1,46.5
"Millville City School District, New Jersey","3410320",37.9,33.6,54,41.8,47.1
"Monroe Township School District (Gloucester County), New Jersey","3410470",40.5,29.4,52.4,49.7,48.5
"Monroe Township School District (Middlesex County), New Jersey","3410500",55.4,40.1,67.1,69.3,51.7
"Montclair Town School District, New Jersey","3410560",39.5,28.7,44.1,29.4,47.8
"Montgomery Township School District, New Jersey","3410590",42.8,20.8,49,47.1,46.3
"Montville Township School District, New Jersey","3410650",44.2,32.7,50.1,38,48.4
"Moorestown Township School District, New Jersey","3410710",44.7,28.3,52.3,39.6,53.7
"Morris Township School District, New Jersey","3410810",41.1,31,49.7,34.1,43.7
"Mount Olive Township School District, New Jersey","3410980",38.1,28.8,49.4,36.8,43.8
"Mountain Lakes Borough School District, New Jersey","3411010",43.3,22.1,49.8,17.9,48.1
"New Providence Borough School District, New Jersey","3411310",40.5,33.2,45.4,34.4,43.8
"Neptune Township School District, New Jersey","3411160",44.8,37.7,57.8,50.2,44.1
"New Brunswick City School District, New Jersey","3411220",23.5,19.5,28.3,46.1,36
"New Milford Borough School District, New Jersey","3411280",41.1,27.4,49.5,44.5,49.1
"Newark City School District, New Jersey","3411340",33.6,23.1,46.6,50.8,41.9
"Newton Town School District, New Jersey","3411400",41.3,40,51.7,56.6,35.4
"North Arlington Borough School District, New Jersey","3411430",40.1,34.2,38.1,51.1,48.4
"North Bergen Township School District, New Jersey","3411460",37.8,19.4,30.7,57.7,47.6
"North Brunswick Township School District, New Jersey","3411490",35.8,21.9,44.1,34.8,41.6
"North Plainfield Borough School District, New Jersey","3411640",36.3,22.3,48.2,45.7,41.6
"Nutley Town School District, New Jersey","3411880",41.2,37.8,44.9,50.7,45
"Oaklyn Borough School District, New Jersey","3411940",40.4,35.5,49.3,57.5,42.6
"Ocean City School District, New Jersey","3411970",53.2,35.9,61.9,30,36.7
"Palmyra Borough School District, New Jersey","3412390",42.1,32.5,52.1,40.2,39.2
"Orange City Township School District, New Jersey","3412270",35,23.9,50,38.8,43.2
"Palisades Park Borough School District, New Jersey","3412360",39.3,20.9,30.7,42.4,44.9
"Paramus Borough School District, New Jersey","3412420",46.8,32.9,55.3,37.9,50.5
"Park Ridge Borough School District, New Jersey","3412450",44.8,30.6,56.2,50.7,46.4
"Parsippany-Troy Hills Township School District, New Jersey","3412480",41.2,28,51.1,48.5,45.7
"Passaic City School District, New Jersey","3412540",29.8,13.5,35.1,44.8,40.3
"Paterson City School District, New Jersey","3412690",33.1,20.6,46.8,51.4,43.4
"Pequannock Township School District, New Jersey","3412900",48.2,43.4,63.6,48.1,54.9
"Pemberton Township School District, New Jersey","3412810",37.9,28.7,50.1,46.6,51.9
"Penns Grove-Carneys Point Regional School District, New Jersey","3412840",37.6,33.7,44.8,37.1,38.6
"Pennsauken Township School District, New Jersey","3412870",38.9,29,50.1,42.2,47.8
"Perth Amboy City School District, New Jersey","3412930",32.8,17,35.9,53,40.7
"Phillipsburg Town School District, New Jersey","3412960",40.3,38.5,42.4,45.1,40
"Pine Hill Borough School District, New Jersey","3412990",37.4,30.4,49.2,51,50.4
"Riverside Township School District, New Jersey","3414010",37.6,31.7,46.5,38.9,40.9
"Randolph Township School District, New Jersey","3413650",41.8,25.8,51.9,35.5,44.1
"Ridgefield Borough School District, New Jersey","3413770",40,22,37.7,33.6,48.4
"Ridgewood Village School District, New Jersey","3413830",41.3,21.6,45.1,15,47.6
"Ridgefield Park Township School District, New Jersey","3413800",37,26.7,34.1,39.3,48
"Hazlet Township School District, New Jersey","3413680",42.9,32.7,50.6,55.2,52.8
"Roselle Borough School District, New Jersey","3414280",40.6,24.2,54,44.4,47.5
"Roselle Park Borough School District, New Jersey","3414310",37,29.4,35.5,34,45.8
"Salem City School District, New Jersey","3414550",35.2,29.6,44.2,54.7,46.3
"Roxbury Township School District, New Jersey","3414340",43.7,33.7,54.9,52.1,51.2
"Rutherford Borough School District, New Jersey","3414460",40.2,29.4,45.9,45.2,44.2
"Saddle Brook Township School District, New Jersey","3414490",42.2,33.8,46.4,33.9,51.8
"Piscataway Township School District, New Jersey","3413050",31.2,21.1,44.8,39.5,42.6
"Pitman Borough School District, New Jersey","3413080",41.3,34.3,54.8,23.7,57.8
"Pittsgrove Township School District, New Jersey","3413110",45.5,38.7,55.8,47.7,61.7
