"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Mount Arlington Borough School District, New Jersey","3410860",5405,43,274,5088,3345,42,147,3156,1418,1,66,1351,27,0,0,27,615,0,61,554
"Mount Ephraim Borough School District, New Jersey","3410890",4641,537,265,3839,3179,367,232,2580,1207,158,33,1016,12,2,0,10,243,10,0,233
"Mountainside Borough School District, New Jersey","3411040",6677,186,197,6294,4027,109,133,3785,1500,20,22,1458,128,0,0,128,1022,57,42,923
"Neptune City School District, New Jersey","3411130",4609,707,307,3595,3474,486,243,2745,907,137,64,706,0,0,0,0,228,84,0,144
"New Hanover Township School District, New Jersey","3411250",1473,208,120,1145,852,118,70,664,381,34,18,329,5,0,0,5,235,56,32,147
"Newfield Elementary School District, New Jersey","3411370",1626,99,91,1436,1168,87,66,1015,369,12,14,343,53,0,4,49,36,0,7,29
"North Wildwood City School District, New Jersey","3411670",3895,423,291,3181,1159,124,81,954,2535,285,181,2069,46,0,0,46,155,14,29,112
"Oxford Township School District, New Jersey","3412300",2595,134,98,2363,1839,76,72,1691,589,22,16,551,8,3,0,5,159,33,10,116
"Ocean Township School District (Monmouth County), New Jersey","3412060",27165,2626,939,23600,16365,1338,533,14494,5488,468,129,4891,310,50,0,260,5002,770,277,3955
"Ocean Township School District (Ocean County), New Jersey","3412090",8773,550,485,7738,6006,393,386,5227,2462,156,83,2223,26,1,0,25,279,0,16,263
"Oldmans Township School District, New Jersey","3412210",1694,144,102,1448,965,87,61,817,628,51,21,556,31,0,0,31,70,6,20,44
"Absecon City School District, New Jersey","3400660",8200,722,390,7088,5242,462,238,4542,1958,94,11,1853,87,16,0,71,913,150,141,622
"Allamuchy Township School District, New Jersey","3400720",4559,155,62,4342,2850,113,45,2692,1340,42,17,1281,87,0,0,87,282,0,0,282
"Alloway Township School District, New Jersey","3400810",3280,223,149,2908,2202,180,100,1922,925,30,49,846,5,0,0,5,148,13,0,135
"Alpha Borough School District, New Jersey","3400840",2202,132,68,2002,1508,77,45,1386,594,43,23,528,17,4,0,13,83,8,0,75
"Alpine Borough School District, New Jersey","3400870",1481,140,53,1288,405,82,13,310,514,22,17,475,15,0,0,15,547,36,23,488
"Andover Regional School District, New Jersey","3400900",6097,320,374,5403,4200,171,206,3823,1380,115,140,1125,43,0,19,24,474,34,9,431
"Avalon Borough School District, New Jersey","3401110",1424,66,35,1323,361,12,6,343,1021,53,29,939,8,1,0,7,34,0,0,34
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1814,67,51,1696,1290,32,27,1231,460,22,24,414,21,6,0,15,43,7,0,36
"Barrington Borough School District, New Jersey","3401170",6683,446,471,5766,3948,251,336,3361,2402,158,135,2109,58,0,0,58,275,37,0,238
"Bay Head Borough School District, New Jersey","3401230",1011,59,37,915,671,45,26,600,289,13,7,269,4,0,0,4,47,1,4,42
"Bedminster Township School District, New Jersey","3401320",8151,510,104,7537,4347,280,64,4003,2583,136,37,2410,55,14,0,41,1166,80,3,1083
"Bloomingdale Borough School District, New Jersey","3401860",8032,648,534,6850,4937,404,262,4271,1855,63,88,1704,93,38,0,55,1147,143,184,820
"Belmar Borough School District, New Jersey","3401410",5708,675,395,4638,3730,412,266,3052,1304,64,54,1186,27,0,0,27,647,199,75,373
"Berlin Township School District, New Jersey","3401620",5439,745,118,4576,3393,383,71,2939,1594,226,47,1321,20,0,0,20,432,136,0,296
"Beverly City School District, New Jersey","3401740",2520,403,273,1844,1710,328,203,1179,591,53,55,483,72,0,0,72,147,22,15,110
"Spring Lake Borough School District, New Jersey","3415570",2980,173,36,2771,2104,127,36,1941,827,46,0,781,0,0,0,0,49,0,0,49
"Spring Lake Heights Borough School District, New Jersey","3415600",4645,213,206,4226,3128,131,174,2823,1293,66,15,1212,13,0,0,13,211,16,17,178
"Stone Harbor Borough School District, New Jersey","3415810",1013,45,24,944,293,8,8,277,693,37,14,642,2,0,2,0,25,0,0,25
"Upper Township School District, New Jersey","3416650",11990,527,548,10915,7496,398,344,6754,4113,106,204,3803,133,0,0,133,248,23,0,225
"Union Beach Borough School District, New Jersey","3416350",5624,729,355,4540,3888,472,255,3161,1095,201,32,862,67,39,16,12,574,17,52,505
"Barnegat Township School District, New Jersey","3416470",22017,1912,1286,18819,14721,1248,857,12616,5607,356,358,4893,216,35,0,181,1473,273,71,1129
"Upper Pittsgrove Township School District, New Jersey","3416590",3324,280,70,2974,2397,185,40,2172,748,84,30,634,32,8,0,24,147,3,0,144
"Ventnor City City School District, New Jersey","3416680",10330,1318,1073,7939,4749,650,460,3639,2779,158,274,2347,412,124,127,161,2390,386,212,1792
"Washington Township School District (Burlington County), New Jersey","3417040",706,50,55,601,495,41,33,421,148,9,5,134,43,0,14,29,20,0,3,17
"Washington Township School District (Gloucester County), New Jersey","3417070",47854,1770,1924,44160,22930,989,995,20946,21608,635,715,20258,381,0,0,381,2935,146,214,2575
"Robbinsville Township School District, New Jersey","3417100",14281,194,494,13593,8312,123,292,7897,3632,47,166,3419,164,0,5,159,2173,24,31,2118
"Waterford Township School District, New Jersey","3417250",10725,655,509,9561,7103,443,462,6198,2787,142,47,2598,133,13,0,120,702,57,0,645
"Weymouth Township School District, New Jersey","3417850",2755,186,119,2450,1771,112,61,1598,808,61,58,689,32,0,0,32,144,13,0,131
"White Township School District, New Jersey","3417910",4600,191,273,4136,3026,97,152,2777,1366,55,108,1203,15,7,0,8,193,32,13,148
"Wildwood Crest Borough School District, New Jersey","3417970",3176,135,90,2951,1189,74,64,1051,1709,50,18,1641,59,11,0,48,219,0,8,211
"Winfield Township School District, New Jersey","3418030",1520,119,107,1294,1264,74,96,1094,175,38,6,131,13,3,0,10,68,4,5,59
"Woodbine Borough School District, New Jersey","3418090",2439,648,425,1366,1615,465,283,867,562,143,73,346,200,30,69,101,62,10,0,52
"Woodlynne Borough School District, New Jersey","3418270",2947,650,449,1848,1504,472,239,793,441,62,31,348,265,61,21,183,737,55,158,524
"Garwood Borough School District, New Jersey","3405790",4351,198,125,4028,2974,119,72,2783,713,35,18,660,56,0,35,21,608,44,0,564
"Guttenberg Town School District, New Jersey","3406240",11622,1949,1244,8429,3573,861,238,2474,1523,77,41,1405,250,35,0,215,6276,976,965,4335
"Green Township School District, New Jersey","3406090",3511,184,52,3275,2462,136,39,2287,735,42,13,680,24,0,0,24,290,6,0,284
"Greenwich Township School District (Gloucester County), New Jersey","3406180",4854,498,154,4202,3389,427,110,2852,1210,35,44,1131,104,36,0,68,151,0,0,151
"Greenwich Township School District (Warren County), New Jersey","3406210",5550,131,217,5202,2944,94,123,2727,1746,34,7,1705,19,3,0,16,841,0,87,754
"Bloomsbury Borough School District, New Jersey","3401890",752,63,20,669,505,53,14,438,189,5,6,178,3,2,0,1,55,3,0,52
"Boonton Township School District, New Jersey","3401980",4244,96,265,3883,2636,75,165,2396,1089,21,18,1050,23,0,6,17,496,0,76,420
"Pohatcong Township School District, New Jersey","3413260",3243,233,220,2790,1998,179,143,1676,1093,54,77,962,24,0,0,24,128,0,0,128
"Port Republic City School District, New Jersey","3413380",1056,41,35,980,802,38,31,733,188,2,0,186,14,0,0,14,52,1,4,47
"Quinton Township School District, New Jersey","3413500",2474,174,209,2091,1642,142,122,1378,782,32,82,668,11,0,0,11,39,0,5,34
"Riverdale Borough School District, New Jersey","3413980",4238,314,81,3843,3118,187,62,2869,593,11,19,563,10,0,0,10,517,116,0,401
"Riverton Borough School District, New Jersey","3414040",2658,222,72,2364,1383,152,60,1171,1212,65,12,1135,9,0,0,9,54,5,0,49
"Rochelle Park Township School District, New Jersey","3414070",5437,333,324,4780,2843,187,36,2620,1147,11,189,947,79,0,0,79,1368,135,99,1134
"Roosevelt Borough School District, New Jersey","3414220",808,34,22,752,524,17,16,491,216,6,3,207,8,0,0,8,60,11,3,46
"Saddle River Borough School District, New Jersey","3414520",3248,46,103,3099,1148,9,36,1103,1330,16,16,1298,20,0,0,20,750,21,51,678
"Sea Girt Borough School District, New Jersey","3414730",1713,57,17,1639,1061,35,17,1009,593,20,0,573,26,0,0,26,33,2,0,31
"Sea Isle City School District, New Jersey","3414760",1971,151,134,1686,610,29,74,507,1270,99,59,1112,16,0,0,16,75,23,1,51
"South Bound Brook Borough School District, New Jersey","3415180",4606,202,266,4138,2536,44,167,2325,777,32,38,707,11,0,0,11,1282,126,61,1095
"South Hackensack Township School District, New Jersey","3415240",2728,268,367,2093,1251,163,138,950,377,16,15,346,17,0,11,6,1083,89,203,791
"Bradley Beach Borough School District, New Jersey","3402130",4262,506,422,3334,2701,388,285,2028,1058,64,90,904,57,43,14,0,446,11,33,402
"Branchburg Township School District, New Jersey","3402160",14683,437,106,14140,9223,250,35,8938,3651,86,25,3540,75,0,0,75,1734,101,46,1587
"Harding Township School District, New Jersey","3406720",3887,102,25,3760,2223,76,25,2122,1315,17,0,1298,25,0,0,25,324,9,0,315
"Harmony Township School District, New Jersey","3406810",2540,177,10,2353,1682,131,10,1541,749,25,0,724,23,5,0,18,86,16,0,70
"Ho-Ho-Kus Borough School District, New Jersey","3407320",4162,1,17,4144,2217,0,11,2206,1454,1,6,1447,0,0,0,0,491,0,0,491
"Hope Township School District, New Jersey","3407470",1875,65,45,1765,1339,40,39,1260,396,22,6,368,21,0,0,21,119,3,0,116
"Jamesburg Borough School District, New Jersey","3407770",6038,353,380,5305,3408,232,133,3043,902,21,93,788,138,16,0,122,1590,84,154,1352
"Sayreville Borough School District, New Jersey","3414640",44608,2773,2372,39463,21986,1343,957,19686,9833,532,446,8855,755,91,75,589,12034,807,894,10333
"Scotch Plains-Fanwood Regional School District, New Jersey","3414670",31732,866,1182,29684,17737,345,656,16736,8530,340,218,7972,472,5,0,467,4993,176,308,4509
"Secaucus Town School District, New Jersey","3414850",18794,1276,795,16723,8414,609,258,7547,3168,236,117,2815,408,96,74,238,6804,335,346,6123
"Somerville Borough School District, New Jersey","3415090",11971,632,815,10524,7302,452,573,6277,1749,57,71,1621,162,0,1,161,2758,123,170,2465
"South Amboy City School District, New Jersey","3415120",8804,856,298,7650,5723,466,228,5029,1753,264,44,1445,86,0,0,86,1242,126,26,1090
"Lake Como Borough School District, New Jersey","3415150",1518,209,106,1203,1025,145,58,822,287,27,15,245,19,0,0,19,187,37,33,117
"South Brunswick Township School District, New Jersey","3415210",45519,1630,1437,42452,19467,673,522,18272,7996,407,269,7320,469,0,28,441,17587,550,618,16419
"South Orange-Maplewood School District, New Jersey","3415330",39308,2883,1798,34627,16452,1294,708,14450,15331,576,383,14372,531,49,58,424,6994,964,649,5381
