"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Manchester Township School District, New Jersey","3409450",42898,3634,3652,35612,26139,2232,1912,21995,12525,963,1214,10348,589,23,57,509,3645,416,469,2760
"Maple Shade Township School District, New Jersey","3409660",18619,1797,934,15888,9769,1055,598,8116,6562,473,256,5833,384,120,29,235,1904,149,51,1704
"Mahwah Township School District, New Jersey","3409330",23806,901,802,22103,10828,330,409,10089,7774,253,157,7364,250,43,17,190,4954,275,219,4460
"Manasquan Borough School District, New Jersey","3409420",5824,434,299,5091,4101,270,214,3617,1076,8,0,1068,39,0,8,31,608,156,77,375
"Manville Borough School District, New Jersey","3409630",10423,936,398,9089,6552,742,200,5610,1545,69,57,1419,97,9,0,88,2229,116,141,1972
"Matawan-Aberdeen Regional School District, New Jersey","3409750",27168,1601,593,24974,14270,857,253,13160,8433,516,243,7674,277,12,26,239,4188,216,71,3901
"Maywood Borough School District, New Jersey","3409810",9775,562,877,8336,4824,137,371,4316,1958,105,119,1734,187,47,1,139,2806,273,386,2147
"Metuchen Borough School District, New Jersey","3409990",13940,295,457,13188,7656,146,105,7405,3326,34,72,3220,139,0,0,139,2819,115,280,2424
"Middle Township School District, New Jersey","3410020",17638,1889,1740,14009,10643,1249,922,8472,6007,488,617,4902,305,110,0,195,683,42,201,440
"Middlesex Borough School District, New Jersey","3410050",13875,1046,719,12110,8675,425,443,7807,2221,292,184,1745,151,0,0,151,2828,329,92,2407
"Middletown Township School District, New Jersey","3410110",65801,2869,1837,61095,39376,1921,895,36560,21127,664,577,19886,608,21,15,572,4690,263,350,4077
"Midland Park Borough School District, New Jersey","3410140",7336,301,88,6947,5016,131,73,4812,1575,29,15,1531,79,0,0,79,666,141,0,525
"Millburn Township School District, New Jersey","3410200",20374,495,499,19380,7571,137,279,7155,7967,41,84,7842,255,10,9,236,4581,307,127,4147
"Millville City School District, New Jersey","3410320",27925,5542,2503,19880,20263,3997,1713,14553,5392,974,462,3956,1339,452,203,684,931,119,125,687
"Monroe Township School District (Gloucester County), New Jersey","3410470",36286,3068,1602,31616,21220,2107,954,18159,12815,812,573,11430,242,25,0,217,2009,124,75,1810
"Monroe Township School District (Middlesex County), New Jersey","3410500",43405,1891,1438,40076,17849,998,404,16447,15972,468,889,14615,292,36,12,244,9292,389,133,8770
"Montclair Town School District, New Jersey","3410560",38289,3074,1237,33978,16706,1749,519,14438,15829,821,468,14540,559,63,35,461,5195,441,215,4539
"Montgomery Township School District, New Jersey","3410590",23500,865,297,22338,8977,276,169,8532,7498,278,68,7152,228,0,13,215,6797,311,47,6439
"Montville Township School District, New Jersey","3410650",21623,724,698,20201,12522,357,395,11770,4388,162,57,4169,402,102,74,226,4311,103,172,4036
"Moorestown Township School District, New Jersey","3410710",20148,581,388,19179,9358,233,217,8908,8893,277,120,8496,266,26,0,240,1631,45,51,1535
"Morris Township School District, New Jersey","3410810",40235,2576,2442,35217,19017,1057,1031,16929,11691,527,366,10798,648,21,46,581,8879,971,999,6909
"Mount Olive Township School District, New Jersey","3410980",28894,1841,1217,25836,17308,1300,680,15328,5810,222,236,5352,721,108,107,506,5055,211,194,4650
"Mountain Lakes Borough School District, New Jersey","3411010",4309,149,51,4109,1943,27,28,1888,1644,74,23,1547,29,8,0,21,693,40,0,653
"New Providence Borough School District, New Jersey","3411310",12618,444,220,11954,6717,253,82,6382,3752,58,0,3694,136,0,0,136,2013,133,138,1742
"Neptune Township School District, New Jersey","3411160",27086,2672,1925,22489,17278,1577,1219,14482,6050,747,463,4840,439,43,0,396,3319,305,243,2771
"New Brunswick City School District, New Jersey","3411220",48254,17130,8026,23098,20707,8555,3606,8546,6207,1984,825,3398,1477,448,327,702,19863,6143,3268,10452
"New Milford Borough School District, New Jersey","3411280",16541,1057,458,15026,7004,467,120,6417,4305,215,232,3858,279,0,0,279,4953,375,106,4472
"Newark City School District, New Jersey","3411340",271408,76768,37001,157639,137654,45928,18959,72767,35122,9709,3967,21446,16671,5069,2300,9302,81961,16062,11775,54124
"Newton Town School District, New Jersey","3411400",7559,1072,760,5727,4785,574,458,3753,1384,178,85,1121,73,0,0,73,1317,320,217,780
"North Arlington Borough School District, New Jersey","3411430",15877,1217,1167,13493,8917,528,631,7758,1435,46,114,1275,231,47,31,153,5294,596,391,4307
"North Bergen Township School District, New Jersey","3411460",62815,9923,5392,47500,20156,3743,1591,14822,7841,760,521,6560,1976,300,118,1558,32842,5120,3162,24560
"North Brunswick Township School District, New Jersey","3411490",40156,2980,2016,35160,18663,1661,683,16319,6434,372,183,5879,677,44,60,573,14382,903,1090,12389
"North Plainfield Borough School District, New Jersey","3411640",21958,1782,1235,18941,10904,882,546,9476,3005,156,86,2763,789,59,71,659,7260,685,532,6043
"Nutley Town School District, New Jersey","3411880",28799,1513,1155,26131,18521,1047,634,16840,4328,84,181,4063,583,19,56,508,5367,363,284,4720
"Oaklyn Borough School District, New Jersey","3411940",3994,182,246,3566,2509,111,150,2248,1312,47,92,1173,21,6,4,11,152,18,0,134
"Ocean City School District, New Jersey","3411970",11190,970,480,9740,4576,392,178,4006,5606,344,254,5008,188,23,4,161,820,211,44,565
"Palmyra Borough School District, New Jersey","3412390",7281,737,389,6155,3504,409,203,2892,2846,251,152,2443,324,5,9,310,607,72,25,510
"Orange City Township School District, New Jersey","3412270",30254,7275,4012,18967,14125,4008,2021,8096,4247,767,572,2908,654,188,36,430,11228,2312,1383,7533
"Palisades Park Borough School District, New Jersey","3412360",20674,2275,2126,16273,4466,440,412,3614,2800,163,215,2422,271,20,10,241,13137,1652,1489,9996
"Paramus Borough School District, New Jersey","3412420",25427,669,1035,23723,12001,313,454,11234,5050,142,104,4804,541,12,0,529,7835,202,477,7156
"Park Ridge Borough School District, New Jersey","3412450",8642,185,435,8022,4911,71,266,4574,2610,38,78,2494,43,0,0,43,1078,76,91,911
"Parsippany-Troy Hills Township School District, New Jersey","3412480",52681,2309,2156,48216,23512,984,844,21684,8860,397,300,8163,562,0,65,497,19747,928,947,17872
"Passaic City School District, New Jersey","3412540",70688,23370,12155,35163,30514,11882,5206,13426,7504,1410,586,5508,4664,1336,874,2454,28006,8742,5489,13775
"Paterson City School District, New Jersey","3412690",146472,42509,21536,82427,68676,21467,10383,36826,12359,3266,1508,7585,11200,3440,2425,5335,54237,14336,7220,32681
"Paulsboro Borough School District, New Jersey","3412720",5970,1654,498,3818,4137,861,426,2850,1513,591,72,850,35,0,0,35,285,202,0,83
"Pequannock Township School District, New Jersey","3412900",15457,744,403,14310,10760,440,316,10004,3276,107,87,3082,298,129,0,169,1123,68,0,1055
"Pemberton Township School District, New Jersey","3412810",26609,3247,1913,21449,14662,2108,1192,11362,8463,789,469,7205,1365,116,46,1203,2119,234,206,1679
"Penns Grove-Carneys Point Regional School District, New Jersey","3412840",12288,2488,1315,8485,6941,1573,836,4532,3440,372,232,2836,566,223,10,333,1341,320,237,784
"Pennsauken Township School District, New Jersey","3412870",35574,4076,2925,28573,17471,2010,1317,14144,10407,1016,880,8511,2375,216,322,1837,5321,834,406,4081
"Perth Amboy City School District, New Jersey","3412930",51963,10654,5088,36221,20794,4231,1839,14724,4461,789,333,3339,4849,839,392,3618,21859,4795,2524,14540
"Phillipsburg Town School District, New Jersey","3412960",14441,2629,1253,10559,8067,1687,602,5778,4682,687,421,3574,175,13,63,99,1517,242,167,1108
"Pine Hill Borough School District, New Jersey","3412990",10497,1426,926,8145,6678,821,548,5309,3162,487,282,2393,388,49,90,249,269,69,6,194
"Riverside Township School District, New Jersey","3414010",7910,693,662,6555,4509,339,383,3787,2060,253,170,1637,143,0,0,143,1198,101,109,988
"Randolph Township School District, New Jersey","3413650",25847,739,692,24416,13919,294,176,13449,6382,135,82,6165,416,0,11,405,5130,310,423,4397
"Ridgefield Borough School District, New Jersey","3413770",11349,1049,1400,8900,4374,403,336,3635,1399,60,95,1244,160,44,12,104,5416,542,957,3917
"Ridgewood Village School District, New Jersey","3413830",25340,1107,414,23819,9203,420,87,8696,10065,156,131,9778,512,101,32,379,5560,430,164,4966
"Ridgefield Park Township School District, New Jersey","3413800",13070,1139,1125,10806,5389,460,418,4511,2932,221,203,2508,209,23,16,170,4540,435,488,3617
"Hazlet Township School District, New Jersey","3413680",19925,1062,770,18093,11641,647,346,10648,6119,222,267,5630,169,9,10,150,1996,184,147,1665
"Rockleigh Borough School District, New Jersey","3414160",250,10,8,232,119,7,1,111,94,3,7,84,0,0,0,0,37,0,0,37
"Roselle Borough School District, New Jersey","3414280",21701,2568,3095,16038,11232,1492,1836,7904,3776,394,499,2883,579,77,47,455,6114,605,713,4796
"Roselle Park Borough School District, New Jersey","3414310",13660,1030,1189,11441,7425,322,617,6486,2092,201,74,1817,332,58,10,264,3811,449,488,2874
"Salem City School District, New Jersey","3414550",4877,2253,502,2122,3570,1735,362,1473,1112,398,129,585,137,98,0,39,58,22,11,25
"Roxbury Township School District, New Jersey","3414340",23214,1258,526,21430,15205,661,261,14283,4694,203,136,4355,392,11,41,340,2923,383,88,2452
"Rutherford Borough School District, New Jersey","3414460",18384,1178,740,16466,9143,368,284,8491,4092,338,126,3628,195,6,19,170,4954,466,311,4177
"Saddle Brook Township School District, New Jersey","3414490",14076,886,1137,12053,8134,355,363,7416,2223,145,272,1806,220,1,85,134,3499,385,417,2697
"Pine Valley Borough School District, New Jersey","3413020",4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
"Piscataway Township School District, New Jersey","3413050",47273,3546,2119,41608,21504,1422,1141,18941,6989,561,84,6344,565,38,94,433,18215,1525,800,15890
"Pitman Borough School District, New Jersey","3413080",8813,831,224,7758,5817,591,162,5064,2644,221,49,2374,33,16,0,17,319,3,13,303
"Pittsgrove Township School District, New Jersey","3413110",8852,543,853,7456,6317,456,704,5157,2151,74,132,1945,117,3,17,97,267,10,0,257
"Plainfield City School District, New Jersey","3413140",50352,10528,7268,32556,22370,4683,3253,14434,7232,1102,567,5563,1079,152,147,780,19671,4591,3301,11779
"Pleasantville City School District, New Jersey","3413200",20242,4626,2869,12747,11054,2896,1356,6802,3218,489,420,2309,1092,181,190,721,4878,1060,903,2915
"Pompton Lakes Borough School District, New Jersey","3413350",11087,609,375,10103,6799,258,189,6352,1728,105,33,1590,90,0,0,90,2470,246,153,2071
"Plumsted Township School District, New Jersey","3413230",8403,465,584,7354,6578,319,465,5794,1443,144,79,1220,60,0,0,60,322,2,40,280
"Point Pleasant Borough School District, New Jersey","3413290",18388,934,544,16910,14856,792,371,13693,2622,104,109,2409,61,10,0,51,849,28,64,757
"Point Pleasant Beach Borough School District, New Jersey","3413320",4847,246,197,4404,3466,195,142,3129,920,13,39,868,85,0,0,85,376,38,16,322
"Ramsey Borough School District, New Jersey","3413590",15121,359,244,14518,7879,236,137,7506,5130,87,48,4995,138,5,0,133,1974,31,59,1884
"Lawnside Borough School District, New Jersey","3408340",2910,611,178,2121,1646,455,113,1078,1148,155,56,937,10,1,0,9,106,0,9,97
"Rahway City School District, New Jersey","3413530",29298,2324,2434,24540,16096,1371,1283,13442,5068,333,349,4386,792,20,73,699,7342,600,729,6013
"South Hunterdon Regional School District, New Jersey","3400769",7276,510,346,6420,4039,221,278,3540,2736,265,56,2415,85,0,6,79,416,24,6,386
"Princeton Public Schools, New Jersey","3413410",25365,1581,1050,22734,6911,295,328,6288,10939,384,351,10204,566,64,0,502,6949,838,371,5740
"Joint Base McGuire-Dix-Lakehurst, New Jersey","3434001",7629,447,931,6251,1272,155,205,912,5425,258,663,4504,428,14,44,370,504,20,19,465
"Lakehurst Borough School District, New Jersey","3408160",2679,293,191,2195,1658,219,39,1400,632,35,99,498,94,14,0,80,295,25,53,217
"Laurel Springs Borough School District, New Jersey","3408280",1907,106,81,1720,1242,52,57,1133,572,35,24,513,4,0,0,4,89,19,0,70
"Lavallette Borough School District, New Jersey","3408310",2031,146,118,1767,1472,110,52,1310,434,18,37,379,12,0,0,12,113,18,29,66
"Lawrence Township School District (Cumberland County), New Jersey","3408370",3234,569,106,2559,2478,396,83,1999,422,49,23,350,143,92,0,51,191,32,0,159
"Lawrence Township School District (Mercer County), New Jersey","3408400",31026,2100,1118,27808,14726,1021,698,13007,8019,507,208,7304,291,26,0,265,7990,546,212,7232
"Lincoln Park Borough School District, New Jersey","3408580",9765,331,65,9369,6675,213,18,6444,1402,73,8,1321,55,0,12,43,1633,45,27,1561
"Little Ferry Borough School District, New Jersey","3408760",10935,1227,774,8934,4364,542,285,3537,1543,147,49,1347,179,0,31,148,4849,538,409,3902
"Logan Township School District, New Jersey","3408880",5943,302,41,5600,2156,119,36,2001,3404,159,0,3245,87,0,4,83,296,24,1,271
"Lopatcong Township School District, New Jersey","3409000",8075,968,386,6721,4457,677,147,3633,2761,187,180,2394,139,15,0,124,718,89,59,570
"Lower Alloways Creek Township School District, New Jersey","3409030",1655,72,58,1525,1223,65,53,1105,420,5,4,411,6,0,0,6,6,2,1,3
"Mannington Township School District, New Jersey","3409480",1311,146,44,1121,795,77,29,689,413,47,12,354,23,0,0,23,80,22,3,55
"Margate City School District, New Jersey","3409690",6186,477,265,5444,2589,222,76,2291,3140,233,118,2789,54,9,0,45,403,13,71,319
"Maurice River Township School District, New Jersey","3409780",1739,54,229,1456,1403,44,118,1241,215,5,13,197,39,0,33,6,82,5,65,12
"Merchantville Borough School District, New Jersey","3409960",3769,116,277,3376,2016,47,125,1844,1198,69,75,1054,103,0,0,103,452,0,77,375
"Brielle Borough School District, New Jersey","3402310",4738,85,92,4561,3459,58,67,3334,1087,12,25,1050,20,0,0,20,172,15,0,157
"Brigantine City School District, New Jersey","3402340",9114,976,460,7678,3866,415,186,3265,4282,302,235,3745,79,8,0,71,887,251,39,597
"Brooklawn Borough School District, New Jersey","3402370",1986,271,151,1564,1219,200,105,914,506,37,12,457,39,11,0,28,222,23,34,165
"Chesilhurst Borough School District, New Jersey","3403030",1642,275,182,1185,852,110,88,654,606,148,30,428,85,7,0,78,99,10,64,25
"Clementon Borough School District, New Jersey","3403240",4918,820,347,3751,3050,284,201,2565,1394,368,111,915,96,55,22,19,378,113,13,252
"Commercial Township School District, New Jersey","3403480",5019,962,753,3304,3929,739,661,2529,899,123,82,694,63,54,0,9,128,46,10,72
"Cranbury Township School District, New Jersey","3403540",3762,29,192,3541,1795,22,176,1597,1364,7,10,1347,28,0,0,28,575,0,6,569
"Deal Borough School District, New Jersey","3403630",579,48,24,507,161,10,7,144,299,16,13,270,12,0,0,12,107,22,4,81
"Delanco Township School District, New Jersey","3403690",4475,187,274,4014,2596,112,240,2244,1614,65,34,1515,42,0,0,42,223,10,0,213
"Dennis Township School District, New Jersey","3403840",6120,770,436,4914,4229,504,281,3444,1705,197,140,1368,3,0,0,3,183,69,15,99
"Downe Township School District, New Jersey","3403960",1580,190,216,1174,1201,146,175,880,323,44,37,242,20,0,0,20,36,0,4,32
"East Newark Borough School District, New Jersey","3404200",2682,349,332,2001,874,132,85,657,132,22,26,84,60,15,14,31,1616,180,207,1229
"Edgewater Borough School District, New Jersey","3404440",12098,835,374,10889,2696,274,117,2305,3657,223,86,3348,250,23,0,227,5495,315,171,5009
"Edgewater Park Township School District, New Jersey","3404470",8784,905,1017,6862,4962,275,625,4062,2601,432,359,1810,303,64,0,239,918,134,33,751
"Elmer Borough School District, New Jersey","3404650",1386,146,10,1230,1093,109,4,980,281,35,6,240,0,0,0,0,12,2,0,10
"Elsinboro Township School District, New Jersey","3404680",1161,127,50,984,724,89,32,603,412,35,18,359,0,0,0,0,25,3,0,22
"Englewood Cliffs Borough School District, New Jersey","3404770",5435,119,76,5240,1570,28,27,1515,1355,7,25,1323,177,9,0,168,2333,75,24,2234
"Estell Manor City School District, New Jersey","3404860",1734,93,72,1569,1285,69,57,1159,419,24,7,388,0,0,0,0,30,0,8,22
"Fairview Borough School District, New Jersey","3405070",14422,2161,1042,11219,4674,699,234,3741,2202,88,72,2042,188,59,20,109,7358,1315,716,5327
"Folsom Borough School District, New Jersey","3405280",1804,146,37,1621,1273,106,35,1132,463,37,2,424,27,0,0,27,41,3,0,38
"Millstone Township School District, New Jersey","3410230",10522,412,503,9607,6057,290,43,5724,3492,40,442,3010,149,0,0,149,824,82,18,724
"Milltown Borough School District, New Jersey","3410290",7069,547,250,6272,4791,320,250,4221,1256,20,0,1236,68,0,0,68,954,207,0,747
"Mine Hill Township School District, New Jersey","3410350",3472,224,384,2864,2186,171,187,1828,484,32,0,452,68,0,0,68,734,21,197,516
"Montague Township School District, New Jersey","3410530",3744,173,140,3431,2458,129,93,2236,1103,37,47,1019,23,7,0,16,160,0,0,160
"Moonachie Borough School District, New Jersey","3410680",2767,318,118,2331,1231,123,39,1069,399,22,9,368,59,17,0,42,1078,156,70,852
"Morris Plains Borough School District, New Jersey","3410770",5605,60,84,5461,3506,41,44,3421,1479,17,17,1445,42,0,0,42,578,2,23,553
