"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Bound Brook Borough School District, New Jersey","3402100",31234,37194,36250,21250,26636
"Bridgeton City School District, New Jersey","3402250",15863,14375,17087,9361,17575
"Burlington Township School District, New Jersey","3402460",35847,36982,39046,39583,27917
"Bridgewater-Raritan Regional School District, New Jersey","3402280",47310,37992,52755,50607,60855
"Buena Regional School District, New Jersey","3402400",27964,33500,30373,20049,21284
"Butler Borough School District, New Jersey","3402520",37259,36862,52411,54583,30810
"Carteret Borough School District, New Jersey","3402820",32176,31649,28711,28000,34004
"Camden City School District, New Jersey","3402640",16525,16407,18990,11949,18634
"Cedar Grove Township School District, New Jersey","3402850",49174,47423,62261,89213,36500
"Cherry Hill Township School District, New Jersey","3403000",43068,36689,48408,25265,42344
"Cinnaminson Township School District, New Jersey","3403120",41455,36374,46915,31375,43355
"Clark Township School District, New Jersey","3403150",44290,48421,50797,43874,34639
"Cliffside Park Borough School District, New Jersey","3403270",36830,41790,48870,34522,27704
"Clifton City School District, New Jersey","3403300",33301,36150,45024,31866,30009
"Collingswood Borough School District, New Jersey","3403420",37469,35861,40470,34440,35893
"Cresskill Borough School District, New Jersey","3403600",57130,32500,53438,40682,78045
"Deptford Township School District, New Jersey","3403900",33467,30199,37224,37813,35964
"Dover Town School District, New Jersey","3403930",25903,30390,33527,28015,24415
"Dunellen Borough School District, New Jersey","3404020",34292,40246,53438,28578,26312
"East Brunswick Township School District, New Jersey","3404110",42229,38291,50897,39500,42284
"East Orange City School District, New Jersey","3404230",24937,21596,27467,21830,26949
"East Windsor Regional School District, New Jersey","3404320",37811,39384,44156,37220,31799
"Edison Township School District, New Jersey","3404500",43543,36112,40942,31901,51867
"Egg Harbor Township School District, New Jersey","3404560",31440,31204,38801,15754,28160
"Elizabeth City School District, New Jersey","3404590",22224,23701,26303,20236,21871
"Elmwood Park Borough School District, New Jersey","3404660",35491,33049,38906,25263,36510
"Ewing Township School District, New Jersey","3404920",31192,29343,35655,25182,31298
"Fair Lawn Borough School District, New Jersey","3404980",47646,39701,55012,52292,52066
"Florence Township School District, New Jersey","3405220",39749,35995,45234,73750,51635
"Fort Lee Borough School District, New Jersey","3405310",44358,40031,47975,57500,43688
"Franklin Township School District, New Jersey","3405490",41071,37365,42598,35747,43582
"Garfield City School District, New Jersey","3405760",30955,30387,35266,33487,30430
"Glassboro Borough School District, New Jersey","3405880",21747,16562,35664,15122,13951
"Glen Ridge Borough School District, New Jersey","3405940",79500,74117,78813,105156,89167
"Glen Rock Borough School District, New Jersey","3405970",68111,47024,93112,18902,78988
"Hackensack City School District, New Jersey","3406270",33156,31780,43727,21854,31141
"Haddonfield Borough School District, New Jersey","3406390",62259,54981,68629,34583,79271
"Hackettstown Town School District, New Jersey","3406300",28680,33594,41779,32188,15250
"Haddon Heights Borough School District, New Jersey","3406330",41390,41994,41859,50458,28750
"Haddon Township School District, New Jersey","3406360",41592,37631,49047,59792,29375
"Hamilton Township School District, New Jersey","3406540",35028,36482,41401,28889,26281
"Hammonton Town School District, New Jersey","3406570",30963,32495,32788,21786,24444
"Harrison Town School District, New Jersey","3406870",30818,29056,31528,21387,31386
"Hawthorne Borough School District, New Jersey","3406990",41478,41441,53006,35109,35313
"Highland Park Borough School District, New Jersey","3407170",39643,34484,49643,37574,37290
"Hillsborough Township School District, New Jersey","3407230",51312,43717,56895,57375,69395
"Hillside Township School District, New Jersey","3407290",30763,26567,36295,41636,33180
"Hopewell Valley Regional School District, New Jersey","3407530",56445,46119,71222,72857,70085
"Hoboken City School District, New Jersey","3407350",70936,65529,81459,13917,83358
"Irvington Township School District, New Jersey","3407680",25477,25467,23678,17981,26342
