"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Manchester Township School District, New Jersey","3409450",39740,2708,37032,5207,4513,8547,5122,4589,3476,1182,4396,23077,1794,21283,3390,2508,4175,2902,2687,2446,606,2569,12411,754,11657,1294,1294,3182,1685,1425,748,529,1500,558,25,533,53,96,147,51,104,34,7,41,3694,135,3559,470,615,1043,484,373,248,40,286
"Maple Shade Township School District, New Jersey","3409660",16012,1614,14398,2071,1449,2125,2017,2117,1743,826,2050,7485,882,6603,1138,717,937,1022,964,751,233,841,6310,405,5905,698,599,880,673,917,793,387,958,384,27,357,110,39,54,44,58,52,0,0,1833,300,1533,125,94,254,278,178,147,206,251
"Mahwah Township School District, New Jersey","3409330",22438,2763,19675,4222,1483,1731,1651,1600,1749,1081,6158,9851,1321,8530,2715,692,616,582,788,617,567,1953,7545,854,6691,976,382,576,621,425,630,379,2702,213,24,189,36,9,55,0,35,8,0,46,4829,564,4265,495,400,484,448,352,494,135,1457
"Manasquan Borough School District, New Jersey","3409420",5057,464,4593,784,267,544,474,378,415,331,1400,3411,305,3106,595,199,295,298,249,343,180,947,1053,47,1006,113,7,120,58,121,63,121,403,39,0,39,8,10,21,0,0,0,0,0,554,112,442,68,51,108,118,8,9,30,50
"Manville Borough School District, New Jersey","3409630",8526,910,7616,1006,615,1399,1083,1134,1129,456,794,4824,556,4268,578,364,606,619,687,684,282,448,1465,64,1401,144,90,403,143,145,162,131,183,97,11,86,26,10,38,0,0,0,0,12,2140,279,1861,258,151,352,321,302,283,43,151
"Matawan-Aberdeen Regional School District, New Jersey","3409750",22304,2599,19705,2435,1419,2226,2204,2549,2486,1303,5083,10274,1278,8996,1329,796,1017,1153,1040,1135,562,1964,7597,618,6979,832,394,677,583,833,949,517,2194,272,35,237,18,31,21,24,38,18,11,76,4161,668,3493,256,198,511,444,638,384,213,849
"Maywood Borough School District, New Jersey","3409810",8250,1165,7085,1004,538,864,825,736,916,473,1729,3538,385,3153,518,159,359,365,286,581,150,735,1805,187,1618,183,118,211,151,138,143,123,551,187,61,126,14,1,11,40,7,20,3,30,2720,532,2188,289,260,283,269,305,172,197,413
"Metuchen Borough School District, New Jersey","3409990",10946,1047,9899,1097,451,814,850,1315,1173,550,3649,5159,607,4552,503,239,378,477,614,622,291,1428,3018,187,2831,269,101,226,218,381,301,141,1194,99,0,99,28,0,0,23,4,0,15,29,2670,253,2417,297,111,210,132,316,250,103,998
"Middle Township School District, New Jersey","3410020",15578,1281,14297,2739,1492,2256,1479,2088,1884,492,1867,8511,733,7778,1606,741,1069,942,1151,1061,194,1014,6166,442,5724,904,680,1041,463,843,733,264,796,189,0,189,67,45,18,0,16,30,0,13,712,106,606,162,26,128,74,78,60,34,44
"Middlesex Borough School District, New Jersey","3410050",11115,1355,9760,1352,892,1592,1554,1243,878,487,1762,6209,732,5477,659,449,916,801,841,582,226,1003,2082,237,1845,293,209,256,123,210,195,115,444,116,32,84,20,0,0,0,20,0,11,33,2708,354,2354,380,234,420,630,172,101,135,282
