"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Manchester Township School District, New Jersey","3409450",37105,4496,14933,9792,5670,2214,20978,2571,8582,5518,3073,1234,12020,1259,4952,3202,1872,735,545,51,242,187,47,18,3562,615,1157,885,678,227
"Maple Shade Township School District, New Jersey","3409660",13739,978,5111,4025,2587,1038,5950,444,2336,1979,956,235,5769,348,2325,1635,973,488,340,27,112,132,51,18,1680,159,338,279,607,297
"Mahwah Township School District, New Jersey","3409330",17268,726,3543,3172,5938,3889,6137,276,1368,1316,2038,1139,6504,98,1209,1256,2309,1632,185,44,38,27,57,19,4442,308,928,573,1534,1099
"Manasquan Borough School District, New Jersey","3409420",4216,80,954,741,1359,1082,2756,72,524,538,1026,596,995,8,164,115,247,461,27,0,9,0,8,10,438,0,257,88,78,15
"Manville Borough School District, New Jersey","3409630",7260,739,3636,1743,897,245,3868,238,2018,1038,487,87,1366,126,615,263,315,47,81,41,19,21,0,0,1945,334,984,421,95,111
"Matawan-Aberdeen Regional School District, New Jersey","3409750",19315,1062,4926,5353,4930,3044,8086,344,2405,2392,1892,1053,7069,261,1773,1877,1931,1227,243,7,47,76,74,39,3917,450,701,1008,1033,725
"Maywood Borough School District, New Jersey","3409810",7045,467,2035,1917,1601,1025,2765,111,1051,602,701,300,1569,39,472,500,253,305,154,9,44,80,12,9,2557,308,468,735,635,411
"Metuchen Borough School District, New Jersey","3409990",9942,435,1578,2017,2981,2931,4342,29,947,943,1456,967,2877,75,374,685,753,990,88,17,0,16,18,37,2635,314,257,373,754,937
"Middle Township School District, New Jersey","3410020",13437,1566,4542,3658,2591,1080,6906,630,2656,1803,1242,575,5737,744,1663,1623,1221,486,189,49,127,13,0,0,605,143,96,219,128,19
"Middlesex Borough School District, New Jersey","3410050",9408,821,3043,3166,1582,796,5014,318,1615,1800,925,356,1779,100,510,670,257,242,100,0,8,27,18,47,2515,403,910,669,382,151
