"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"California","06",38041430,2536810,6702496,4022340,5474318,5175188,5227892,2331466,834392,1137135,2537154,2062239,20694070,2383231,5798918,2977124,2861336,1964686,2001981,844155,291346,389386,711962,469945,6592525,96934,384037,332885,759014,799300,1076257,624570,257396,361725,961134,939273,454003,19739,66318,46097,65210,76779,77867,30924,9353,15129,25255,21332,10300832,36906,453223,666234,1788758,2334423,2071787,831817,276297,370895,838803,631689
"Colorado","08",5187582,336995,894312,511621,756564,708732,725667,352012,122041,168699,358156,252783,2181348,288763,629437,252365,275580,196863,206084,94195,33271,43338,89040,72412,2419554,40492,216373,205415,360165,373829,416744,220752,79571,109658,236918,159637,80322,2905,11513,8825,13973,16384,15412,4876,1199,1373,2536,1326,506358,4835,36989,45016,106846,121656,87427,32189,8000,14330,29662,19408
"Connecticut","09",3590347,193070,599696,339603,432609,458041,567053,255006,87209,126036,281784,250240,1981537,167796,449326,210369,217970,205299,265988,120914,39653,57731,125108,121383,983786,20172,105083,78408,103138,129239,185545,88200,31963,45345,105398,91295,129603,2194,15174,12450,20346,21416,25039,9817,3234,4559,9004,6370,495421,2908,30113,38376,91155,102087,90481,36075,12359,18401,42274,31192
"Delaware","10",917092,56185,148735,93560,113848,112221,133715,63733,21096,33186,80975,59838,412055,47057,101421,45721,47632,41190,49355,24680,6940,11785,19465,16809,412709,7812,40968,40098,47955,51642,66711,33153,12148,18930,55417,37875,14831,227,1696,936,2372,2198,3280,1035,711,650,1137,589,77497,1089,4650,6805,15889,17191,14369,4865,1297,1821,4956,4565
"District of Columbia","11",632323,39002,70450,83340,138878,85596,75628,34811,13500,19217,39855,32046,234515,30535,52656,26684,30537,23770,29414,13554,4817,6218,10393,5937,297298,6770,13922,46489,82212,39282,30226,15122,7030,10578,23853,21814,10187,103,742,1190,2467,2791,1637,620,74,148,191,224,90323,1594,3130,8977,23662,19753,14351,5515,1579,2273,5418,4071
"Florida","12",19317568,1070345,2930628,1812848,2381017,2408804,2739867,1278635,492188,694409,1899082,1609745,6890682,956928,2113102,985789,882626,615336,586708,232493,79883,97005,200797,140015,8052406,86171,552522,497596,845892,968654,1324394,714840,285872,430285,1239136,1107044,627344,10146,75736,65184,99297,102765,100948,43296,13555,20820,58088,37509,3747136,17100,189268,264279,553202,722049,727817,288006,112878,146299,401061,325177
"Georgia","13",9919945,671105,1824642,1020360,1349901,1392560,1387853,612028,213601,308539,683911,455445,5490260,592208,1352920,590560,628281,587993,604606,289122,107182,149699,340166,247523,3357206,67620,393652,324607,476296,549031,594257,258597,88990,134105,294550,175501,132341,4101,18054,14371,29864,22102,23809,8593,1308,3059,4254,2826,940138,7176,60016,90822,215460,233434,165181,55716,16121,21676,44941,29595
"Hawaii","15",1392313,89013,213868,137151,199308,175142,185698,92442,39447,49821,111941,98482,754887,72498,158430,75707,92214,78380,82190,41462,18141,22783,54604,58478,342239,11867,33552,40514,65354,45410,51372,26182,10798,14646,27390,15154,43321,2766,7676,4827,6605,6733,6823,3409,1118,1093,1389,882,251866,1882,14210,16103,35135,44619,45313,21389,9390,11299,28558,23968
"Idaho","16",1595728,113736,311016,158190,210429,196439,202275,96922,39297,56392,123015,88017,754827,97276,209279,76510,92495,70507,71799,33759,13881,19696,39878,29747,730830,15771,91892,69345,93967,102413,111915,56922,23313,34750,76640,53902,13503,84,3040,1623,2338,1711,2277,1208,197,465,315,245,96568,605,6805,10712,21629,21808,16284,5033,1906,1481,6182,4123
"Illinois","17",12875255,814027,2249024,1253309,1782088,1699779,1824863,840601,305182,410670,926029,769683,8618847,741468,1913807,920081,1071132,965716,1113678,509180,179645,238767,508272,457101,2325553,55440,228439,189449,327407,310387,373110,190533,73431,103721,259398,214238,139525,5579,16837,13671,19672,19550,22415,9449,3810,5794,14589,8159,1791330,11540,89941,130108,363877,404126,315660,131439,48296,62388,143770,90185
"Indiana","18",6537334,424157,1165262,668970,831240,822480,923559,435901,164577,211762,492886,396540,4472323,383532,936279,451870,535425,518623,590136,283613,105547,134135,297461,235702,1725464,36797,199344,175820,218771,232164,281902,135611,52621,68979,177272,146183,36402,1022,5356,3601,6906,5902,6345,2674,853,1041,1937,765,303145,2806,24283,37679,70138,65791,45176,14003,5556,7607,16216,13890
"Iowa","19",3074186,195997,526669,314527,389631,360444,424197,207232,82436,103435,240189,229429,2200689,170562,409584,202373,257789,232744,293723,147366,60919,74891,175687,175051,717964,23224,102245,89260,96282,94454,106986,52681,19682,25721,57670,49759,17675,753,2612,3297,2625,3694,2538,1195,69,496,159,237,137858,1458,12228,19597,32935,29552,20950,5990,1766,2327,6673,4382
"Kansas","20",2885905,201418,519859,301404,383049,345040,390310,192095,67640,90866,207483,186741,1712881,173718,389229,177929,210989,156413,197998,102520,35716,46390,110387,111592,961689,24833,115655,97437,124317,136661,159581,78468,28030,39560,86494,70653,24519,1061,2876,3948,4728,4763,4192,1314,419,253,531,434,186816,1806,12099,22090,43015,47203,28539,9793,3475,4663,10071,4062
"Kentucky","21",4380415,276673,741306,426975,561750,567749,628346,300241,108667,155082,355055,258571,3059267,239734,572905,285554,362648,357415,405183,202895,75719,108025,254260,194929,1156270,33808,147329,125187,161811,171011,199390,88601,30837,43029,95296,59971,27467,1065,4464,3276,4377,5670,4967,1948,367,606,542,185,137411,2066,16608,12958,32914,33653,18806,6797,1744,3422,4957,3486
