"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"California","06",25971,25513,35730,30998,22001
"Colorado","08",29237,23987,33545,30378,22827
"Connecticut","09",31920,30845,40205,18506,29244
"Delaware","10",28405,26176,30666,29973,26475
"District of Columbia","11",38014,21571,50328,48452,33141
"Florida","12",23387,20592,27049,20841,20379
"Georgia","13",24682,21020,30740,28415,21924
"Hawaii","15",29786,29432,35308,30381,24759
"Idaho","16",22166,21880,23011,17449,20390
"Illinois","17",27301,27308,31464,22207,24701
"Indiana","18",24801,24839,25188,26759,21927
"Iowa","19",26717,27289,25971,21883,23274
"Kansas","20",26299,25299,28967,25683,22935
"Kentucky","21",21871,21124,24362,26788,20898
"Louisiana","22",22416,21685,26504,25764,21605
"Maine","23",24367,22852,27125,26684,20291
"Maryland","24",34564,27494,44529,41423,30383
"Massachusetts","25",31016,30783,39829,15088,26743
"Michigan","26",23938,23780,24754,22299,23260
"Minnesota","27",30094,29850,32077,27059,23573
"Mississippi","28",20206,18781,23430,25383,20236
"Missouri","29",23933,23229,25379,24812,22512
"Montana","30",23536,23449,23685,29545,20819
"Nebraska","31",26450,26655,27274,29340,22004
"Nevada","32",26328,21978,28438,26088,24254
"New Hampshire","33",30651,25670,34126,29270,28559
"New Jersey","34",32158,31700,39549,21157,29088
"New Mexico","35",22775,20498,27212,28817,18640
"New York","36",28449,30129,35080,17413,24337
"North Carolina","37",23946,21395,29074,27091,21048
"North Dakota","38",29326,30125,28599,26208,21482
"Ohio","39",24778,24631,25467,20539,24351
"Oklahoma","40",23460,22788,25297,25403,20715
"Oregon","41",24445,23633,25654,30948,21598
"Pennsylvania","42",25874,25723,28063,17292,24235
"Rhode Island","44",26840,27395,30006,12461,22461
"South Carolina","45",22451,20279,27368,26604,21130
"South Dakota","46",25866,25287,26986,26697,23548
"Tennessee","47",22570,21000,26250,25530,21143
"Texas","48",25227,24155,32749,29562,20620
"Utah","49",25043,24980,26934,22603,20937
"Vermont","50",26323,24615,28990,33214,22048
"Virginia","51",30322,23677,39407,38139,29238
"Washington","53",29109,27137,32193,33510,24172
"West Virginia","54",21494,21110,22359,21011,23646
"Wisconsin","55",26668,27032,26886,21762,22071
"Wyoming","56",26778,25551,28047,30737,21234
"Alabama","01",21830,20647,26338,25825,20046
"Alaska","02",29932,17453,37302,31945,24701
"Arizona","04",25307,21158,29191,26037,20719
"Arkansas","05",21529,20894,22472,26083,21468
