"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3309607,446943,1029982,987978,528019,316685,2162139,316800,748238,640665,294942,161494,977502,90298,242405,311820,203203,129776,34336,2006,6721,12633,8044,4932,135630,37839,32618,22860,21830,20483
"Alaska","02",481561,40036,133132,169709,86444,52240,139475,17001,48853,47302,19412,6907,279470,12589,69404,102197,55108,40172,13422,1442,2909,6021,2131,919,49194,9004,11966,14189,9793,4242
"Arizona","04",4711362,604898,1136493,1586879,863062,520030,1130181,149670,316410,416672,173457,73972,2696915,167360,616795,988274,565820,358666,72601,8188,13723,25426,16621,8643,811665,279680,189565,156507,107164,78749
"Arkansas","05",2008398,267542,683285,587457,301294,168820,1090418,139180,402888,316553,152044,79753,782482,79881,249274,248735,129959,74633,17092,731,3333,5914,4281,2833,118406,47750,27790,16255,15010,11601
"California","06",26679273,4449302,5541182,7712542,5616449,3359798,11085612,922185,2629828,4095967,2317566,1120066,5521389,324708,924657,1687373,1493389,1091262,378141,43702,66031,122387,93206,52815,9694131,3158707,1920666,1806815,1712288,1095655
"Colorado","08",3822068,319636,815595,1112140,994894,579803,1141214,87250,321723,378487,250883,102871,2155287,89558,378399,630592,650966,405772,61217,3864,10246,22254,15473,9380,464350,138964,105227,80807,77572,61780
"Connecticut","09",2493854,239289,676911,613047,533791,430816,1158197,75137,373449,328339,233039,148233,773092,35563,151244,176074,211327,198884,101253,35999,28926,21192,8179,6957,461312,92590,123292,87442,81246,76742
"Delaware","10",673686,63551,218309,179743,121442,90641,234545,20849,96226,66223,33171,18076,342470,20954,97492,96201,72727,55096,11423,1800,4129,2893,1564,1037,85248,19948,20462,14426,13980,16432
"District of Columbia","11",494614,48331,85033,77731,118172,165347,143505,18590,50854,38851,20700,14510,252329,10249,20863,27235,78293,115689,11313,1266,1336,1322,3439,3950,87467,18226,11980,10323,15740,31198
"Florida","12",15020177,1745933,4330040,4489712,2839500,1614992,3405418,376756,1100455,1086336,580330,261541,7153791,494896,1979503,2307611,1464828,906953,595835,86341,155953,191597,107505,54439,3865133,787940,1094129,904168,686837,392059
"Georgia","13",6896026,893436,1936501,1934611,1311611,819867,3149190,466289,1096735,900001,445962,240203,2728498,180484,606286,845794,661964,433970,99393,9366,20643,33553,22246,13585,918945,237297,212837,155263,181439,132109
"Hawaii","15",997744,77131,280494,311439,216993,111687,455690,22742,155460,146422,93011,38055,271583,7891,51564,92031,70383,49714,28652,2187,6616,9751,6274,3824,241819,44311,66854,63235,47325,20094
"Idaho","16",1111788,101739,313029,399362,202800,94858,424697,30613,141415,157990,67330,27349,591705,37159,151376,219892,122745,60533,11561,651,3014,4686,2238,972,83825,33316,17224,16794,10487,6004
"Illinois","17",8707057,949880,2272174,2487198,1829903,1167902,5171684,356570,1482039,1710771,1040115,582189,1797240,132691,373134,469826,465212,356377,102765,23136,24298,28098,17043,10190,1635368,437483,392703,278503,307533,219146
"Indiana","18",4435317,504862,1450767,1290230,753268,436190,2774473,277021,1009630,830694,446252,210876,1354149,141383,377029,406541,258027,171169,30756,3555,7756,8801,6397,4247,275939,82903,56352,44194,42592,49898
"Iowa","19",2093909,165605,639230,683254,406630,199190,1417060,82657,476509,481420,266816,109658,532672,40143,129690,174504,119939,68396,13213,1048,3426,4990,2649,1100,130964,41757,29605,22340,17226,20036
"Kansas","20",1904528,171263,490769,599754,403542,239200,989399,65180,287060,338143,201960,97056,728362,49244,162244,227048,174862,114964,17732,1148,3780,5808,4601,2395,169035,55691,37685,28755,22119,24785
"Kentucky","21",3018953,412486,997060,885855,423916,299636,1972157,297000,707069,571234,238749,158105,890943,85051,247486,281320,159597,117489,23244,1498,6564,8025,4527,2630,132609,28937,35941,25276,21043,21412
"Louisiana","22",3120277,463819,1061526,852407,482439,260086,2322351,351086,845015,634515,331185,160550,614216,62115,171224,182336,121251,77290,22688,2132,4272,7220,5848,3216,161022,48486,41015,28336,24155,19030
"Maine","23",971740,74787,300716,284630,193860,117747,569470,51195,212786,172739,93316,39434,352492,16663,75886,100346,91055,68542,11768,1077,2900,3985,2124,1682,38010,5852,9144,7560,7365,8089
"Maryland","24",4167604,420009,1020828,1074187,889090,763490,1569293,162408,522369,446025,276984,161507,1738978,94313,339592,457727,429144,418202,64021,4883,9883,18061,15761,15433,795312,158405,148984,152374,167201,168348
"Massachusetts","25",4788573,442458,1163526,1103918,1146586,932085,2573212,160126,735696,700250,612439,364701,1082141,42055,151606,199372,338832,350276,150352,42854,41992,31564,17617,16325,982868,197423,234232,172732,177698,200783
"Michigan","26",6819310,619966,1969839,2243941,1201375,784189,4904302,375923,1520088,1732150,821578,454563,1288652,116407,323303,390538,259353,199051,51110,6464,12038,16702,8677,7229,575246,121172,114410,104551,111767,123346
"Minnesota","27",3778416,261634,938908,1215748,888880,473246,2330637,114590,660145,823263,515403,217236,1029750,45778,194451,301885,297116,190520,27343,1993,5442,9257,6305,4346,390686,99273,78870,81343,70056,61144
"Mississippi","28",1959341,305968,595611,629265,265220,163277,1333404,223868,419896,422331,170235,97074,559410,65610,160694,191159,85451,56496,12417,775,2726,3919,2966,2031,54110,15715,12295,11856,6568,7676
"Missouri","29",4150275,427539,1277505,1239392,743797,462042,2498047,254635,851068,757006,413938,221400,1410337,129221,370524,433195,286793,190604,34589,2604,9335,9653,7280,5717,207302,41079,46578,39538,35786,44321
"Montana","30",723666,50729,203141,235979,157326,76491,329021,25387,101949,109036,66512,26137,366901,21211,95018,119034,85283,46355,8192,299,2030,2838,2038,987,19552,3832,4144,5071,3493,3012
"Nebraska","31",1259254,109423,331081,419970,263330,135450,736731,37716,209602,266490,155194,67729,395769,24404,94338,131573,91824,53630,9913,404,2488,3166,2496,1359,116841,46899,24653,18741,13816,12732
"Nevada","32",2063180,273017,592846,684037,340110,173170,209474,16947,70740,69883,35307,16597,1277540,94941,360781,483646,216189,121983,38149,3659,11386,13961,5937,3206,538017,157470,149939,116547,82677,31384
"New Hampshire","33",958005,66560,268564,268989,216750,137142,314390,27921,110492,90492,59256,26229,561150,28357,138158,162282,137874,94479,10638,917,2630,2266,3402,1423,71827,9365,17284,13949,16218,15011
"New Jersey","34",6234538,628185,1696858,1432788,1506899,969808,2601624,162093,829724,674190,619421,316196,1648690,85517,377380,396386,455625,333782,166317,46433,48245,37833,21721,12085,1817907,334142,441509,324379,410132,307745
"New Mexico","35",1391475,193565,370599,450811,211995,164505,614245,82768,202044,213375,73923,42135,593355,39609,130298,202305,116553,104590,16736,1560,3306,6394,3357,2119,167139,69628,34951,28737,18162,15661
"New York","36",13821132,1854945,3634065,3351960,2794920,2185242,7581644,615819,2151178,2155554,1508652,1150441,1808229,122259,318262,367422,536566,463720,395118,119908,106571,81953,48593,38093,4036141,996959,1058054,747031,701109,532988
"North Carolina","37",6991185,853789,1800555,2146162,1406739,783940,3428377,465696,1071779,1111035,542883,236984,2779837,169159,574620,881394,722105,432559,88448,8429,16143,29806,21852,12218,694523,210505,138013,123927,119899,102179
"North Dakota","38",495904,35023,130900,177542,108045,44394,297505,22104,80657,108661,66131,19952,167973,9415,43640,61013,35602,18303,4385,151,985,1912,1144,193,26041,3353,5618,5956,5168,5946
"Ohio","39",7981885,777688,2661209,2311638,1381934,849416,5609684,502143,2015198,1688081,920742,483520,1858224,191435,530630,517646,356421,262092,74063,12189,19207,24441,9743,8483,439914,71921,96174,81470,95028,95321
"Oklahoma","40",2586414,309014,804245,812619,437243,223293,1385683,142892,465217,444669,228681,104224,989472,95888,288668,326454,179201,99261,26438,2231,6163,9977,5495,2572,184821,68003,44197,31519,23866,17236
"Oregon","41",2901195,262381,673810,986587,609160,369257,1020700,69401,287822,384680,194404,84393,1486303,92506,306122,514453,343295,229927,38301,3162,7356,10035,11788,5960,355891,97312,72510,77419,59673,48977
"Pennsylvania","42",8960842,844296,3134497,2164813,1697397,1119839,6187738,519550,2436393,1522752,1098032,611011,1852396,131487,471337,473513,436240,339819,170577,42204,56552,36391,20637,14793,750131,151055,170215,132157,142488,154216
"Rhode Island","44",736969,86292,220613,183540,149699,96825,371936,35108,126053,103753,72218,34804,223304,12955,49416,56301,58313,46319,16228,3733,4749,3515,2766,1465,125501,34496,40395,19971,16402,14237
"South Carolina","45",3443851,434848,1016072,1028591,607024,357316,1715277,274088,593725,498304,230604,118556,1483127,105080,365197,472829,336551,203470,39570,3057,8571,14172,8058,5712,205877,52623,48579,43286,31811,29578
"South Dakota","46",574559,47626,176709,188486,109803,51935,343590,30264,112075,113699,62864,24688,203849,13526,55221,68895,42572,23635,4913,331,1296,1080,1091,1115,22207,3505,8117,4812,3276,2497
"Tennessee","47",4588453,559884,1488080,1286327,790840,463322,2397776,320808,899520,657234,344950,175264,1865366,157843,509865,570280,385114,242264,43527,3223,8413,14576,11805,5510,281784,78010,70282,44237,48971,40284
"Texas","48",18149346,2969023,4552676,5256158,3510311,1861178,8871158,1045352,2613194,2937972,1600379,674261,4802201,302798,1005515,1561111,1228378,704399,295783,38195,64338,92545,66814,33891,4180204,1582678,869629,664530,614740,448627
"Utah","49",1827035,143535,408078,642980,416804,215638,934805,52159,228157,359805,200673,94011,645851,30534,116603,226675,174730,97309,21900,1795,5081,7272,4547,3205,224479,59047,58237,49228,36854,21113
