"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Alabama","01",3972124,580195,3391929,680935,401057,611205,432999,449970,315561,117938,382264,2648095,389197,2258898,477186,281220,423501,294670,302301,201232,71937,206851,1126082,148707,977375,176998,102703,157186,117806,126354,102044,40347,153937,40289,4692,35597,8137,3349,4697,3276,6514,3769,1265,4590,157658,37599,120059,18614,13785,25821,17247,14801,8516,4389,16886
"Alaska","02",583639,36332,547307,117045,37226,69761,67257,70019,55577,28595,101827,197596,12522,185074,59687,14531,24886,20400,21159,13656,6804,23951,314667,19946,294721,44838,18115,33597,35566,38811,36540,17869,69385,16594,766,15828,2090,979,1735,2892,2415,1586,1626,2505,54782,3098,51684,10430,3601,9543,8399,7634,3795,2296,5986
"Arizona","04",5663228,856475,4806753,831389,468889,818653,653193,724039,456522,186635,667433,1698814,373751,1325063,312995,123992,224714,190162,203310,111856,42126,115908,2984768,292074,2692694,381564,256761,432187,339934,417402,281659,121134,462053,86620,12102,74518,11540,6026,12671,10932,11002,6983,3710,11654,893026,178548,714478,125290,82110,149081,112165,92325,56024,19665,77818
"Arkansas","05",2418049,330383,2087666,407482,254097,389054,290580,294196,181356,73986,196915,1355845,186987,1168858,242953,148757,214135,161289,161565,99282,40390,100487,906206,112671,793535,144753,96420,143011,104759,117774,73185,30465,83168,21483,2475,19008,3738,809,3857,3313,2450,1879,130,2832,134515,28250,106265,16038,8111,28051,21219,12407,7010,3001,10428
"California","06",32009857,5241781,26768076,4495967,2731490,4125401,3079989,3352929,2432239,1146889,5403172,15216937,2907230,12309707,2316020,1224538,1802859,1391972,1577851,1176058,552259,2268150,5968915,479360,5489555,650435,484509,740256,542992,659074,535096,278555,1598638,455057,67276,387781,66630,35496,47559,38562,47970,40975,18293,92296,10368948,1787915,8581033,1462882,986947,1534727,1106463,1068034,680110,297782,1444088
"Colorado","08",4558575,509868,4048707,638118,332013,562075,493943,611265,461901,197669,751723,1553376,215379,1337997,281634,122302,194150,162393,201941,146004,57311,172262,2410474,203090,2207384,278944,168285,283962,255137,330730,268517,118275,503534,76351,9506,66845,12153,6184,7725,6755,8856,7499,4375,13298,518374,81893,436481,65387,35242,76238,69658,69738,39881,17708,62629
"Connecticut","09",2986837,353346,2633491,419938,208572,357171,300521,343751,291269,130748,581521,1469789,179670,1290119,217299,102701,167666,151328,181447,153370,71201,245107,892191,78882,813309,115006,53108,98230,77942,94662,88684,40707,244970,116852,16937,99915,25556,15438,16786,12211,10392,6475,2669,10388,508005,77857,430148,62077,37325,74489,59040,57250,42740,16171,81056
"Delaware","10",792511,120044,672467,109190,57900,96016,90687,94940,74027,32508,117199,292660,53002,239658,43235,23232,33849,33845,37281,26805,10127,31284,393180,43090,350090,54794,29948,47517,45267,46235,39448,18079,68802,13506,3002,10504,1876,668,1716,1623,1341,1276,318,1686,93165,20950,72215,9285,4052,12934,9952,10083,6498,3984,15427
"District of Columbia","11",585161,66040,519121,84780,33915,48668,42502,51762,59503,33924,164067,175796,33566,142230,32478,15981,19306,17351,14483,14913,7653,20065,298558,19046,279512,40157,11922,17726,15181,25577,33989,20175,114785,13310,986,12324,1002,1284,939,1329,1768,979,737,4286,97497,12442,85055,11143,4728,10697,8641,9934,9622,5359,24931
"Florida","12",17514198,2537635,14976563,2610484,1602520,2813927,2085998,2144649,1333611,530299,1855075,4841818,1028489,3813329,832472,395057,690342,554417,568625,317802,111261,343353,7770038,712750,7057288,992063,710606,1251490,945306,1050131,709957,294995,1102740,698658,107316,591342,117153,71165,116038,76320,83543,48735,20128,58260,4203684,689080,3514604,668796,425692,756057,509955,442350,257117,103915,350722
"Georgia","13",8349724,1274729,7074995,1298058,719072,1160820,933065,1000298,687025,275045,1001612,4078990,697896,3381094,738357,394301,588907,452019,480374,302075,112318,312743,3131159,364767,2766392,426590,237672,387112,335802,400761,305872,132523,540060,119317,15618,103699,17163,10603,16978,14201,12512,11425,4084,16733,1020258,196448,823810,115948,76496,167823,131043,106651,67653,26120,132076
"Hawaii","15",1167820,145129,1022691,154278,72847,145721,135674,167962,122081,50746,173382,556728,75730,480998,77002,31959,64423,62607,80807,62214,25655,76331,317691,28939,288752,35503,18621,41043,36930,43288,31820,16328,65219,35454,3834,31620,5693,2353,4654,3730,4688,3256,1327,5919,257947,36626,221321,36080,19914,35601,32407,39179,24791,7436,25913
"Idaho","16",1349449,151895,1197554,247191,125271,213055,164578,166968,110389,41085,129017,556169,67455,488714,107200,54892,84809,65895,66653,46317,15327,47621,683258,67528,615730,122896,61089,108154,80945,85667,58468,23592,74919,14268,1491,12777,2426,756,2806,1685,2432,1117,360,1195,95754,15421,80333,14669,8534,17286,16053,12216,4487,1806,5282
