"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4874747,288897,805164,471079,628878,596006,630330,329812,131137,190228,480913,322303,3407382,254722,654362,336159,416653,383931,388384,206515,86985,123678,326275,229718,1252638,30742,131096,113298,170370,166251,205513,109138,39702,60940,139950,85638,45661,1672,5464,4189,7969,7026,7724,5084,1246,1701,2927,659,169066,1761,14242,17433,33886,38798,28709,9075,3204,3909,11761,6288
"Alaska","02",739795,52919,132262,73053,118149,97124,89052,49003,20316,24876,56838,26203,314056,42648,93580,38353,51244,34260,21499,10615,3639,4911,9089,4218,348023,9156,31498,27899,53814,46919,55204,31425,14943,17164,41579,18422,19529,663,2730,2714,4004,3628,2243,1605,594,660,657,31,58187,452,4454,4087,9087,12317,10106,5358,1140,2141,5513,3532
"Arizona","04",7016270,435041,1197687,672180,953327,859457,850441,433857,166409,247021,701165,499685,2784137,377812,902181,373963,392191,262313,188445,86319,29781,39074,83291,48767,3204995,46726,239293,222061,384670,387300,462988,270751,107764,167987,525742,389713,102238,3362,15716,10559,17775,17039,15618,7114,2451,3674,5101,3829,924900,7141,40497,65597,158691,192805,183390,69673,26413,36286,87031,57376
"Arkansas","05",3004279,186640,521793,287448,382786,370996,375887,194372,76817,110516,291595,205429,1821927,160547,393918,177044,214645,204971,196484,96448,37859,58017,160697,121297,1017615,23565,117888,93680,131779,126782,150555,87964,36105,47871,120872,80554,24659,1461,2260,3846,5256,4459,2692,2387,223,573,1227,275,140078,1067,7727,12878,31106,34784,26156,7573,2630,4055,8799,3303
"California","06",39536653,2460425,6596961,3799994,6018225,5232877,5159747,2495755,950597,1317255,3198555,2306262,21966372,2281866,5748657,2850237,3561552,2232067,1929523,947515,347098,471217,1036015,560625,6365215,97046,388668,358112,752729,754797,877993,565308,237608,357901,1039557,935496,551652,27149,92651,53711,90285,77706,78724,39078,13516,21105,36571,21156,10653414,54364,366985,537934,1613659,2168307,2273507,943854,352375,467032,1086412,788985
"Colorado","08",5607154,332593,929766,522727,867170,762156,714756,367628,138809,197850,481344,292355,2360222,285426,665958,267624,315748,232456,198878,104805,37978,54226,122493,74630,2606254,39272,209867,201828,431169,386081,398205,221551,86445,123079,317350,191407,89910,2247,15875,10571,14360,15528,14071,5575,2540,3347,4085,1711,550768,5648,38066,42704,105893,128091,103602,35697,11846,17198,37416,24607
"Connecticut","09",3588184,182194,560084,352052,444141,421380,515325,268023,100593,143298,339078,262016,1944602,156201,421254,208950,232886,183570,239710,130658,49125,64321,147820,110107,981721,19844,94585,94200,106700,107457,155644,84569,33268,52398,129033,104023,131616,2829,16126,11408,17315,20121,21426,10594,4041,5829,13928,7999,530245,3320,28119,37494,87240,110232,98545,42202,14159,20750,48297,39887
"Delaware","10",961939,54907,149406,83940,130949,111068,124532,67129,27926,38865,104358,68859,415536,43953,99949,37089,61775,40936,43659,23950,8928,11539,26292,17466,432801,8925,42092,39314,44743,45816,62739,35437,15460,23067,69563,45645,15109,550,1888,1248,2610,2182,2377,930,895,556,1255,618,98493,1479,5477,6289,21821,22134,15757,6812,2643,3703,7248,5130
"District of Columbia","11",693972,45065,79533,74760,162354,102128,76277,35580,14321,19962,48189,35803,259366,35034,59749,21078,39843,25531,26691,15073,5523,7264,14714,8866,317612,7577,14765,42941,92635,49091,32360,13176,6322,9412,26403,22930,15134,490,1674,1657,3904,2923,2423,787,340,213,623,100,101860,1964,3345,9084,25972,24583,14803,6544,2136,3073,6449,3907
"Florida","12",20984400,1129322,3071458,1763443,2707837,2535767,2761337,1456547,562458,780999,2344869,1870363,7546073,983619,2183564,973472,1131301,700235,595703,289925,101782,126120,285257,175095,8270242,100094,563093,453264,864318,899530,1207707,728369,305460,442447,1479946,1226014,788744,17271,102268,73370,111424,133775,118074,56863,19122,25379,76544,54654,4379341,28338,222533,263337,600794,802227,839853,381390,136094,187053,503122,414600
