"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"The Chathams School District, New Jersey","3400004",19239,463,116,18660,9897,283,84,9530,6923,103,32,6788,171,0,0,171,2248,77,0,2171
"Great Meadows Regional School District, New Jersey","3400008",8654,227,233,8194,5843,136,180,5527,1905,35,13,1857,36,0,0,36,870,56,40,774
"Somerset Hills Regional School District, New Jersey","3400009",10977,262,248,10467,5800,33,123,5644,3520,78,41,3401,176,0,0,176,1481,151,84,1246
"Allenhurst Borough School District, New Jersey","3400780",492,17,20,455,356,17,13,326,129,0,3,126,0,0,0,0,7,0,4,3
"Asbury Park City School District, New Jersey","3400930",16273,4781,2763,8729,8977,3128,1464,4385,2652,613,379,1660,423,111,61,251,4221,929,859,2433
"Atlantic City School District, New Jersey","3400960",39959,10125,6930,22904,18620,5785,3165,9670,8432,1964,1443,5025,1713,361,547,805,11194,2015,1775,7404
"Audubon Borough School District, New Jersey","3401050",9927,656,313,8958,6055,370,186,5499,3343,177,98,3068,156,0,0,156,373,109,29,235
"Bayonne City School District, New Jersey","3401260",61830,7612,4175,50043,36110,4156,2362,29592,8061,878,560,6623,1283,241,137,905,16376,2337,1116,12923
"Belleville Town School District, New Jersey","3401350",35626,2151,2875,30600,17376,887,1384,15105,4520,215,184,4121,1696,387,134,1175,12034,662,1173,10199
"Belvidere Town School District, New Jersey","3401440",2734,62,84,2588,1995,48,66,1881,672,14,18,640,0,0,0,0,67,0,0,67
"Bergenfield Borough School District, New Jersey","3401500",26469,1510,1265,23694,8300,327,414,7559,7638,324,339,6975,474,11,24,439,10057,848,488,8721
"Berkeley Heights Township School District, New Jersey","3401530",12688,176,311,12201,7037,68,146,6823,3614,48,55,3511,150,0,0,150,1887,60,110,1717
"Bernards Township School District, New Jersey","3401650",25569,737,417,24415,13244,319,264,12661,7887,164,121,7602,203,11,0,192,4235,243,32,3960
"Bloomfield Township School District, New Jersey","3401830",46652,3470,2709,40473,24812,1499,1168,22145,8049,491,347,7211,1662,174,112,1376,12129,1306,1082,9741
"Bogota Borough School District, New Jersey","3401920",8158,648,254,7256,3427,151,40,3236,2154,290,35,1829,224,0,0,224,2353,207,179,1967
"Boonton Town School District, New Jersey","3401950",8233,884,726,6623,4862,554,358,3950,1506,76,53,1377,110,0,39,71,1755,254,276,1225
"Bordentown Regional School District, New Jersey","3402030",15397,345,343,14709,9925,205,174,9546,3267,89,90,3088,201,24,0,177,2004,27,79,1898
"Bound Brook Borough School District, New Jersey","3402100",10185,394,1356,8435,4815,127,517,4171,1345,51,83,1211,50,9,0,41,3975,207,756,3012
"Brick Township School District, New Jersey","3402220",75528,3948,3828,67752,54453,2978,2682,48793,15944,690,562,14692,816,100,39,677,4315,180,545,3590
"Bridgeton City School District, New Jersey","3402250",20014,5544,3239,11231,11206,3244,1948,6014,2855,681,414,1760,408,222,43,143,5545,1397,834,3314
"Bridgewater-Raritan Regional School District, New Jersey","3402280",50670,1799,1332,47539,28280,963,531,26786,11331,309,417,10605,370,0,9,361,10689,527,375,9787
"Buena Regional School District, New Jersey","3402400",12117,1545,832,9740,7913,972,399,6542,3141,492,220,2429,473,42,169,262,590,39,44,507
"Burlington City School District, New Jersey","3402430",9896,1165,905,7826,6214,832,528,4854,2784,239,198,2347,179,17,32,130,719,77,147,495
"Burlington Township School District, New Jersey","3402460",21768,1224,801,19743,11804,620,422,10762,6201,376,219,5606,429,12,11,406,3334,216,149,2969
"Butler Borough School District, New Jersey","3402520",7515,255,425,6835,5222,232,261,4729,1192,11,7,1174,112,0,35,77,989,12,122,855
"Caldwell-West Caldwell School District, New Jersey","3402580",18222,511,919,16792,12146,371,271,11504,3889,60,163,3666,152,0,66,86,2035,80,419,1536
"Camden City School District, New Jersey","3402640",74996,27065,11521,36410,42245,17834,6169,18242,13545,3193,1834,8518,8410,3113,1802,3495,10796,2925,1716,6155
"Cape May Point Borough School District, New Jersey","3402760",128,12,18,98,32,4,5,23,96,8,13,75,0,0,0,0,0,0,0,0
"Carteret Borough School District, New Jersey","3402820",22027,2860,2160,17007,10204,1229,623,8352,3772,881,427,2464,1117,248,70,799,6934,502,1040,5392
"Cedar Grove Township School District, New Jersey","3402850",11589,63,193,11333,7836,60,157,7619,2172,3,36,2133,84,0,0,84,1497,0,0,1497
"Cherry Hill Township School District, New Jersey","3403000",69735,2897,2408,64430,26673,988,1068,24617,31823,1142,792,29889,910,41,95,774,10329,726,453,9150
"Cinnaminson Township School District, New Jersey","3403120",15422,721,557,14144,6368,189,244,5935,7958,329,299,7330,36,0,5,31,1060,203,9,848
"Clark Township School District, New Jersey","3403150",14584,479,536,13569,10892,351,333,10208,1849,96,136,1617,65,0,0,65,1778,32,67,1679
"Clayton Borough School District, New Jersey","3403180",8063,942,365,6756,5222,742,230,4250,2535,177,104,2254,111,23,0,88,195,0,31,164
"Cliffside Park Borough School District, New Jersey","3403270",23317,2452,1441,19424,7475,926,566,5983,5813,421,303,5089,575,33,105,437,9454,1072,467,7915
"Clifton City School District, New Jersey","3403300",81788,7590,4773,69425,40344,3264,1940,35140,10188,1032,480,8676,2800,442,189,2169,28456,2852,2164,23440
"Collingswood Borough School District, New Jersey","3403420",13932,1705,905,11322,7206,924,422,5860,5436,519,335,4582,286,95,8,183,1004,167,140,697
"Corbin City School District, New Jersey","3403510",638,46,26,566,365,35,21,309,253,11,3,239,4,0,0,4,16,0,2,14
"Cranford Township School District, New Jersey","3403570",22154,738,210,21206,14899,400,143,14356,5249,244,54,4951,188,27,0,161,1818,67,13,1738
"Cresskill Borough School District, New Jersey","3403600",8380,338,135,7907,3651,59,52,3540,2633,97,60,2476,110,0,0,110,1986,182,23,1781
"Delran Township School District, New Jersey","3403780",16733,739,427,15567,8088,401,103,7584,6107,134,128,5845,358,13,0,345,2180,191,196,1793
"Deptford Township School District, New Jersey","3403900",29685,2548,1415,25722,15701,1376,843,13482,11534,786,436,10312,423,52,109,262,2027,334,27,1666
"Dover Town School District, New Jersey","3403930",19432,2098,1347,15987,6700,670,401,5629,1534,173,119,1242,1053,77,59,917,10145,1178,768,8199
"Dumont Borough School District, New Jersey","3403990",17386,556,339,16491,8212,157,172,7883,3870,124,110,3636,270,0,38,232,5034,275,19,4740
"Dunellen Borough School District, New Jersey","3404020",7143,594,299,6250,4043,213,205,3625,1433,73,48,1312,64,15,0,49,1603,293,46,1264
"East Brunswick Township School District, New Jersey","3404110",47395,1589,830,44976,19708,579,351,18778,13280,365,151,12764,676,29,57,590,13731,616,271,12844
"East Orange City School District, New Jersey","3404230",63832,13631,6705,43496,34583,8818,3458,22307,13352,1935,1630,9787,1313,277,96,940,14584,2601,1521,10462
"East Windsor Regional School District, New Jersey","3404320",32228,1808,1413,29007,13680,838,567,12275,9275,266,328,8681,461,11,11,439,8812,693,507,7612
"Edison Township School District, New Jersey","3404500",97033,6957,3092,86984,40737,3446,1432,35859,16607,1512,434,14661,989,126,0,863,38700,1873,1226,35601
"Egg Harbor Township School District, New Jersey","3404560",41306,2513,2528,36265,23787,1687,1453,20647,10962,594,444,9924,615,21,64,530,5942,211,567,5164
"Elizabeth City School District, New Jersey","3404590",120714,20212,14126,86376,45002,9033,5728,30241,13912,3079,1554,9279,4868,1099,509,3260,56932,7001,6335,43596
"Elmwood Park Borough School District, New Jersey","3404660",19175,864,900,17411,10058,406,471,9181,2625,149,106,2370,164,0,7,157,6328,309,316,5703
"Emerson Borough School District, New Jersey","3404710",7040,74,643,6323,3942,42,463,3437,2076,14,136,1926,97,0,0,97,925,18,44,863
"Englewood City School District, New Jersey","3404740",26623,2663,2094,21866,8487,914,910,6663,9988,892,470,8626,347,52,98,197,7801,805,616,6380
