"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"The Chathams School District, New Jersey","3400004",14335,1958,12377,1825,552,770,990,1360,1029,655,5196,6022,1045,4977,833,264,362,450,600,413,327,1728,6155,604,5551,768,240,315,420,459,441,221,2687,82,23,59,0,0,0,0,10,0,5,44,2076,286,1790,224,48,93,120,291,175,102,737
"Great Meadows Regional School District, New Jersey","3400008",7199,670,6529,1269,532,736,610,740,899,442,1301,4567,517,4050,909,279,500,335,476,557,273,721,1726,120,1606,217,161,113,211,169,264,110,361,36,13,23,15,4,0,0,0,0,0,4,870,20,850,128,88,123,64,95,78,59,215
"Somerset Hills Regional School District, New Jersey","3400009",8701,1039,7662,1169,692,797,486,704,704,367,2743,4000,638,3362,506,217,243,308,368,302,178,1240,3182,295,2887,449,177,284,91,211,284,166,1225,136,2,134,10,57,0,54,0,0,0,13,1383,104,1279,204,241,270,33,125,118,23,265
"Allenhurst Borough School District, New Jersey","3400780",458,34,424,84,28,40,48,58,41,21,104,335,26,309,69,19,26,34,45,24,18,74,116,8,108,15,9,10,14,13,17,3,27,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,4,0,0,0,0,3
"Asbury Park City School District, New Jersey","3400930",12327,1371,10956,2799,1632,2123,1434,1287,672,205,804,5509,763,4746,1343,483,894,483,662,312,87,482,2425,139,2286,533,314,308,395,279,170,35,252,321,0,321,138,59,0,30,15,40,29,10,4072,469,3603,785,776,921,526,331,150,54,60
"Atlantic City School District, New Jersey","3400960",31361,4646,26715,6297,3696,5865,3654,3401,1646,542,1614,11598,1887,9711,2814,1329,1783,1296,1012,691,228,558,7808,708,7100,1565,966,1550,598,1165,540,214,502,1412,146,1266,380,123,490,190,54,0,0,29,10543,1905,8638,1538,1278,2042,1570,1170,415,100,525
"Audubon Borough School District, New Jersey","3401050",8540,606,7934,1328,570,1169,940,1127,1124,456,1220,4914,347,4567,786,268,689,597,763,510,314,640,3111,194,2917,456,218,383,295,341,588,132,504,156,27,129,57,3,12,0,11,10,10,26,359,38,321,29,81,85,48,12,16,0,50
"Bayonne City School District, New Jersey","3401260",51632,7356,44276,7173,4294,6920,5357,7327,4610,2524,6071,28318,3268,25050,4512,2127,3581,3002,3909,2838,1433,3648,6512,715,5797,535,566,793,700,1183,655,243,1122,1193,179,1014,222,103,217,152,144,105,12,59,15609,3194,12415,1904,1498,2329,1503,2091,1012,836,1242
"Belleville Town School District, New Jersey","3401350",29746,4745,25001,4002,2062,4048,3663,3972,2948,1328,2978,12710,1977,10733,1824,816,1700,1510,1591,1329,641,1322,3841,532,3309,484,198,446,500,699,393,113,476,1597,267,1330,267,218,111,93,199,172,101,169,11598,1969,9629,1427,830,1791,1560,1483,1054,473,1011
"Belvidere Town School District, New Jersey","3401440",2161,300,1861,211,214,258,289,320,189,87,293,1510,245,1265,125,155,190,214,231,126,68,156,584,55,529,69,54,61,75,73,53,19,125,0,0,0,0,0,0,0,0,0,0,0,67,0,67,17,5,7,0,16,10,0,12
"Bergenfield Borough School District, New Jersey","3401500",21514,2778,18736,2624,1803,2280,2156,2845,2393,795,3840,5016,761,4255,663,525,455,520,742,599,167,584,6401,602,5799,819,465,811,535,970,651,318,1230,386,54,332,7,20,39,65,18,76,0,107,9711,1361,8350,1135,793,975,1036,1115,1067,310,1919
"Berkeley Heights Township School District, New Jersey","3401530",10187,1236,8951,1398,529,970,719,1068,762,500,3005,4940,679,4261,777,277,520,376,619,256,201,1235,3226,336,2890,412,158,256,176,235,286,141,1226,130,0,130,71,12,0,0,0,47,0,0,1891,221,1670,138,82,194,167,214,173,158,544
"Bernards Township School District, New Jersey","3401650",20285,2661,17624,2992,997,1269,1127,1352,1562,799,7526,9213,1135,8078,1681,608,606,598,601,726,458,2800,7058,757,6301,903,209,535,327,483,593,199,3052,155,34,121,43,0,0,20,14,10,0,34,3859,735,3124,365,180,128,182,254,233,142,1640
"Bloomfield Township School District, New Jersey","3401830",39040,5461,33579,5190,2718,4931,3968,5649,4518,1433,5172,18834,2607,16227,2636,1289,2359,1676,2913,2334,775,2245,6937,581,6356,701,363,791,994,907,922,267,1411,1643,351,1292,249,116,123,167,298,134,65,140,11626,1922,9704,1604,950,1658,1131,1531,1128,326,1376
"Bogota Borough School District, New Jersey","3401920",6781,903,5878,923,535,707,738,1013,606,417,939,2427,420,2007,315,118,230,245,339,215,70,475,1803,167,1636,399,104,150,157,323,97,107,299,224,0,224,0,0,32,37,45,48,50,12,2327,316,2011,209,313,295,299,306,246,190,153
"Boonton Town School District, New Jersey","3401950",6816,747,6069,986,487,927,732,834,717,221,1165,3757,296,3461,581,266,364,393,652,465,130,610,1362,82,1280,150,76,193,132,71,164,47,447,110,0,110,57,12,11,0,10,0,0,20,1587,369,1218,198,133,359,207,101,88,44,88
"Bordentown Regional School District, New Jersey","3402030",12448,1296,11152,1311,589,1173,1232,2185,1733,664,2265,7389,701,6688,865,317,757,762,1256,1066,452,1213,2946,179,2767,262,114,237,323,465,530,113,723,163,57,106,10,0,35,0,36,14,0,11,1950,359,1591,174,158,144,147,428,123,99,318
"Bound Brook Borough School District, New Jersey","3402100",8440,1107,7333,1156,685,1615,1304,898,633,342,700,3310,424,2886,558,162,600,311,424,311,155,365,1275,121,1154,217,89,132,181,227,79,70,159,66,16,50,9,0,0,7,20,0,6,8,3789,546,3243,372,434,883,805,227,243,111,168
"Brick Township School District, New Jersey","3402220",63522,5308,58214,10065,5098,8649,7112,8888,7056,2750,8596,43450,4088,39362,7146,3564,5603,4645,6278,4782,1855,5489,15121,756,14365,1946,1165,2177,1910,2025,1831,753,2558,705,34,671,137,63,67,22,188,106,64,24,4246,430,3816,836,306,802,535,397,337,78,525
"Bridgeton City School District, New Jersey","3402250",19057,6428,12629,3798,1829,2632,1556,1399,736,205,474,9335,3575,5760,2001,696,831,728,749,393,114,248,3575,1117,2458,698,401,590,235,226,200,37,71,638,242,396,207,56,52,36,39,6,0,0,5509,1494,4015,892,676,1159,557,385,137,54,155
"Bridgewater-Raritan Regional School District, New Jersey","3402280",40338,4369,35969,5297,2255,3866,3501,4015,3738,1961,11336,19420,2183,17237,3005,1170,1685,1778,2125,2106,977,4391,10420,609,9811,1095,652,1173,957,971,946,419,3598,355,0,355,59,24,78,67,79,0,0,48,10143,1577,8566,1138,409,930,699,840,686,565,3299
"Buena Regional School District, New Jersey","3402400",9761,876,8885,1804,911,1239,1207,1628,897,529,670,5797,684,5113,892,419,784,722,817,685,326,468,2901,180,2721,642,380,251,352,512,197,190,197,473,0,473,216,19,94,43,86,15,0,0,590,12,578,54,93,110,90,213,0,13,5
"Burlington City School District, New Jersey","3402430",8150,598,7552,1589,719,1017,1308,1212,866,367,474,4798,333,4465,1172,458,431,800,759,466,155,224,2486,187,2299,249,212,344,421,362,304,186,221,147,0,147,52,0,33,0,18,25,0,19,719,78,641,116,49,209,87,73,71,26,10
"Burlington Township School District, New Jersey","3402460",17322,1944,15378,2323,1151,1669,2003,1994,2398,962,2878,7968,1182,6786,1174,550,516,915,908,1254,385,1084,5839,418,5421,721,402,547,603,771,717,341,1319,383,81,302,65,0,29,42,12,43,36,75,3132,263,2869,363,199,577,443,303,384,200,400
"Butler Borough School District, New Jersey","3402520",6103,389,5714,776,310,965,652,713,611,389,1298,3935,248,3687,548,198,567,392,466,408,263,845,1115,23,1092,97,56,148,126,178,117,67,303,102,0,102,11,14,40,10,0,9,12,6,951,118,833,120,42,210,124,69,77,47,144
"Caldwell-West Caldwell School District, New Jersey","3402580",14899,1232,13667,1651,874,1612,1195,2097,1625,637,3976,9239,822,8417,1167,463,1026,799,1275,1136,321,2230,3579,223,3356,173,147,290,245,581,287,189,1444,78,8,70,8,0,0,0,13,16,0,33,2003,179,1824,303,264,296,151,228,186,127,269
"Camden City School District, New Jersey","3402640",57653,11258,46395,16034,6033,10201,5828,4126,2336,684,1153,26637,6393,20244,7879,2442,3765,2447,1793,888,374,656,12460,2017,10443,3189,1231,2131,1256,1287,789,201,359,8260,1269,6991,2952,958,1303,990,396,301,20,71,10296,1579,8717,2014,1402,3002,1135,650,358,89,67
"Cape May Point Borough School District, New Jersey","3402760",128,2,126,14,19,25,22,23,11,2,10,32,0,32,4,10,2,7,3,4,2,0,96,2,94,10,9,23,15,20,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carteret Borough School District, New Jersey","3402820",17445,2815,14630,2467,1334,2484,2010,2252,1622,777,1684,7102,890,6212,1019,585,977,914,928,705,303,781,2627,353,2274,424,245,437,151,294,318,111,294,1061,159,902,328,81,142,91,102,44,31,83,6655,1413,5242,696,423,928,854,928,555,332,526
"Cedar Grove Township School District, New Jersey","3402850",10130,1235,8895,1238,597,823,786,1457,1014,490,2490,6407,921,5486,860,391,542,504,960,588,321,1320,2064,166,1898,171,107,161,132,241,275,75,736,151,22,129,23,22,8,15,28,33,0,0,1508,126,1382,184,77,112,135,228,118,94,434
"Cherry Hill Township School District, New Jersey","3403000",57189,5980,51209,8099,3811,6279,5608,6334,5552,2796,12730,18164,2247,15917,3019,1307,1846,1651,2128,1656,910,3400,28535,2395,26140,3620,1610,3302,2810,3284,2916,1502,7096,732,43,689,141,77,36,145,57,81,24,128,9758,1295,8463,1319,817,1095,1002,865,899,360,2106
"Cinnaminson Township School District, New Jersey","3403120",12751,1377,11374,2067,895,1366,1202,1660,1395,551,2238,4536,578,3958,893,290,463,498,543,377,224,670,7208,575,6633,1030,539,759,623,1015,925,297,1445,36,1,35,9,0,9,2,12,0,0,3,971,223,748,135,66,135,79,90,93,30,120
"Clark Township School District, New Jersey","3403150",12184,1253,10931,1890,691,1365,1118,1481,1539,590,2257,8625,807,7818,1364,498,978,753,1034,1155,458,1578,1745,266,1479,263,77,187,211,189,208,68,276,65,0,65,11,0,9,25,20,0,0,0,1749,180,1569,252,116,191,129,238,176,64,403
"Clayton Borough School District, New Jersey","3403180",6225,684,5541,1168,525,586,720,914,618,309,701,3549,456,3093,836,288,204,409,590,320,141,305,2397,204,2193,277,200,339,260,313,254,168,382,111,12,99,21,11,0,25,11,31,0,0,168,12,156,34,26,43,26,0,13,0,14
"Cliffside Park Borough School District, New Jersey","3403270",20086,2394,17692,2521,1711,2464,2070,2235,2447,851,3393,5010,864,4146,867,401,404,356,619,525,231,743,5202,415,4787,627,426,545,489,495,729,223,1253,556,66,490,15,0,113,150,54,41,35,82,9318,1049,8269,1012,884,1402,1075,1067,1152,362,1315
"Clifton City School District, New Jersey","3403300",68745,9445,59300,10155,5357,9068,7913,8699,7083,3096,7929,29160,3649,25511,4588,2146,3660,2817,3671,3492,1681,3456,9623,1059,8564,1361,640,1129,979,1373,919,470,1693,2573,355,2218,447,246,233,457,387,205,17,226,27389,4382,23007,3759,2325,4046,3660,3268,2467,928,2554
"Collingswood Borough School District, New Jersey","3403420",11803,819,10984,1777,932,1722,1106,1922,1249,681,1595,5655,457,5198,894,368,834,504,1040,593,314,651,4915,265,4650,609,419,633,538,699,592,314,846,251,30,221,85,0,9,0,55,38,0,34,982,67,915,189,145,246,64,128,26,53,64
"Corbin City School District, New Jersey","3403510",518,58,460,53,47,62,81,96,65,19,37,277,34,243,35,10,33,17,71,52,9,16,229,20,209,18,32,29,64,25,10,10,21,0,0,0,0,0,0,0,0,0,0,0,12,4,8,0,5,0,0,0,3,0,0
"Cranford Township School District, New Jersey","3403570",17966,1679,16287,2551,818,1823,1239,1776,1963,985,5132,11301,1125,10176,1696,522,1173,824,1168,1266,587,2940,4754,365,4389,636,143,427,315,349,531,249,1739,152,9,143,35,0,21,0,9,0,22,56,1759,180,1579,184,153,202,100,250,166,127,397
"Cresskill Borough School District, New Jersey","3403600",6492,895,5597,829,358,571,383,439,617,324,2076,2297,294,2003,385,129,233,166,78,290,105,617,2280,264,2016,257,137,235,141,209,97,167,773,79,5,74,0,0,0,0,0,0,6,68,1836,332,1504,187,92,103,76,152,230,46,618
"Delran Township School District, New Jersey","3403780",13468,1357,12111,1883,761,1515,1378,2051,1586,769,2168,5468,687,4781,855,353,475,686,844,668,346,554,5578,329,5249,698,316,440,459,934,642,377,1383,318,28,290,0,28,54,10,89,55,5,49,2104,313,1791,330,64,546,223,184,221,41,182
"Deptford Township School District, New Jersey","3403900",24841,2404,22437,3741,1968,3161,2834,3751,2796,1180,3006,11767,1323,10444,1982,872,1544,1310,1886,1223,489,1138,10759,828,9931,1466,889,1370,1120,1666,1286,623,1511,363,7,356,58,53,25,72,8,25,27,88,1952,246,1706,235,154,222,332,191,262,41,269
"Dover Town School District, New Jersey","3403930",16344,1833,14511,2797,1582,3270,2419,2107,1368,290,678,4384,565,3819,1144,312,478,459,559,435,162,270,1363,122,1241,188,110,186,163,215,154,16,209,1000,69,931,200,47,206,107,254,71,19,27,9597,1077,8520,1265,1113,2400,1690,1079,708,93,172
"Dumont Borough School District, New Jersey","3403990",14185,1738,12447,1898,1023,1730,1296,1687,1380,893,2540,5703,746,4957,812,537,553,430,664,466,411,1084,3469,228,3241,387,283,554,371,457,334,149,706,239,22,217,6,63,85,13,0,29,0,21,4774,742,4032,693,140,538,482,566,551,333,729
"Dunellen Borough School District, New Jersey","3404020",5778,574,5204,825,214,782,734,799,817,381,652,2912,282,2630,515,109,269,372,377,391,225,372,1243,41,1202,166,96,70,119,211,254,156,130,64,0,64,15,0,0,0,16,0,0,33,1559,251,1308,129,9,443,243,195,172,0,117
"East Brunswick Township School District, New Jersey","3404110",38145,4512,33633,5730,2029,3629,2955,4104,3780,2217,9189,13122,1635,11487,2439,963,1173,1167,1381,1435,733,2196,11237,894,10343,1180,549,1050,903,1278,1367,509,3507,617,96,521,95,34,119,19,53,61,27,113,13169,1887,11282,2016,483,1287,866,1392,917,948,3373
"East Orange City School District, New Jersey","3404230",51155,7279,43876,10349,4724,7904,6332,6868,3705,1249,2745,23843,3867,19976,5771,1602,3436,2765,3155,1527,570,1150,12312,808,11504,2359,1600,2162,1667,1407,1105,433,771,1266,251,1015,187,106,204,96,160,126,0,136,13734,2353,11381,2032,1416,2102,1804,2146,947,246,688
"East Windsor Regional School District, New Jersey","3404320",25846,2672,23174,3205,1485,3187,2864,3636,2287,962,5548,8401,1010,7391,1429,425,774,746,1337,947,455,1278,8415,633,7782,784,502,800,976,1220,660,353,2487,413,52,361,28,30,70,97,21,24,13,78,8617,977,7640,964,528,1543,1045,1058,656,141,1705
"Edison Township School District, New Jersey","3404500",80820,14391,66429,10236,4742,7737,6874,9127,7877,3768,16068,28653,5049,23604,4614,1760,2714,2748,3902,2951,1174,3741,14763,2175,12588,2084,1051,1581,1053,1751,1708,638,2722,878,115,763,64,44,172,122,142,105,34,80,36526,7052,29474,3474,1887,3270,2951,3332,3113,1922,9525
"Egg Harbor Township School District, New Jersey","3404560",31530,3267,28263,4031,2374,3978,4210,4704,3224,1679,4063,15326,1774,13552,2315,1129,1920,1909,2014,1657,628,1980,9957,816,9141,1063,801,1211,1230,1532,1126,697,1481,531,64,467,29,57,85,85,136,24,22,29,5716,613,5103,624,387,762,986,1022,417,332,573
"Elizabeth City School District, New Jersey","3404590",95384,15022,80362,16279,8224,19684,12954,10845,5820,1991,4565,25438,4993,20445,4850,1966,3731,3213,2859,1584,552,1690,11017,1684,9333,2410,834,1464,1264,1314,921,383,743,4385,633,3752,941,407,777,758,495,231,87,56,54544,7712,46832,8078,5017,13712,7719,6177,3084,969,2076
"Elmwood Park Borough School District, New Jersey","3404660",15951,2099,13852,2280,945,2259,1661,2285,1721,908,1793,7361,947,6414,1149,426,924,781,1134,780,366,854,2327,103,2224,354,145,387,216,379,226,178,339,152,44,108,21,7,30,0,20,30,0,0,6111,1005,5106,756,367,918,664,752,685,364,600
"Emerson Borough School District, New Jersey","3404710",6005,748,5257,978,521,457,550,526,584,377,1264,2818,410,2408,529,170,195,215,253,221,303,522,2123,130,1993,297,240,218,293,183,203,22,537,105,26,79,21,0,31,13,0,0,14,0,959,182,777,131,111,13,29,90,160,38,205
"Englewood City School District, New Jersey","3404740",21586,2768,18818,2976,1780,2518,2180,2441,2086,971,3866,5168,860,4308,1204,318,445,443,745,440,143,570,8483,769,7714,1025,749,877,737,803,899,600,2024,329,36,293,60,73,47,12,10,43,0,48,7606,1103,6503,687,640,1149,988,883,704,228,1224
"Ewing Township School District, New Jersey","3404920",31193,3801,27392,6370,2006,3445,2639,3915,3570,1455,3992,18422,2318,16104,4506,946,1911,1440,2165,2214,727,2195,8637,693,7944,1303,795,951,812,1280,866,502,1435,321,41,280,15,23,62,0,88,70,0,22,3813,749,3064,546,242,521,387,382,420,226,340
"Fair Lawn Borough School District, New Jersey","3404980",26580,3000,23580,3637,1766,2589,2234,3059,2903,1506,5886,10264,1082,9182,1895,623,1140,908,1241,1146,575,1654,7842,869,6973,777,430,767,619,968,851,560,2001,466,112,354,47,69,0,55,104,28,17,34,8008,937,7071,918,644,682,652,746,878,354,2197
"Florence Township School District, New Jersey","3405220",9946,995,8951,977,570,1290,1186,1720,1334,642,1232,6611,652,5959,729,426,927,829,1099,829,431,689,2118,153,1965,98,98,240,220,422,378,129,380,162,11,151,51,0,19,0,17,7,41,16,1055,179,876,99,46,104,137,182,120,41,147
"Fort Lee Borough School District, New Jersey","3405310",30218,4724,25494,3544,1548,2799,2660,3305,3291,1510,6837,4778,503,4275,748,322,408,633,382,529,278,975,8795,708,8087,849,345,872,758,1085,887,428,2863,547,73,474,140,67,46,50,57,53,53,8,16098,3440,12658,1807,814,1473,1219,1781,1822,751,2991
"Franklin Township School District, New Jersey","3405490",48706,5755,42951,5071,2801,4771,4311,6586,5241,3112,11058,18972,2325,16647,2315,1290,1771,1774,2986,1933,1279,3299,12767,893,11874,1186,874,1350,1238,1445,1529,790,3462,779,101,678,84,48,65,141,109,121,49,61,16188,2436,13752,1486,589,1585,1158,2046,1658,994,4236
"Garfield City School District, New Jersey","3405760",24563,3299,21264,3325,2402,4001,3045,3878,2416,567,1630,9477,1360,8117,1516,716,1435,987,1620,976,248,619,2833,202,2631,368,333,421,270,380,384,116,359,850,102,748,182,46,164,126,175,0,11,44,11403,1635,9768,1259,1307,1981,1662,1703,1056,192,608
"Glassboro Borough School District, New Jersey","3405880",15722,2469,13253,3813,1391,1707,1295,1797,1606,402,1242,9215,1891,7324,2501,796,922,571,868,997,156,513,4900,344,4556,850,470,581,604,819,510,162,560,343,42,301,174,22,16,29,11,0,0,49,1264,192,1072,288,103,188,91,99,99,84,120
"Glen Ridge Borough School District, New Jersey","3405940",5475,712,4763,707,231,319,328,374,517,218,2069,2578,340,2238,452,119,150,175,204,291,115,732,2040,255,1785,223,85,143,82,132,168,89,863,134,11,123,0,0,11,23,15,0,0,74,723,106,617,32,27,15,48,23,58,14,400
"Glen Rock Borough School District, New Jersey","3405970",8616,1096,7520,1187,309,793,473,709,815,360,2874,3934,555,3379,626,160,370,211,403,331,193,1085,3344,306,3038,425,125,342,164,178,320,115,1369,41,12,29,0,0,0,0,0,0,0,29,1297,223,1074,136,24,81,98,128,164,52,391
"Gloucester City School District, New Jersey","3406000",8949,809,8140,1679,966,1281,1161,1385,741,360,567,6000,517,5483,1154,642,830,755,966,494,279,363,2470,263,2207,432,305,349,353,281,213,81,193,20,0,20,20,0,0,0,0,0,0,0,459,29,430,73,19,102,53,138,34,0,11
"Green Brook Township School District, New Jersey","3406120",5605,762,4843,686,383,417,312,544,418,428,1655,2827,324,2503,409,231,246,212,288,229,192,696,1274,118,1156,156,78,93,76,124,103,119,407,110,15,95,7,22,20,0,0,0,0,46,1394,305,1089,114,52,58,24,132,86,117,506
"Hackensack City School District, New Jersey","3406270",36021,4595,31426,4104,3243,4720,4155,5090,3647,1745,4722,10966,1208,9758,1492,818,1229,1035,1913,1124,498,1649,8779,860,7919,830,694,899,921,1413,868,533,1761,1195,37,1158,47,111,194,195,257,104,102,148,15081,2490,12591,1735,1620,2398,2004,1507,1551,612,1164
"Hackettstown Town School District, New Jersey","3406300",7991,727,7264,1528,662,995,887,1037,787,456,912,4492,402,4090,1113,324,503,418,558,470,254,450,2171,126,2045,344,138,251,173,337,235,176,391,74,0,74,0,12,15,31,0,16,0,0,1254,199,1055,71,188,226,265,142,66,26,71
"Haddon Heights Borough School District, New Jersey","3406330",6117,523,5594,867,449,607,571,657,756,255,1432,3262,378,2884,502,201,273,319,405,413,88,683,2537,99,2438,301,188,296,218,252,307,167,709,65,0,65,20,0,0,19,0,21,0,5,253,46,207,44,60,38,15,0,15,0,35
"Haddon Township School District, New Jersey","3406360",11798,968,10830,1652,805,1623,1140,1627,1297,510,2176,6436,630,5806,994,474,928,700,781,705,255,969,4679,295,4384,517,279,644,341,777,533,227,1066,76,0,76,32,0,17,0,0,0,0,27,607,43,564,109,52,34,99,69,59,28,114
"Haddonfield Borough School District, New Jersey","3406390",9077,1046,8031,1399,493,729,694,869,677,477,2693,4146,516,3630,687,231,362,287,443,370,222,1028,4422,450,3972,587,211,324,378,405,278,220,1569,128,39,89,19,0,0,0,21,13,0,36,381,41,340,106,51,43,29,0,16,35,60
"Hamilton Township School District, New Jersey","3406540",72842,6739,66103,9527,5425,9633,8633,10251,8477,3804,10353,46641,3897,42744,6789,3331,5476,5387,6854,5595,2701,6611,13548,896,12652,1475,756,1740,1685,1730,1776,739,2751,1547,121,1426,182,154,362,121,259,226,59,63,11106,1825,9281,1081,1184,2055,1440,1408,880,305,928
"Hammonton Town School District, New Jersey","3406570",12009,1553,10456,1953,1220,1913,1164,1335,1060,580,1231,7170,991,6179,1173,654,1033,734,782,646,356,801,2727,337,2390,322,199,405,320,436,189,183,336,570,86,484,180,15,223,0,19,0,0,47,1542,139,1403,278,352,252,110,98,225,41,47
"Harrison Town School District, New Jersey","3406870",11261,2575,8686,1453,770,1828,1291,1327,928,417,672,2740,562,2178,442,186,356,309,335,214,87,249,798,101,697,126,30,157,35,184,99,29,37,334,34,300,90,10,134,22,25,19,0,0,7389,1878,5511,795,544,1181,925,783,596,301,386
"Hasbrouck Heights Borough School District, New Jersey","3406930",9658,1228,8430,978,432,1243,1091,1332,1101,533,1720,5397,659,4738,732,318,613,499,716,615,349,896,2128,224,1904,167,73,359,195,272,233,127,478,101,13,88,0,12,16,45,15,0,0,0,2032,332,1700,79,29,255,352,329,253,57,346
"Hawthorne Borough School District, New Jersey","3406990",14999,1188,13811,2638,1022,1807,1260,2295,1358,882,2549,9006,823,8183,1638,597,833,821,1329,901,567,1497,3003,150,2853,571,151,353,111,455,253,177,782,332,0,332,80,55,50,63,33,25,15,11,2658,215,2443,349,219,571,265,478,179,123,259
"Hi-Nella Borough School District, New Jersey","3407080",812,98,714,153,75,105,114,126,73,27,41,392,68,324,87,46,63,28,47,17,3,33,367,21,346,53,29,42,59,75,56,24,8,7,0,7,0,0,0,7,0,0,0,0,46,9,37,13,0,0,20,4,0,0,0
"Highland Park Borough School District, New Jersey","3407170",11257,1274,9983,1353,744,1212,942,1400,1064,609,2659,3483,309,3174,594,209,389,277,560,319,168,658,3539,150,3389,336,254,410,269,360,361,269,1130,297,0,297,56,0,55,37,38,38,15,58,3938,815,3123,367,281,358,359,442,346,157,813
"Hillsborough Township School District, New Jersey","3407230",29835,3316,26519,4211,1288,2567,2159,3696,3386,1325,7887,15107,1629,13478,2741,602,1027,1138,2056,1742,608,3564,8757,728,8029,897,460,684,499,907,1150,445,2987,417,21,396,113,15,125,25,40,20,26,32,5554,938,4616,460,211,731,497,693,474,246,1304
"Hillside Township School District, New Jersey","3407290",17147,2839,14308,2780,1102,1745,2385,2439,1524,633,1700,7332,1681,5651,1399,377,680,805,849,600,343,598,3349,215,3134,620,373,365,417,548,257,98,456,440,59,381,63,46,45,32,131,34,9,21,6026,884,5142,698,306,655,1131,911,633,183,625
"Hoboken City School District, New Jersey","3407350",41977,3692,38285,4422,1893,2471,2167,4020,5030,2465,15817,16692,1702,14990,1487,918,1124,912,2028,2321,1156,5044,16261,728,15533,995,381,614,818,1501,2226,1004,7994,2063,58,2005,805,283,412,160,63,70,26,186,6961,1204,5757,1135,311,321,277,428,413,279,2593
"Holmdel Township School District, New Jersey","3407410",12997,2232,10765,2149,676,1003,819,739,978,369,4032,4929,999,3930,1019,244,487,351,363,423,144,899,4872,723,4149,713,243,343,314,294,281,159,1802,141,22,119,26,53,0,0,0,0,0,40,3055,488,2567,391,136,173,154,82,274,66,1291
"Hopatcong Borough School District, New Jersey","3407440",12639,1200,11439,1675,810,1231,1406,1583,1774,710,2250,7056,795,6261,1062,404,614,804,801,1017,404,1155,3895,199,3696,454,304,469,316,547,528,252,826,136,0,136,12,33,37,0,14,29,0,11,1552,206,1346,147,69,111,286,221,200,54,258
"Hopewell Valley Regional School District, New Jersey","3407530",17154,2468,14686,2636,655,1204,1057,1573,1275,726,5560,8778,1494,7284,1643,316,640,619,913,713,345,2095,6173,623,5550,729,292,435,359,542,411,305,2477,108,17,91,12,0,14,0,6,14,0,45,2095,334,1761,252,47,115,79,112,137,76,943
"Interlaken Borough School District, New Jersey","3407650",678,48,630,77,32,63,60,54,66,37,241,458,37,421,66,10,47,41,39,54,18,146,196,8,188,9,22,11,16,12,9,19,90,8,0,8,2,0,1,0,0,3,0,2,16,3,13,0,0,4,3,3,0,0,3
"Irvington Township School District, New Jersey","3407680",43034,6804,36230,7267,3504,6428,5894,6572,3713,1176,1676,17226,3156,14070,3106,1161,2621,2257,2660,1284,462,519,9986,936,9050,1897,803,1243,1246,1727,1358,327,449,802,86,716,132,151,85,28,185,103,23,9,15020,2626,12394,2132,1389,2479,2363,2000,968,364,699
"Jackson Township School District, New Jersey","3407740",42394,4469,37925,6500,2926,4814,3916,5190,4455,1868,8256,22522,2434,20088,4005,1395,2292,2004,2906,2547,905,4034,15222,1391,13831,1912,1203,1810,1566,1781,1568,734,3257,655,56,599,71,70,70,33,75,73,30,177,3995,588,3407,512,258,642,313,428,267,199,788
"Jefferson Township School District, New Jersey","3407800",16525,2037,14488,1931,741,1569,1302,2264,1957,992,3732,10860,1479,9381,1383,426,1062,741,1477,1335,660,2297,3905,390,3515,399,256,296,397,448,514,206,999,170,14,156,8,15,17,58,31,0,10,17,1590,154,1436,141,44,194,106,308,108,116,419
