"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"The Chathams School District, New Jersey","3400004",12628,249,1379,1648,5070,4282,4901,112,716,742,1928,1403,5768,70,405,657,2492,2144,82,0,0,0,34,48,1877,67,258,249,616,687
"Great Meadows Regional School District, New Jersey","3400008",5932,442,1940,1375,1368,807,3518,243,1314,820,803,338,1645,114,459,420,421,231,23,0,15,0,4,4,746,85,152,135,140,234
"Somerset Hills Regional School District, New Jersey","3400009",7495,643,1075,1249,2398,2130,3264,141,510,578,1203,832,2876,113,211,468,1003,1081,133,0,94,26,6,7,1222,389,260,177,186,210
"Allenhurst Borough School District, New Jersey","3400780",390,22,79,62,127,100,281,11,73,34,90,73,102,7,6,28,34,27,0,0,0,0,0,0,7,4,0,0,3,0
"Asbury Park City School District, New Jersey","3400930",9946,2539,3387,2458,1009,553,4260,749,1605,1134,541,231,2338,478,680,752,262,166,300,91,88,77,36,8,3048,1221,1014,495,170,148
"Atlantic City School District, New Jersey","3400960",26528,6826,9498,5813,3061,1330,8542,1881,3195,2451,680,335,7212,1671,2449,1862,828,402,1279,444,599,185,51,0,9495,2830,3255,1315,1502,593
"Audubon Borough School District, New Jersey","3401050",7124,653,2441,2095,1257,678,3947,281,1444,1311,659,252,2728,224,900,717,561,326,129,44,10,29,26,20,320,104,87,38,11,80
"Bayonne City School District, New Jersey","3401260",44021,5964,16602,9066,8945,3444,23530,2492,10133,4870,4025,2010,5553,593,1819,1423,1162,556,1071,313,426,216,79,37,13867,2566,4224,2557,3679,841
"Belleville Town School District, New Jersey","3401350",24745,3788,8633,5605,5143,1576,9977,1120,4244,2193,1741,679,3183,229,1212,779,757,206,1495,495,501,343,134,22,10090,1944,2676,2290,2511,669
"Belvidere Town School District, New Jersey","3401440",1789,154,747,452,336,100,1232,97,603,325,158,49,490,23,139,116,164,48,0,0,0,0,0,0,67,34,5,11,14,3
"Bergenfield Borough School District, New Jersey","3401500",18282,1996,5041,4197,4852,2196,3585,372,1317,943,632,321,5538,341,1776,1337,1261,823,362,43,167,76,51,25,8797,1240,1781,1841,2908,1027
"Berkeley Heights Township School District, New Jersey","3401530",8831,567,1446,1320,3027,2471,3853,235,800,690,1321,807,2991,107,289,436,1231,928,130,7,59,0,51,13,1857,218,298,194,424,723
"Bernards Township School District, New Jersey","3401650",17261,547,2298,2892,5901,5623,7103,169,1253,1479,2609,1593,6436,183,692,947,2360,2254,108,0,37,41,22,8,3614,195,316,425,910,1768
"Bloomfield Township School District, New Jersey","3401830",33161,3283,10157,8088,7957,3676,14939,1248,5591,3394,3338,1368,6122,377,1334,1653,1698,1060,1575,306,705,397,87,80,10525,1352,2527,2644,2834,1168
"Bogota Borough School District, New Jersey","3401920",5519,523,2007,1435,1022,532,1829,157,520,505,423,224,1387,38,599,430,203,117,224,0,82,37,45,60,2079,328,806,463,351,131
"Boonton Town School District, New Jersey","3401950",5859,618,1729,1202,1617,693,3145,347,1005,578,896,319,1283,45,192,291,476,279,71,32,0,0,29,10,1360,194,532,333,216,85
"Bordentown Regional School District, New Jersey","3402030",10893,777,3081,3051,2649,1335,6263,435,2160,1819,1391,458,2789,135,550,885,632,587,106,35,20,10,27,14,1735,172,351,337,599,276
"Bound Brook Borough School District, New Jersey","3402100",6866,1466,2528,1410,928,534,2472,237,899,694,399,243,1136,89,388,299,233,127,55,9,16,24,0,6,3203,1131,1225,393,296,158
"Brick Township School District, New Jersey","3402220",54114,4948,19842,15520,9789,4015,35515,2672,13868,10134,6299,2542,14038,1564,4512,4155,2721,1086,609,65,139,298,98,9,3952,647,1323,933,671,378
"Bridgeton City School District, New Jersey","3402250",15361,5934,6053,2277,763,334,7285,1708,3675,1270,459,173,3220,1118,1217,647,168,70,602,416,131,49,6,0,4254,2692,1030,311,130,91
"Bridgewater-Raritan Regional School District, New Jersey","3402280",35255,2279,7202,7831,9924,8019,15628,824,4339,4123,4187,2155,9818,488,1657,2095,2989,2589,323,126,56,57,42,42,9486,841,1150,1556,2706,3233
"Buena Regional School District, New Jersey","3402400",8477,1859,3513,2002,793,310,4751,686,2114,1287,479,185,2734,451,1257,637,309,80,473,418,39,11,5,0,519,304,103,67,0,45
"Burlington City School District, New Jersey","3402430",6816,789,2985,1902,806,334,3661,436,1702,969,439,115,2349,216,970,647,349,167,133,35,44,25,0,29,673,102,269,261,18,23
"Burlington Township School District, New Jersey","3402460",14185,1503,4058,4430,2912,1282,6004,459,2069,1892,1102,482,5181,409,1146,1849,1182,595,276,67,57,91,54,7,2724,568,786,598,574,198
"Butler Borough School District, New Jersey","3402520",5462,474,1795,1452,1374,367,3443,209,1255,972,844,163,1009,36,291,299,256,127,102,14,31,28,29,0,908,215,218,153,245,77
"Caldwell-West Caldwell School District, New Jersey","3402580",13285,716,3165,2882,4124,2398,7897,396,2051,1657,2495,1298,3500,161,503,752,1102,982,62,0,33,0,29,0,1826,159,578,473,498,118
"Camden City School District, New Jersey","3402640",43201,16427,15266,8572,2359,577,17147,4684,6897,4430,958,178,10467,3421,3681,2525,586,254,7192,4121,2163,737,139,32,8395,4201,2525,880,676,113
"Cape May Point Borough School District, New Jersey","3402760",128,11,27,4,65,21,32,0,9,0,21,2,96,11,18,4,44,19,0,0,0,0,0,0,0,0,0,0,0,0
"Carteret Borough School District, New Jersey","3402820",15311,2977,5383,3850,2061,1040,5991,748,2497,1787,704,255,2372,405,865,720,220,162,998,297,450,163,69,19,5950,1527,1571,1180,1068,604
"Cedar Grove Township School District, New Jersey","3402850",8982,625,2206,1826,2949,1376,5510,369,1595,1037,1821,688,1914,93,317,368,693,443,132,52,15,17,28,20,1426,111,279,404,407,225
"Cherry Hill Township School District, New Jersey","3403000",49789,3348,11157,10742,13932,10610,14229,983,4173,3124,3887,2062,25765,1318,5306,5778,7330,6033,689,96,156,165,180,92,9106,951,1522,1675,2535,2423
"Cinnaminson Township School District, New Jersey","3403120",10616,704,3389,2816,2555,1152,3269,182,1063,1013,759,252,6417,339,2086,1641,1628,723,27,5,0,15,7,0,903,178,240,147,161,177
