"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"The Chathams School District, New Jersey","3400004",39.9,23.8,45.9,11,43.7
"Great Meadows Regional School District, New Jersey","3400008",40.3,35.3,49.4,38.3,39.8
"Somerset Hills Regional School District, New Jersey","3400009",43.2,34.3,48.6,56,42.4
"Asbury Park City School District, New Jersey","3400930",31.7,22.8,54,38.9,32.9
"Atlantic City School District, New Jersey","3400960",36.4,22.1,56.9,36.1,39.4
"Audubon Borough School District, New Jersey","3401050",41.4,34.9,49.8,45.4,36.8
"Bayonne City School District, New Jersey","3401260",38.9,37.9,37.1,48.8,40.6
"Belleville Town School District, New Jersey","3401350",38.1,30.5,38.3,44.5,43.1
"Bergenfield Borough School District, New Jersey","3401500",39.5,19.3,42.5,38.3,44.9
"Berkeley Heights Township School District, New Jersey","3401530",43.3,28.6,47.3,50.1,50.3
"Bernards Township School District, New Jersey","3401650",42.2,28.1,49.4,31.7,44.2
"Bloomfield Township School District, New Jersey","3401830",38,31.9,39.6,42.2,42.6
"Bogota Borough School District, New Jersey","3401920",39.3,26.9,37.7,57.4,47.4
"Boonton Town School District, New Jersey","3401950",37.8,33.1,43.2,33.7,38.6
"Bordentown Regional School District, New Jersey","3402030",39.3,34.4,46.4,38.4,43.2
"Bound Brook Borough School District, New Jersey","3402100",34,25,45.7,41.8,34.8
"Brick Township School District, New Jersey","3402220",43.1,38.7,51.3,43.5,49.1
"Bridgeton City School District, New Jersey","3402250",30.7,25.6,44.4,45.2,30.5
"Bridgewater-Raritan Regional School District, New Jersey","3402280",41.1,30.7,50.6,49.3,45
"Buena Regional School District, New Jersey","3402400",41.8,35.2,51.3,55.3,54.8
"Burlington City School District, New Jersey","3402430",39.5,30.9,45.8,33.8,45
"Burlington Township School District, New Jersey","3402460",37.8,23.9,45.3,40.7,42.5
"Butler Borough School District, New Jersey","3402520",40.1,35.6,45.8,54.4,39.5
"Caldwell-West Caldwell School District, New Jersey","3402580",43,38.6,49,16.3,48.8
"Camden City School District, New Jersey","3402640",27.8,19.4,41.7,46.9,33.6
"Carteret Borough School District, New Jersey","3402820",38.2,31.7,37.1,45.5,40.3
"Cedar Grove Township School District, New Jersey","3402850",45,41.4,50.6,44.7,53.1
"Cherry Hill Township School District, New Jersey","3403000",43.2,26.5,49.9,38.9,46.3
"Cinnaminson Township School District, New Jersey","3403120",44.3,25.6,49.7,44.5,47.5
"Clark Township School District, New Jersey","3403150",44.7,40.8,53.2,42.8,50.6
"Clayton Borough School District, New Jersey","3403180",36.2,27.9,48.8,33.8,42.2
"Cliffside Park Borough School District, New Jersey","3403270",41.3,26.3,44.8,42.4,46.2
"Clifton City School District, New Jersey","3403300",38.4,27.9,44.6,47.7,44.2
"Collingswood Borough School District, New Jersey","3403420",39.6,32.2,48.9,47.3,33.3
"Cranford Township School District, New Jersey","3403570",41.7,37.3,46,46.9,51.8
"Cresskill Borough School District, New Jersey","3403600",44,22.8,52.7,54.7,46.7
"Delran Township School District, New Jersey","3403780",38.5,27.8,48.7,37.1,40.5
"Deptford Township School District, New Jersey","3403900",39.6,30.8,48.9,34.4,45.2
"Dover Town School District, New Jersey","3403930",33.3,20.3,51.1,48.2,35
"Dumont Borough School District, New Jersey","3403990",40.6,26,47.2,55.8,45.5
"Dunellen Borough School District, New Jersey","3404020",36.5,28.1,44.6,59.1,36.3
"East Brunswick Township School District, New Jersey","3404110",41.1,24.5,47,47.4,45.5
"East Orange City School District, New Jersey","3404230",34.8,23.9,52.4,39.6,42
"East Windsor Regional School District, New Jersey","3404320",36.7,21.9,46.4,47,38.7
"Edison Township School District, New Jersey","3404500",36.7,26,45.1,51.3,39
"Egg Harbor Township School District, New Jersey","3404560",38.5,27.8,49.5,41.6,42.3
"Elizabeth City School District, New Jersey","3404590",32.6,17.1,35.7,41.4,39.9
"Elmwood Park Borough School District, New Jersey","3404660",40.7,32,47.9,60.2,48
"Emerson Borough School District, New Jersey","3404710",44.6,30,53.7,50.6,54.5
"Englewood City School District, New Jersey","3404740",40,21,46,56.1,43.7
"Ewing Township School District, New Jersey","3404920",37.8,32.3,47.4,41.2,40.9
"Fair Lawn Borough School District, New Jersey","3404980",42.6,32,49.5,33,44.8
"Florence Township School District, New Jersey","3405220",41.6,37.2,50.3,49.6,45.6
"Fort Lee Borough School District, New Jersey","3405310",43.6,26.6,46.9,45.7,46
"Franklin Township School District, New Jersey","3405490",37.4,27.7,49.7,52.3,40.1
"Garfield City School District, New Jersey","3405760",35,25.7,42.3,43.2,42.5
"Glassboro Borough School District, New Jersey","3405880",27.9,21.3,46.2,42.7,43.1
"Glen Ridge Borough School District, New Jersey","3405940",37.2,22.6,40.9,39.6,51.9
"Glen Rock Borough School District, New Jersey","3405970",40.8,24.3,46.8,45,46.9
"Gloucester City School District, New Jersey","3406000",34.4,31.2,41.6,39.1,40.2
"Green Brook Township School District, New Jersey","3406120",41.8,29.3,46.7,57.9,48.4
"Hackensack City School District, New Jersey","3406270",37.5,29.1,46.3,45.1,38.7
"Hackettstown Town School District, New Jersey","3406300",36.6,27.7,49.4,69.3,31.6
"Haddon Heights Borough School District, New Jersey","3406330",43.5,37.7,48.6,31.5,57.5
"Haddon Township School District, New Jersey","3406360",41,35.1,47.4,39.6,45.7
"Haddonfield Borough School District, New Jersey","3406390",41.8,36,45.2,37.4,46
"Hamilton Township School District, New Jersey","3406540",41.3,38.9,47.9,45.2,42
"Hammonton Town School District, New Jersey","3406570",42.2,37.9,48.2,50.7,37.4
"Harrison Town School District, New Jersey","3406870",33.1,21.2,30.1,46,38
"Hasbrouck Heights Borough School District, New Jersey","3406930",42.6,35.8,49.3,57.2,46.5
