"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"The Chathams School District, New Jersey","3400004",19318,1613,4196,881,1484,3336,3496,1203,449,406,1134,1120,9948,1363,3155,529,668,1110,1322,587,102,112,434,566,6929,209,762,190,527,1648,1641,479,248,260,560,405,187,29,76,0,22,27,33,0,0,0,0,0,2254,12,203,162,267,551,500,137,99,34,140,149
"Great Meadows Regional School District, New Jersey","3400008",8679,493,1455,799,898,1303,1853,608,298,280,475,217,5843,414,1256,655,577,882,1130,340,110,118,239,122,1905,54,175,31,130,258,591,174,150,108,146,88,36,0,0,13,4,4,0,0,0,0,15,0,895,25,24,100,187,159,132,94,38,54,75,7
"Somerset Hills Regional School District, New Jersey","3400009",11062,514,2424,629,706,1789,2167,751,368,442,521,751,5877,474,1791,348,364,831,896,286,119,214,239,315,3528,0,496,156,99,586,871,350,191,199,229,351,176,0,40,3,0,0,43,54,0,0,26,10,1481,40,97,122,243,372,357,61,58,29,27,75
"Allenhurst Borough School District, New Jersey","3400780",492,0,66,36,48,56,122,32,19,23,36,54,356,0,42,33,48,38,83,21,9,23,18,41,129,0,24,3,0,18,36,7,10,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,4,0,0,0,0
"Asbury Park City School District, New Jersey","3400930",16275,1779,2793,1757,2536,2135,2204,681,297,375,849,869,8979,1529,2386,804,1155,1038,963,260,160,70,275,339,2652,156,112,46,172,384,498,226,40,137,428,453,423,94,8,21,58,83,67,39,0,0,31,22,4221,0,287,886,1151,630,676,156,97,168,115,55
"Atlantic City School District, New Jersey","3400960",40081,3497,6798,3258,5612,5490,5456,2326,625,1131,3334,2554,18671,3020,5236,1873,1995,1855,2044,802,111,376,600,759,8503,311,537,443,726,739,1263,746,332,380,1672,1354,1713,74,272,88,414,264,253,34,20,102,130,62,11194,92,753,854,2477,2632,1896,744,162,273,932,379
"Audubon Borough School District, New Jersey","3401050",9947,418,1451,954,1273,1420,1683,837,230,275,666,740,6075,399,1111,618,924,771,949,383,124,137,309,350,3343,19,312,284,230,537,663,426,93,133,310,336,156,0,0,27,47,0,47,0,0,0,3,32,373,0,28,25,72,112,24,28,13,5,44,22
"Bayonne City School District, New Jersey","3401260",62027,3478,9233,5295,9325,9185,9853,4114,1397,1678,4144,4325,36279,2928,6623,3198,4203,4411,5133,2516,856,864,2473,3074,8089,409,1417,710,1216,1069,1428,522,106,271,412,529,1283,0,117,95,206,152,284,135,44,79,111,60,16376,141,1076,1292,3700,3553,3008,941,391,464,1148,662
"Belleville Town School District, New Jersey","3401350",35748,2090,5252,3661,5120,5966,5793,2022,779,755,2423,1887,17456,1789,3796,1894,2236,1849,1916,772,496,420,1109,1179,4558,217,677,481,731,820,855,208,21,66,236,246,1696,12,118,71,270,411,395,142,28,42,174,33,12038,72,661,1215,1883,2886,2627,900,234,227,904,429
"Belvidere Town School District, New Jersey","3401440",2734,165,546,234,232,445,488,134,27,121,144,198,1995,152,425,186,197,317,316,88,21,65,106,122,672,13,121,48,35,116,147,46,6,56,21,63,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,12,25,0,0,0,17,13
"Bergenfield Borough School District, New Jersey","3401500",26517,1510,4577,2148,3344,3803,4562,1779,349,650,2112,1683,8341,1186,2741,829,649,641,958,293,131,205,320,388,7645,275,1263,569,1011,850,1093,634,123,266,896,665,474,49,57,6,83,111,51,57,10,7,32,11,10057,0,516,744,1601,2201,2460,795,85,172,864,619
"Berkeley Heights Township School District, New Jersey","3401530",13133,1074,2446,782,839,1894,2136,1004,338,462,1095,1063,7267,924,1802,688,554,763,866,506,110,251,416,387,3759,122,564,82,204,662,730,296,99,129,464,407,157,0,27,0,0,0,110,0,0,0,7,13,1950,28,53,12,81,469,430,202,129,82,208,256
"Bernards Township School District, New Jersey","3401650",26310,1339,6388,1322,1409,4173,4884,1862,631,908,1489,1905,13792,1047,4808,834,804,1457,2065,705,266,413,535,858,8032,174,1117,305,397,1286,1779,880,251,386,603,854,203,0,56,39,10,12,27,31,14,14,0,0,4283,118,407,144,198,1418,1013,246,100,95,351,193
"Bloomfield Township School District, New Jersey","3401830",47102,2732,6805,4404,7572,6971,7045,3366,1245,1432,2454,3076,25107,2265,5151,2752,3442,2665,3241,1690,493,654,1122,1632,8140,370,1061,587,1169,1479,918,657,270,304,568,757,1684,21,66,22,495,308,537,63,47,48,38,39,12171,76,527,1043,2466,2519,2349,956,435,426,726,648
"Bogota Borough School District, New Jersey","3401920",8158,334,1559,746,971,1222,1514,565,220,140,415,472,3427,299,931,368,329,451,523,107,80,22,100,217,2154,35,525,207,249,266,353,157,69,71,163,59,224,0,0,0,0,98,0,49,45,0,32,0,2353,0,103,171,393,407,638,252,26,47,120,196
"Boonton Town School District, New Jersey","3401950",8405,559,1276,711,1291,1286,1211,568,163,192,557,591,5013,431,1033,404,738,581,702,283,113,62,229,437,1521,62,103,73,235,331,170,119,39,69,217,103,110,0,0,39,19,0,18,0,0,0,34,0,1761,66,140,195,299,374,321,166,11,61,77,51
"Bordentown Regional School District, New Jersey","3402030",15423,838,2744,948,2215,2260,2859,1009,313,489,802,946,9939,794,2218,664,1365,1209,1794,539,117,259,400,580,3279,36,341,113,456,622,595,350,112,114,266,274,201,0,95,0,0,14,55,16,11,0,10,0,2004,8,90,171,394,415,415,104,73,116,126,92
"Bound Brook Borough School District, New Jersey","3402100",10399,771,1681,1081,1798,1797,1390,507,170,199,420,585,4946,698,1203,573,369,559,590,265,80,43,199,367,1412,56,152,68,184,229,230,81,42,84,120,166,66,0,0,11,15,9,16,0,0,6,0,9,3975,17,326,429,1230,1000,554,161,48,66,101,43
