"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"The Chathams School District, New Jersey","3400004",60084,49390,69963,203558,60268
"Great Meadows Regional School District, New Jersey","3400008",36883,35040,43000,9417,41944
"Somerset Hills Regional School District, New Jersey","3400009",49671,51711,61445,18750,22309
"Asbury Park City School District, New Jersey","3400930",19671,21188,24538,12719,16689
"Atlantic City School District, New Jersey","3400960",20030,19145,20030,17857,21426
"Audubon Borough School District, New Jersey","3401050",34200,32406,40188,15938,21350
"Bayonne City School District, New Jersey","3401260",31509,32122,38098,22965,27256
"Belleville Town School District, New Jersey","3401350",31593,31807,35625,32381,29809
"Bergenfield Borough School District, New Jersey","3401500",38234,34076,40249,50817,38092
"Berkeley Heights Township School District, New Jersey","3401530",47425,38273,57361,7289,52222
"Bernards Township School District, New Jersey","3401650",59444,49095,70317,34519,77599
"Bloomfield Township School District, New Jersey","3401830",34939,35693,40605,34674,30919
"Bogota Borough School District, New Jersey","3401920",35503,41375,35714,37389,31405
"Boonton Town School District, New Jersey","3401950",33775,37067,51731,9896,21424
"Bordentown Regional School District, New Jersey","3402030",42932,42701,49306,44500,40121
"Bound Brook Borough School District, New Jersey","3402100",26374,30118,31838,39545,23803
"Brick Township School District, New Jersey","3402220",32538,31856,34939,40465,24353
"Bridgeton City School District, New Jersey","3402250",17469,16972,17955,9729,18430
"Bridgewater-Raritan Regional School District, New Jersey","3402280",46815,42167,50592,26422,54770
"Buena Regional School District, New Jersey","3402400",29709,31006,28778,15078,30615
"Burlington City School District, New Jersey","3402430",27349,26473,32460,21629,23285
"Burlington Township School District, New Jersey","3402460",39486,38933,45411,52750,30741
"Butler Borough School District, New Jersey","3402520",37391,39205,42639,19063,29972
"Caldwell-West Caldwell School District, New Jersey","3402580",45122,43012,60469,62188,30052
"Camden City School District, New Jersey","3402640",15792,14547,17459,12090,17129
"Carteret Borough School District, New Jersey","3402820",29639,30281,25760,18500,31864
"Cedar Grove Township School District, New Jersey","3402850",44935,42128,54529,29417,43137
"Cherry Hill Township School District, New Jersey","3403000",39246,35926,43135,31006,34980
"Cinnaminson Township School District, New Jersey","3403120",36609,30523,40976,17361,30600
"Clark Township School District, New Jersey","3403150",40129,40486,35536,26250,43339
"Clayton Borough School District, New Jersey","3403180",32066,30108,35967,31750,16667
"Cliffside Park Borough School District, New Jersey","3403270",35405,36442,42921,32072,30964
"Clifton City School District, New Jersey","3403300",31350,32831,36651,28648,29222
"Collingswood Borough School District, New Jersey","3403420",34541,34984,36641,42762,20280
"Cranford Township School District, New Jersey","3403570",49462,46325,60058,68750,43784
"Cresskill Borough School District, New Jersey","3403600",54852,51875,51422,106250,61190
"Delran Township School District, New Jersey","3403780",38892,35401,46845,48043,24144
"Deptford Township School District, New Jersey","3403900",33180,31591,36124,30473,32285
"Dover Town School District, New Jersey","3403930",23349,24262,33459,26359,22021
"Dumont Borough School District, New Jersey","3403990",36953,38721,35431,19598,39481
"Dunellen Borough School District, New Jersey","3404020",35570,36179,44384,77632,28857
"East Brunswick Township School District, New Jersey","3404110",43769,35011,52329,30875,44720
"East Orange City School District, New Jersey","3404230",23490,22316,22889,26875,25562
"East Windsor Regional School District, New Jersey","3404320",38255,38345,45405,28715,33238
"Edison Township School District, New Jersey","3404500",41301,34852,40247,31601,49040
"Egg Harbor Township School District, New Jersey","3404560",33366,31561,38786,31418,32036
"Elizabeth City School District, New Jersey","3404590",22459,24134,24720,21392,21910
"Elmwood Park Borough School District, New Jersey","3404660",33256,33852,35403,17167,31569
"Emerson Borough School District, New Jersey","3404710",37810,39242,31815,21492,52266
"Englewood City School District, New Jersey","3404740",34662,29115,42181,16055,31431
"Ewing Township School District, New Jersey","3404920",31879,30007,36059,41000,28716
"Fair Lawn Borough School District, New Jersey","3404980",42943,35326,47701,38182,46886
"Florence Township School District, New Jersey","3405220",39798,36091,44707,47604,41792
"Fort Lee Borough School District, New Jersey","3405310",44096,35625,51837,19868,43051
"Franklin Township School District, New Jersey","3405490",44358,39757,48312,35081,50080
"Garfield City School District, New Jersey","3405760",27043,29026,31461,24308,26142
"Glassboro Borough School District, New Jersey","3405880",22908,19332,30712,8220,22500
"Glen Ridge Borough School District, New Jersey","3405940",62728,50485,73683,115114,108105
"Glen Rock Borough School District, New Jersey","3405970",55286,44984,63933,109632,55188
"Gloucester City School District, New Jersey","3406000",25905,25870,25768,5227,30278
"Green Brook Township School District, New Jersey","3406120",51506,41006,58205,21964,72908
"Hackensack City School District, New Jersey","3406270",33725,37955,41995,36379,27489
"Hackettstown Town School District, New Jersey","3406300",31169,28556,41268,30806,30157
"Haddon Heights Borough School District, New Jersey","3406330",42097,40703,48475,31645,14960
"Haddon Township School District, New Jersey","3406360",36653,31074,42879,20882,33696
"Haddonfield Borough School District, New Jersey","3406390",46625,43118,54211,56607,16016
"Hamilton Township School District, New Jersey","3406540",34783,35786,40009,25765,26988
"Hammonton Town School District, New Jersey","3406570",25767,27071,32723,18916,16241
"Harrison Town School District, New Jersey","3406870",27153,26475,37515,19423,28290
"Hasbrouck Heights Borough School District, New Jersey","3406930",40188,40087,43056,28389,39941
"Hawthorne Borough School District, New Jersey","3406990",36144,36693,41516,21103,28930
"Hi-Nella Borough School District, New Jersey","3407080",27069,20588,33214,30313,28438
"Highland Park Borough School District, New Jersey","3407170",42299,36715,51671,37543,41984
"Hillsborough Township School District, New Jersey","3407230",47481,45085,56660,19363,42038
"Hillside Township School District, New Jersey","3407290",30758,29553,30022,35156,31756
"Hoboken City School District, New Jersey","3407350",62249,55411,75934,13233,64842
"Holmdel Township School District, New Jersey","3407410",49514,31871,59681,11580,77655
"Hopatcong Borough School District, New Jersey","3407440",39665,38907,42706,17813,38355
"Hopewell Valley Regional School District, New Jersey","3407530",52319,41202,65213,62188,84637
"Interlaken Borough School District, New Jersey","3407650",58833,55156,73571,53333,34583
"Irvington Township School District, New Jersey","3407680",26059,25469,28362,21500,25553
"Jackson Township School District, New Jersey","3407740",37653,37225,39512,41897,34147
"Jefferson Township School District, New Jersey","3407800",46496,46287,48542,28636,47054
"Jersey City School District, New Jersey","3407830",30083,23472,40265,23327,30392
"Keansburg Borough School District, New Jersey","3407860",25547,24714,27224,12656,26466
"Kearny Town School District, New Jersey","3407890",30509,32929,35622,30077,26573
"Kenilworth Borough School District, New Jersey","3407920",37987,38500,47708,24154,35398
"Keyport Borough School District, New Jersey","3407950",27020,27139,32444,25268,20272
"Kinnelon Borough School District, New Jersey","3408040",54868,50927,75871,67115,55110
"Lacey Township School District, New Jersey","3408100",33406,32919,35682,47946,19456
"Lakewood Township School District, New Jersey","3408220",21476,20996,24228,20170,19493
"Lawrence Township School District, New Jersey","3408400",39630,35741,45972,13438,40460
"Leonia Borough School District, New Jersey","3408520",37878,30481,49600,17076,35919
