"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Appling County, Georgia","13001",17971,4044,2729,11198,13944,3033,2250,8661,3184,732,367,2085,61,15,0,46,782,264,112,406
"Atkinson County, Georgia","13003",8260,2467,1443,4350,5638,1427,1065,3146,1470,453,167,850,60,12,0,48,1092,575,211,306
"Bacon County, Georgia","13005",10679,2177,1632,6870,8120,1669,1198,5253,1906,403,353,1150,1,1,0,0,652,104,81,467
"Baker County, Georgia","13007",3316,749,419,2148,2938,696,361,1881,346,38,58,250,19,2,0,17,13,13,0,0
"Baldwin County, Georgia","13009",42239,13545,4476,24218,34044,11220,3794,19030,6920,1826,460,4634,245,35,45,165,1030,464,177,389
"Banks County, Georgia","13011",18268,2969,2558,12741,13675,2113,2008,9554,3876,648,452,2776,70,25,0,45,647,183,98,366
"Barrow County, Georgia","13013",70333,9460,7431,53442,43429,6431,5090,31908,21565,1888,1535,18142,532,78,25,429,4807,1063,781,2963
"Bartow County, Georgia","13015",99760,16219,11334,72207,65439,11743,7939,45757,28631,3219,2540,22872,757,30,107,620,4933,1227,748,2958
"Ben Hill County, Georgia","13017",17176,6218,2211,8747,13081,4603,1755,6723,3525,1546,317,1662,28,0,0,28,542,69,139,334
"Berrien County, Georgia","13019",18774,4747,2957,11070,13450,3429,2087,7934,4720,1215,749,2756,114,35,28,51,490,68,93,329
"Bibb County, Georgia","13021",148562,39621,17751,91190,114820,32233,14878,67709,27209,5402,2165,19642,983,262,82,639,5550,1724,626,3200
"Bleckley County, Georgia","13023",11325,2930,919,7476,9549,2593,810,6146,1606,306,101,1199,16,0,8,8,154,31,0,123
"Brantley County, Georgia","13025",18349,3834,2906,11609,13637,3018,2185,8434,4520,780,663,3077,74,0,36,38,118,36,22,60
"Brooks County, Georgia","13027",15556,4327,1646,9583,11034,3010,1239,6785,3974,1142,267,2565,32,0,8,24,516,175,132,209
"Bryan County, Georgia","13029",32014,4025,2788,25201,16807,2761,1663,12383,13110,1179,918,11013,697,33,37,627,1400,52,170,1178
"Bulloch County, Georgia","13031",66468,22014,6586,37868,46371,15093,4936,26342,16671,5693,1141,9837,563,211,58,294,2863,1017,451,1395
"Burke County, Georgia","13033",22822,7698,2121,13003,18146,6375,1764,10007,4087,1257,319,2511,242,11,0,231,347,55,38,254
"Butts County, Georgia","13035",20841,3714,1728,15399,16178,3023,1406,11749,3982,570,262,3150,86,0,6,80,595,121,54,420
"Calhoun County, Georgia","13037",4989,2012,803,2174,3976,1565,662,1749,750,311,79,360,54,27,27,0,209,109,35,65
"Camden County, Georgia","13039",49536,6534,4733,38269,17054,2903,1978,12173,30068,3415,2702,23951,1062,84,7,971,1352,132,46,1174
"Candler County, Georgia","13043",10712,3103,1722,5887,7737,2303,1264,4170,2257,570,367,1320,31,0,16,15,687,230,75,382
"Carroll County, Georgia","13045",107852,21455,13440,72957,73597,15008,9801,48788,28666,4810,2844,21012,847,90,0,757,4742,1547,795,2400
