"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Appling County, Georgia","13001",21159,20913,20511,12000,27736
"Atkinson County, Georgia","13003",17152,17338,15405,15417,18438
"Baldwin County, Georgia","13009",18784,17766,23125,18551,14493
"Banks County, Georgia","13011",23319,23981,21492,16786,30575
"Barrow County, Georgia","13013",26151,24453,31461,22841,21630
"Bartow County, Georgia","13015",23967,23053,26852,19783,20777
"Berrien County, Georgia","13019",19387,19253,20278,23063,15921
"Bibb County, Georgia","13021",21700,20210,26874,22229,21599
"Brantley County, Georgia","13025",20079,19756,21279,60938,9375
"Brooks County, Georgia","13027",18729,18055,21147,35417,16329
"Bryan County, Georgia","13029",31200,23851,38350,20826,41860
"Bulloch County, Georgia","13031",17040,16890,17762,10250,17725
"Burke County, Georgia","13033",19381,18444,20132,31643,30085
"Butts County, Georgia","13035",22244,22035,22816,55175,19488
"Calhoun County, Georgia","13037",14619,14901,13209,12500,14750
"Camden County, Georgia","13039",26345,21655,28352,38730,26174
"Carroll County, Georgia","13045",21735,21469,25110,26366,14381
"Catoosa County, Georgia","13047",24908,22997,25287,37557,25872
"Charlton County, Georgia","13049",17536,19531,18359,21609,6454
"Chatham County, Georgia","13051",25233,22117,30299,26214,24332
"Chattahoochee County, Georgia","13053",25551,19260,26270,19773,26250
"Chattooga County, Georgia","13055",20337,20212,20620,11458,20620
"Cherokee County, Georgia","13057",32029,26271,39954,35933,22361
"Clarke County, Georgia","13059",16820,14522,22378,16701,16901
"Clayton County, Georgia","13063",22465,21263,25949,23750,20123
"Cobb County, Georgia","13067",32049,26451,38953,35567,24968
"Coffee County, Georgia","13069",20300,20751,19849,33011,17806
"Colquitt County, Georgia","13071",18352,18780,18086,30855,16956
"Columbia County, Georgia","13073",32504,27317,37361,28277,28537
"Cook County, Georgia","13075",20507,20418,22255,20515,16954
"Coweta County, Georgia","13077",30742,26038,39395,44083,22305
"Crawford County, Georgia","13079",22589,21296,24452,41042,48802
"Dade County, Georgia","13083",20664,20439,20623,60625,26815
"Dawson County, Georgia","13085",25567,24230,30663,30250,21506
"Decatur County, Georgia","13087",21469,20278,25411,35500,22300
"DeKalb County, Georgia","13089",27469,23390,35846,30210,21081
"Dodge County, Georgia","13091",21489,23212,15621,8795,19474
"Dougherty County, Georgia","13095",19104,17445,25059,28950,19228
"Douglas County, Georgia","13097",27547,25548,30982,31506,26754
"Effingham County, Georgia","13103",30654,28693,33018,26250,35509
"Emanuel County, Georgia","13107",18192,17682,19685,37639,27784
"Evans County, Georgia","13109",22940,23383,24628,68173,16802
"Fannin County, Georgia","13111",18717,14961,21676,33348,22886
"Fayette County, Georgia","13113",35032,27800,40938,40336,31512
"Floyd County, Georgia","13115",20537,19542,23618,20486,19626
"Forsyth County, Georgia","13117",36203,27863,43758,37321,29751
"Franklin County, Georgia","13119",19464,19297,19009,31429,21974
"Fulton County, Georgia","13121",30887,21358,39821,37110,29989
"Gilmer County, Georgia","13123",19765,18434,21446,32917,19127
"Glascock County, Georgia","13125",21558,23528,13203,6250,16042
"Glynn County, Georgia","13127",24627,22035,28878,30762,19864
"Gordon County, Georgia","13129",22110,22089,23203,12105,21213
"Grady County, Georgia","13131",18613,18303,20901,23458,16561
"Greene County, Georgia","13133",20558,17172,31399,34038,32592
"Gwinnett County, Georgia","13135",29429,28306,36242,30420,22847
"Habersham County, Georgia","13137",21246,20039,23486,18125,21318
"Hall County, Georgia","13139",25095,24710,31178,26439,20242
"Haralson County, Georgia","13143",21131,20814,22132,95149,21799
"Harris County, Georgia","13145",31229,27073,36967,55563,27463
"Hart County, Georgia","13147",20348,18486,22378,36316,12857
"Henry County, Georgia","13151",30580,28682,34252,34063,23919
"Houston County, Georgia","13153",28979,25638,35119,30038,21208
"Jackson County, Georgia","13157",26741,25993,30797,19227,20831
"Jefferson County, Georgia","13163",15721,15416,17221,47857,16055
"Jones County, Georgia","13169",27630,26633,33462,70492,31250
"Lamar County, Georgia","13171",20818,19619,29750,31688,30379
"Lanier County, Georgia","13173",19695,18297,26684,15921,16964
"Laurens County, Georgia","13175",21499,21001,23491,19946,25208
"Lee County, Georgia","13177",32138,30308,37380,28207,19534
"Liberty County, Georgia","13179",26145,21742,29393,22928,23026
"Lincoln County, Georgia","13181",21261,20641,22949,40521,18214
"Long County, Georgia","13183",23369,26642,21085,28750,16912
"Lowndes County, Georgia","13185",20185,17804,24491,18882,18339
"Lumpkin County, Georgia","13187",20003,18309,24053,26397,18762
"McDuffie County, Georgia","13189",20649,19191,29940,25385,23250
"McIntosh County, Georgia","13191",24586,23899,25187,12292,36058
"Madison County, Georgia","13195",23672,23215,25570,26518,23782
"Marion County, Georgia","13197",21820,21207,21781,28194,26618
"Meriwether County, Georgia","13199",20054,19175,22234,21742,23958
"Monroe County, Georgia","13207",22394,21147,30918,53077,19953
"Montgomery County, Georgia","13209",19896,19688,22132,40179,20966
"Morgan County, Georgia","13211",24583,21870,30747,59563,21875
"Murray County, Georgia","13213",20234,19437,20120,16974,25110
"Muscogee County, Georgia","13215",22153,20126,25035,25197,21701
"Newton County, Georgia","13217",24506,22442,28487,42586,21657
"Oconee County, Georgia","13219",33430,27407,43298,40991,40592
"Oglethorpe County, Georgia","13221",24009,21970,31341,24315,19141
"Paulding County, Georgia","13223",30698,27844,34806,26818,28046
"Peach County, Georgia","13225",22349,21139,31084,25565,18675
"Pickens County, Georgia","13227",23992,22252,27158,70673,20737
"Pierce County, Georgia","13229",22221,23162,20939,20662,19909
"Pike County, Georgia","13231",25173,22192,31481,25972,31917
"Polk County, Georgia","13233",21635,21498,21773,39531,22349
"Pulaski County, Georgia","13235",22681,22980,21672,16500,25169
"Putnam County, Georgia","13237",21615,21388,24869,50227,16592
"Rabun County, Georgia","13241",20126,19040,21611,16875,17685
"Richmond County, Georgia","13245",20846,18638,24022,26701,21941
"Rockdale County, Georgia","13247",26347,25703,30747,20573,21232
"Schley County, Georgia","13249",22729,23004,23004,4167,13784
"Screven County, Georgia","13251",19924,19319,23824,12750,11750
"Spalding County, Georgia","13255",20747,19247,26015,26932,16110
"Stephens County, Georgia","13257",20448,20304,21458,30459,18443
"Stewart County, Georgia","13259",13965,13602,14474,38333,14362
"Sumter County, Georgia","13261",17795,16196,25485,30612,21628
"Talbot County, Georgia","13263",18120,17414,22500,35547,13125
"Tattnall County, Georgia","13267",19251,19566,19737,17879,17849
"Taylor County, Georgia","13269",18545,19072,16111,18854,14688
"Terrell County, Georgia","13273",17199,16410,21214,4583,42813
"Thomas County, Georgia","13275",20377,18831,23901,25893,18456
