"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Appling County, Georgia","13001",14479,2462,12017,2607,1746,2341,1878,1450,752,448,795,10776,1934,8842,1955,1276,1701,1283,1058,518,361,690,2896,395,2501,543,411,514,439,204,221,87,82,61,9,52,22,5,0,12,13,0,0,0,746,124,622,87,54,126,144,175,13,0,23
"Atkinson County, Georgia","13003",6321,1152,5169,1374,873,1101,701,523,288,114,195,3940,648,3292,854,546,615,437,392,194,101,153,1331,259,1072,330,194,203,139,80,87,4,35,60,23,37,9,9,9,0,3,0,0,7,990,222,768,181,124,274,125,48,7,9,0
"Bacon County, Georgia","13005",8875,1424,7451,2004,1113,1259,1161,905,418,126,465,6264,1028,5236,1378,870,871,792,602,392,66,265,1947,303,1644,538,189,243,249,139,26,60,200,12,11,1,1,0,0,0,0,0,0,0,652,82,570,87,54,145,120,164,0,0,0
"Baker County, Georgia","13007",2763,629,2134,279,275,405,347,391,164,100,173,2392,587,1805,224,212,376,263,367,136,76,151,339,42,297,40,63,29,84,24,11,24,22,19,0,19,2,0,0,0,0,17,0,0,13,0,13,13,0,0,0,0,0,0,0
"Baldwin County, Georgia","13009",38200,9171,29029,7940,3994,5712,3403,3134,1912,817,2117,29375,7250,22125,5897,3524,4397,2686,2411,1333,601,1276,7342,1547,5795,1622,340,1054,675,623,523,209,749,266,27,239,80,21,49,25,36,21,7,0,1217,347,870,341,109,212,17,64,35,0,92
"Banks County, Georgia","13011",14702,2528,12174,2308,1511,2574,1694,1964,1099,374,650,10494,1743,8751,1711,1090,1707,1261,1454,713,337,478,3512,630,2882,523,382,732,313,389,355,22,166,70,0,70,3,27,10,4,26,0,0,0,626,155,471,71,12,125,116,95,31,15,6
"Barrow County, Georgia","13013",54263,8676,45587,9216,5215,7210,7159,7594,4358,1521,3314,29217,5092,24125,5572,2761,3948,3840,4078,1984,641,1301,20146,2620,17526,2735,1917,2475,2654,2998,2048,838,1861,477,70,407,140,48,44,43,47,14,3,68,4423,894,3529,769,489,743,622,471,312,39,84
"Bartow County, Georgia","13015",79195,13066,66129,13971,7912,12234,8974,9812,5834,2243,5149,46828,8620,38208,8808,4744,6796,5250,5655,3480,1041,2434,27044,3315,23729,4271,2600,4363,3200,3654,2188,1087,2366,711,185,526,143,57,90,22,50,47,22,95,4612,946,3666,749,511,985,502,453,119,93,254
"Ben Hill County, Georgia","13017",13682,2901,10781,3080,1783,1958,1228,1465,621,199,447,10028,2099,7929,2228,1268,1598,929,1041,360,190,315,3120,610,2510,820,388,352,265,337,261,9,78,17,13,4,0,0,0,0,0,0,0,4,517,179,338,32,127,8,34,87,0,0,50
"Berrien County, Georgia","13019",15129,3461,11668,2637,1951,2343,1618,1429,934,174,582,10559,2396,8163,1835,1295,1694,984,1084,784,107,380,4023,891,3132,724,559,521,587,341,139,67,194,103,40,63,16,11,20,16,0,0,0,0,444,134,310,62,86,108,31,4,11,0,8
