"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Union County, Georgia","13291",16361,2331,5509,5151,1920,1450,7167,1418,2600,1884,685,580,8636,780,2595,3219,1172,870,236,29,174,19,14,0,322,104,140,29,49,0
"Upson County, Georgia","13293",18203,4278,6364,5494,1117,950,14638,3631,5336,4212,740,719,3262,583,903,1239,306,231,116,26,44,23,23,0,187,38,81,20,48,0
"Walker County, Georgia","13295",47170,9632,17380,13393,4632,2133,22603,5241,9119,6005,1556,682,23550,4182,7999,7080,2898,1391,383,15,144,112,87,25,634,194,118,196,91,35
"Walton County, Georgia","13297",55696,8766,19375,17964,6815,2776,31227,5483,11946,9373,3395,1030,20483,2087,6505,7367,3037,1487,600,59,234,206,88,13,3386,1137,690,1018,295,246
"Ware County, Georgia","13299",23936,4443,9915,6436,1770,1372,17340,2979,7920,4240,1196,1005,5455,1057,1761,1897,453,287,257,67,54,118,0,18,884,340,180,181,121,62
"Warren County, Georgia","13301",3855,1143,1770,634,190,118,3294,1047,1534,468,155,90,503,69,226,159,31,18,7,0,0,7,0,0,51,27,10,0,4,10
"Washington County, Georgia","13303",14183,3390,6013,3178,1185,417,11830,2852,5138,2624,939,277,2028,414,796,478,200,140,66,4,20,24,18,0,259,120,59,52,28,0
"Wayne County, Georgia","13305",20409,3781,8534,5614,1539,941,13544,2409,5762,3692,1055,626,5840,934,2490,1665,457,294,132,30,61,41,0,0,893,408,221,216,27,21
"Webster County, Georgia","13307",1915,436,942,423,52,62,1692,420,830,345,42,55,214,16,103,78,10,7,9,0,9,0,0,0,0,0,0,0,0,0
"Wheeler County, Georgia","13309",6211,1673,3212,824,433,69,4885,1394,2518,638,292,43,1229,224,664,174,141,26,12,0,6,6,0,0,85,55,24,6,0,0
"White County, Georgia","13311",19294,2713,6693,6141,2260,1487,10865,1925,4134,3303,935,568,7856,657,2485,2554,1275,885,119,25,55,39,0,0,454,106,19,245,50,34
"Whitfield County, Georgia","13313",64680,20373,18950,16125,5477,3755,29964,7240,10177,8712,2313,1522,18616,3652,5216,5689,2463,1596,635,55,238,184,90,68,15465,9426,3319,1540,611,569
"Wilcox County, Georgia","13315",6484,1552,3116,1254,438,124,5161,1170,2587,1009,282,113,1088,253,469,240,119,7,56,36,20,0,0,0,179,93,40,5,37,4
"Wilkes County, Georgia","13317",7243,1609,3097,1429,629,479,5765,1277,2617,1150,399,322,1196,170,469,226,203,128,82,8,11,32,23,8,200,154,0,21,4,21
"Wilkinson County, Georgia","13319",6431,1258,3220,1425,285,243,5396,1018,2843,1134,206,195,873,169,302,288,66,48,35,0,31,0,4,0,127,71,44,3,9,0
"Worth County, Georgia","13321",14403,3717,5845,3715,704,422,11090,2903,4669,2776,453,289,2853,676,1037,834,221,85,115,0,69,32,14,0,345,138,70,73,16,48
