"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Appling County, Georgia","13001",18421,1287,3392,1548,2332,2258,2564,1088,716,595,1634,1007,14333,1156,3041,1289,1423,1559,1910,775,568,484,1178,950,3236,86,312,213,596,524,525,306,102,111,414,47,61,0,0,9,5,12,5,7,13,0,0,10,791,45,39,37,308,163,124,0,33,0,42,0
"Atkinson County, Georgia","13003",8297,702,1672,743,1017,1246,1103,457,237,230,535,355,5645,641,1387,357,536,624,699,343,185,153,475,245,1498,49,164,250,221,193,246,85,52,68,60,110,60,0,3,25,0,22,3,7,0,0,0,0,1094,12,118,111,260,407,155,22,0,9,0,0
"Bacon County, Georgia","13005",11196,711,2096,1090,1409,1425,1480,670,255,511,949,600,8451,670,2003,675,989,963,979,437,164,443,690,438,2081,41,93,230,284,399,332,161,91,50,238,162,12,0,0,11,0,0,0,1,0,0,0,0,652,0,0,174,136,63,169,71,0,18,21,0
"Baker County, Georgia","13007",3342,162,565,351,290,352,545,214,118,115,458,172,2959,156,559,330,220,304,467,183,118,109,373,140,351,6,6,21,68,48,48,31,0,6,85,32,19,0,0,0,2,0,17,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0
"Baldwin County, Georgia","13009",45854,2488,6586,8954,5343,4898,6083,3195,817,1538,3501,2451,36553,2423,5972,6998,4287,3742,4754,2328,618,1086,2593,1752,7818,65,587,1615,823,858,1105,787,175,310,879,614,266,0,10,97,43,52,13,15,0,0,5,31,1217,0,17,244,190,246,211,65,24,142,24,54
"Banks County, Georgia","13011",18317,991,3464,1590,2036,2613,2663,1128,586,572,1822,852,13724,948,3030,1248,1444,1793,1822,752,382,431,1257,617,3876,43,399,266,477,575,707,342,189,133,516,229,70,0,0,3,0,25,26,13,0,3,0,0,647,0,35,73,115,220,108,21,15,5,49,6
"Barrow County, Georgia","13013",70873,5167,14460,5776,10649,10501,9573,3789,1704,1844,4596,2814,43895,4981,11578,3588,6026,4936,4863,1919,794,965,2501,1744,21631,178,2365,1868,3312,4423,3719,1575,784,818,1673,916,532,0,103,19,36,178,70,59,18,12,22,15,4815,8,414,301,1275,964,921,236,108,49,400,139
"Bartow County, Georgia","13015",100771,6658,19278,9028,12825,14524,14850,6605,2270,2950,7312,4471,66219,6264,16545,6270,7806,8240,8121,3423,1222,1499,4006,2823,28829,330,2201,2126,3694,4803,5853,2863,1003,1278,3129,1549,757,0,71,79,167,136,184,40,0,9,59,12,4966,64,461,553,1158,1345,692,279,45,164,118,87
"Ben Hill County, Georgia","13017",17547,1372,3187,1718,1804,2291,2316,1033,484,792,1452,1098,13304,1359,2456,1275,1449,1436,1561,757,379,634,1071,927,3673,13,683,380,312,572,679,268,105,113,381,167,28,0,11,13,0,4,0,0,0,0,0,0,542,0,37,50,43,279,76,8,0,45,0,4
"Berrien County, Georgia","13019",19091,1225,3457,1633,2349,2510,2690,1232,407,697,1736,1155,13721,958,2859,1226,1522,1581,1519,926,342,577,1325,886,4766,267,526,279,750,766,1045,282,51,120,411,269,114,0,11,12,33,36,11,11,0,0,0,0,490,0,61,116,44,127,115,13,14,0,0,0
