"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Abbeville County, South Carolina","45001",25643,1563,4424,2386,2677,3200,3746,1977,679,884,2276,1831,19962,1489,3894,1858,2082,2051,2775,1403,463,703,1842,1402,5213,74,476,510,477,1026,936,516,209,169,400,420,99,0,0,0,20,29,33,0,7,0,10,0,369,0,54,18,98,94,2,58,0,12,24,9
"Aiken County, South Carolina","45003",156670,9773,27040,13951,18718,19933,23889,10729,3974,5339,13154,10170,66556,4962,12242,5335,7516,8290,10268,4418,1649,2230,5210,4436,82874,4753,13940,7718,9660,10311,12456,6095,2160,2943,7394,5444,1740,27,278,171,289,361,379,70,0,56,55,54,5500,31,580,727,1253,971,786,146,165,110,495,236
"Allendale County, South Carolina","45005",10688,648,1821,1043,1431,1516,1494,699,385,274,724,653,8644,551,1567,948,961,1202,1093,628,316,229,597,552,1892,97,254,95,345,305,383,71,69,45,127,101,33,0,0,0,24,9,0,0,0,0,0,0,119,0,0,0,101,0,18,0,0,0,0,0
"Anderson County, South Carolina","45007",183691,11802,32694,15268,21602,25319,26910,12065,4675,6392,15149,11815,127073,10786,26536,10835,14134,15792,16054,7889,3238,4035,9727,8047,50379,876,5689,3630,6142,8215,9729,3837,1323,2174,5182,3582,1153,0,97,141,130,159,390,186,16,19,0,15,5086,140,372,662,1196,1153,737,153,98,164,240,171
"Bamberg County, South Carolina","45009",16139,960,2760,2113,1801,1609,2243,1139,496,508,1347,1163,12983,782,2373,1287,1476,1333,1925,860,441,442,1056,1008,2906,178,387,726,257,239,314,247,55,66,282,155,40,0,0,29,11,0,0,0,0,0,0,0,210,0,0,71,57,37,4,32,0,0,9,0
"Barnwell County, South Carolina","45011",22748,1511,4338,1902,2685,2961,3405,1631,613,601,1744,1357,17112,1049,3482,1512,2000,2087,2555,1236,448,409,1303,1031,5265,462,841,236,666,799,824,392,165,192,370,318,104,0,15,18,0,0,0,0,0,0,71,0,267,0,0,136,19,75,26,3,0,0,0,8
"Beaufort County, South Carolina","45013",155550,10448,22741,16408,19292,17386,18132,9812,4272,7144,18083,11832,43736,8080,11536,3211,4436,3669,4571,2051,853,860,2615,1854,94728,2181,9674,10512,10435,10403,11732,7024,3196,5921,14329,9321,2178,69,223,449,537,239,305,96,54,87,48,71,14908,118,1308,2236,3884,3075,1524,641,169,276,1091,586
"Berkeley County, South Carolina","45015",169878,12363,30811,18345,24932,24676,23869,10047,3969,4382,10481,6003,88939,10065,21174,9407,10642,10140,10192,4847,1911,2092,5173,3296,68919,2173,8643,7599,11305,11700,12000,4513,1906,2014,4616,2450,2624,125,431,213,540,724,297,136,22,73,63,0,9396,0,563,1126,2445,2112,1380,551,130,203,629,257
"Calhoun County, South Carolina","45017",15212,863,2523,1251,1471,2036,2407,1235,398,676,1403,949,12182,832,2329,1056,1197,1512,1666,945,326,483,1038,798,2790,31,191,145,217,493,688,271,72,185,346,151,10,0,3,0,7,0,0,0,0,0,0,0,230,0,0,50,50,31,53,19,0,8,19,0
"Charleston County, South Carolina","45019",342434,22406,50534,41916,53230,44248,47613,21226,8720,10375,22970,19196,183248,19415,37485,21233,22103,19014,23378,10740,4032,5087,10861,9900,136251,2571,11407,17422,25097,20758,21269,9317,4256,4888,10857,8409,3708,131,295,534,653,1077,505,155,78,141,76,63,19227,289,1347,2727,5377,3399,2461,1014,354,259,1176,824
"Cherokee County, South Carolina","45021",54832,3631,9965,4932,6634,7880,7866,3820,1317,1615,4103,3069,39811,3305,8016,3848,4350,5193,5089,2559,1091,1129,3051,2180,13181,264,1782,969,1843,2223,2466,1149,211,475,980,819,298,51,0,14,41,76,101,15,0,0,0,0,1542,11,167,101,400,388,210,97,15,11,72,70
"Chester County, South Carolina","45023",33246,2127,6217,2679,3653,4578,5037,2463,889,958,2656,1989,25310,1880,5151,2136,2604,3151,3507,1757,599,752,2161,1612,7405,237,1008,543,971,1237,1428,642,290,198,491,360,148,0,58,0,3,12,75,0,0,0,0,0,383,10,0,0,75,178,27,64,0,8,4,17
"Chesterfield County, South Carolina","45025",46087,2940,8762,3844,5291,6568,6778,2815,1352,1707,3511,2519,30322,1882,5701,2409,3387,4053,4266,1876,963,1278,2536,1971,14466,1035,2909,1323,1486,2104,2442,925,380,400,965,497,98,23,10,0,0,48,17,0,0,0,0,0,1201,0,142,112,418,363,53,14,9,29,10,51
"Clarendon County, South Carolina","45027",34621,2019,5986,3541,3582,3998,5006,2331,1106,1520,3382,2150,26329,1806,4978,2954,2874,2706,3756,1840,744,1040,2058,1573,7576,213,904,495,592,1159,1094,491,351,467,1233,577,119,0,28,18,8,33,21,0,11,0,0,0,597,0,76,74,108,100,135,0,0,13,91,0
"Colleton County, South Carolina","45029",38833,2519,7251,3265,4196,5026,5686,2676,1043,1538,3335,2298,28914,2357,6223,2515,3035,3292,3971,1844,764,1086,2073,1754,8873,162,888,577,883,1490,1621,794,275,452,1198,533,210,0,35,86,10,18,39,14,0,0,8,0,836,0,105,87,268,226,55,24,4,0,56,11
"Darlington County, South Carolina","45031",68602,4438,12640,5854,7937,9132,10208,5011,1860,2160,5434,3928,56850,4190,11459,4536,6517,7134,8164,4142,1624,1696,4179,3209,10454,237,1110,1103,1120,1692,1887,777,229,432,1182,685,200,11,18,45,25,51,23,16,0,0,0,11,1098,0,53,170,275,255,134,76,7,32,73,23
"Dillon County, South Carolina","45033",31666,2343,6230,2922,3629,4253,4563,1871,545,1262,2310,1738,26061,2040,5313,2551,2672,3440,3765,1604,442,1008,1754,1472,5014,303,889,273,801,716,612,267,103,254,533,263,32,0,0,10,0,0,22,0,0,0,0,0,559,0,28,88,156,97,164,0,0,0,23,3
"Dorchester County, South Carolina","45035",129618,9253,25975,10968,17141,20138,19089,7527,2842,3921,7878,4886,64767,7443,17140,5893,7237,8188,7365,3005,1121,1626,3546,2203,57771,1640,8019,4367,8459,10525,10500,4086,1655,2127,3839,2554,1873,107,390,225,286,297,325,92,15,27,99,10,5207,63,426,483,1159,1128,899,344,51,141,394,119
"Edgefield County, South Carolina","45037",26680,1430,4419,2203,3557,3989,4237,1612,894,997,1997,1345,12299,545,2032,1112,1420,1522,1749,807,444,499,1206,963,13126,885,2323,1008,1726,2214,2278,726,400,448,756,362,168,0,26,8,9,23,83,0,6,13,0,0,1087,0,38,75,402,230,127,79,44,37,35,20
"Fairfield County, South Carolina","45039",24040,1494,4228,1981,2531,3072,3860,2081,637,730,1966,1460,20043,1406,3940,1662,2249,2423,3035,1661,469,450,1517,1231,3794,88,270,294,272,635,726,420,168,266,437,218,50,0,0,0,0,0,50,0,0,0,0,0,153,0,18,25,10,14,49,0,0,14,12,11
"Florence County, South Carolina","45041",134897,9246,24320,12744,17288,18014,19448,9481,3329,3908,9741,7378,101787,8451,20512,9642,12620,12443,13291,7011,2445,2784,7211,5377,28971,723,3520,2649,3758,4579,5335,2343,836,995,2403,1830,565,0,19,85,99,167,114,36,11,28,6,0,3574,72,269,368,811,825,708,91,37,101,121,171
"Georgetown County, South Carolina","45043",60236,3438,9937,4241,5509,7446,8831,4548,1972,2984,6840,4490,38046,3092,8233,2839,3437,4366,5540,2656,987,1433,3060,2403,20164,304,1458,1133,1810,2753,2905,1789,957,1405,3637,2013,229,0,18,24,0,38,62,65,0,0,0,22,1797,42,228,245,262,289,324,38,28,146,143,52
"Greenville County, South Carolina","45045",436437,29950,76331,41020,58913,63170,62956,27093,9404,13146,30444,24010,233701,25721,52577,20226,27431,27376,27726,12979,4550,6440,15096,13579,163720,3727,20212,15798,22485,27176,28778,12245,4182,5979,13364,9774,4589,125,644,630,757,881,976,170,86,60,219,41,34427,377,2898,4366,8240,7737,5476,1699,586,667,1765,616
"Greenwood County, South Carolina","45047",68890,4565,11904,7199,8353,9190,9410,4460,1585,2076,5298,4850,49892,4111,9876,5226,5596,6340,6119,2946,1196,1382,3823,3277,15519,381,1589,1436,1936,2100,2782,1390,336,671,1383,1515,402,9,57,50,16,110,126,14,8,0,12,0,3077,64,382,487,805,640,383,110,45,23,80,58
"Hampton County, South Carolina","45049",21173,1465,3800,1861,2683,2942,3090,1375,490,666,1620,1181,15819,1375,3060,1359,1648,1945,2353,1063,392,455,1192,977,4655,79,688,387,824,879,644,251,92,205,411,195,121,11,37,0,43,16,14,0,0,0,0,0,578,0,15,115,168,102,79,61,6,6,17,9
"Horry County, South Carolina","45051",258267,14879,37853,24541,32948,33620,35881,19099,6853,10687,25626,16280,102263,12578,22606,10447,12000,10970,12341,6001,1687,2701,6430,4502,136360,1980,13159,11571,16084,19100,21027,12083,4754,7505,18042,11055,2345,0,354,412,324,510,475,101,10,62,72,25,17299,321,1734,2111,4540,3040,2038,914,402,419,1082,698
"Jasper County, South Carolina","45053",23634,1845,4093,2797,3100,3255,3234,1343,658,626,1618,1065,14354,1587,2637,1642,1472,1633,1882,799,376,426,1109,791,6940,253,1055,793,772,1101,1296,521,198,168,509,274,87,0,0,0,11,14,0,0,62,0,0,0,2253,5,401,362,845,507,56,23,22,32,0,0
