"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Abbeville County, South Carolina","45001",17371,17003,17971,39491,21518
"Aiken County, South Carolina","45003",24176,21463,27499,31187,19429
"Anderson County, South Carolina","45007",22033,21000,25658,25931,18098
"Bamberg County, South Carolina","45009",18344,18958,16787,8500,21014
"Barnwell County, South Carolina","45011",20271,19351,26250,10183,9321
"Beaufort County, South Carolina","45013",27870,20803,32429,27019,21126
"Berkeley County, South Carolina","45015",25120,22770,28567,33673,18431
"Charleston County, South Carolina","45019",26159,21140,32191,35313,21739
"Cherokee County, South Carolina","45021",19594,18861,20947,27065,19142
"Chester County, South Carolina","45023",19975,18209,22329,40357,26383
"Chesterfield County, South Carolina","45025",19094,18692,19606,15461,20780
"Clarendon County, South Carolina","45027",17131,16902,18691,9643,16592
"Colleton County, South Carolina","45029",18731,17988,20028,11182,19444
"Darlington County, South Carolina","45031",21139,21243,21115,18409,19475
"Dillon County, South Carolina","45033",16154,15592,18575,13500,17338
"Dorchester County, South Carolina","45035",28349,23803,32411,36205,22770
"Edgefield County, South Carolina","45037",20304,18438,24817,16908,15294
"Fairfield County, South Carolina","45039",20877,19958,24759,49853,27604
"Florence County, South Carolina","45041",22140,20863,27431,28889,26150
"Georgetown County, South Carolina","45043",20976,17996,27072,27356,17514
"Greenville County, South Carolina","45045",24426,21847,29357,25080,20610
"Greenwood County, South Carolina","45047",21329,20779,23657,31354,17337
"Hampton County, South Carolina","45049",18788,18467,19395,8672,18804
"Horry County, South Carolina","45051",22754,20354,25759,22076,18489
"Jasper County, South Carolina","45053",19995,18169,20361,21422,22191
"Kershaw County, South Carolina","45055",23478,22324,26714,26625,20651
"Lancaster County, South Carolina","45057",21958,20468,26086,15764,20962
"Laurens County, South Carolina","45059",19685,19490,20505,33807,17648
"Lee County, South Carolina","45061",15127,14780,15629,5167,22500
"Lexington County, South Carolina","45063",28509,27236,32096,30997,20136
"McCormick County, South Carolina","45065",19666,15546,25598,21375,9063
"Marion County, South Carolina","45067",16645,15669,20726,12188,21801
"Marlboro County, South Carolina","45069",15922,14949,18917,30625,11383
"Newberry County, South Carolina","45071",22621,21134,28654,30208,23375
"Oconee County, South Carolina","45073",21631,19384,25562,15625,23342
"Orangeburg County, South Carolina","45075",17740,17096,19807,28063,20909
"Pickens County, South Carolina","45077",18711,17698,20492,21389,18058
"Richland County, South Carolina","45079",24864,22654,28348,25523,21127
"Saluda County, South Carolina","45081",19744,20353,20043,19076,18617
"Spartanburg County, South Carolina","45083",22119,20622,26818,18769,21707
"Sumter County, South Carolina","45085",21145,18071,27548,22898,21672
"Union County, South Carolina","45087",18958,18260,22151,15242,18750
"Williamsburg County, South Carolina","45089",14827,15221,13112,9512,5924
"York County, South Carolina","45091",26976,22570,31044,32214,22300
