"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Abbeville County, South Carolina","45001",41.1,39.8,45.3,51,36.8
"Aiken County, South Carolina","45003",39.6,39,40.3,35.9,36.4
"Allendale County, South Carolina","45005",37.6,38.1,37.9,28.1,32.1
"Anderson County, South Carolina","45007",39.2,35.7,45.5,46.7,35.9
"Bamberg County, South Carolina","45009",38,39,31.6,21.4,27.6
"Barnwell County, South Carolina","45011",38.2,38,40.6,70.5,23.9
"Beaufort County, South Carolina","45013",40.2,22.6,48.3,29.7,34.8
"Berkeley County, South Carolina","45015",34.3,28.3,38.9,35,37.2
"Calhoun County, South Carolina","45017",43.9,40.5,49.6,28.3,44.4
"Charleston County, South Carolina","45019",35.7,30.3,40.5,36.8,34.7
"Cherokee County, South Carolina","45021",37.4,35.5,42.1,41.3,35.7
"Chester County, South Carolina","45023",39.3,37.5,43.3,45.1,39.6
"Chesterfield County, South Carolina","45025",38.7,39.9,37.8,37.8,34.1
"Clarendon County, South Carolina","45027",40.9,37,48.6,43.2,40.7
"Colleton County, South Carolina","45029",39.5,36,48.7,22.8,33.8
"Darlington County, South Carolina","45031",38.7,37.8,44.8,38,36.1
"Dillon County, South Carolina","45033",37.1,36.7,39,49.5,35.1
"Dorchester County, South Carolina","45035",35.7,28.1,41,34.1,39.5
"Edgefield County, South Carolina","45037",40.1,42.5,36.9,45.6,36.5
"Fairfield County, South Carolina","45039",41.8,38.7,49.2,47,48.6
"Florence County, South Carolina","45041",37.2,34.7,43.7,41.2,37.5
"Georgetown County, South Carolina","45043",44.5,38.2,54,49.8,40.3
"Greenville County, South Carolina","45045",36.9,31.4,42.1,36.6,36.4
"Greenwood County, South Carolina","45047",38.1,35.4,46,40.3,31.4
"Hampton County, South Carolina","45049",37.6,37.2,40,29.6,33.9
"Horry County, South Carolina","45051",40.8,29.1,47.9,36.8,34.9
"Jasper County, South Carolina","45053",34.9,34.2,40.7,60.4,30.2
"Kershaw County, South Carolina","45055",40.1,35.1,45.8,38.5,40.7
"Lancaster County, South Carolina","45057",38.8,38.8,39.7,37.5,34.7
"Laurens County, South Carolina","45059",40.2,36.8,47.6,29.5,35.4
"Lee County, South Carolina","45061",37.6,36.8,39.6,26.9,44.1
"Lexington County, South Carolina","45063",37.5,32.8,43.9,40.3,33.6
"McCormick County, South Carolina","45065",48.2,44.8,54.6,46.3,58.5
"Marion County, South Carolina","45067",39.1,38.9,41.2,21.4,28
"Marlboro County, South Carolina","45069",38.1,38.3,37.8,31.3,36.9
"Newberry County, South Carolina","45071",39,38.6,45.2,50.2,30.8
"Oconee County, South Carolina","45073",42.6,37.9,49.7,37.5,37.7
"Orangeburg County, South Carolina","45075",37.3,36.1,42.7,34.2,32.8
"Pickens County, South Carolina","45077",34.5,31.4,39.5,24.3,32.3
"Richland County, South Carolina","45079",32.7,29.7,36.2,30.2,35.3
"Saluda County, South Carolina","45081",39.4,40.5,47,31.4,31.1
"Spartanburg County, South Carolina","45083",37.7,34.6,43.8,39.6,35.5
"Sumter County, South Carolina","45085",35.3,32.5,38.7,32.7,39.4
"Union County, South Carolina","45087",41.7,40.6,45.6,22.8,53
"Williamsburg County, South Carolina","45089",39.9,41.4,34.7,31.1,36.8
"York County, South Carolina","45091",36.7,33.9,37.9,39.7,38.6
