"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Abbeville County, South Carolina","45001",24546,5084,3304,16158,19242,4099,2677,12466,4854,892,489,3473,99,10,0,89,351,83,138,130
"Aiken County, South Carolina","45003",154153,25661,15767,112725,65226,13363,7765,44098,81851,10851,7291,63709,1732,205,63,1464,5344,1242,648,3454
"Allendale County, South Carolina","45005",9060,3843,974,4243,7521,3237,873,3411,1420,536,101,783,0,0,0,0,119,70,0,49
"Anderson County, South Carolina","45007",179494,28348,19496,131650,123942,21388,13930,88624,49500,6036,4683,38781,1128,112,80,936,4924,812,803,3309
"Bamberg County, South Carolina","45009",14957,4475,1391,9091,12352,3634,1172,7546,2464,804,219,1441,11,0,0,11,130,37,0,93
"Barnwell County, South Carolina","45011",22587,5742,3019,13826,16951,4528,2303,10120,5265,974,645,3646,104,18,71,15,267,222,0,45
"Beaufort County, South Carolina","45013",147975,15564,12724,119687,43144,8003,5349,29792,88410,4946,5173,78291,1919,86,307,1526,14502,2529,1895,10078
"Berkeley County, South Carolina","45015",166034,20987,16454,128593,87816,12569,9884,65363,66384,6398,4787,55199,2546,124,175,2247,9288,1896,1608,5784
"Calhoun County, South Carolina","45017",15117,2389,1979,10749,12104,2053,1581,8470,2773,323,391,2059,10,0,7,3,230,13,0,217
"Charleston County, South Carolina","45019",332451,54900,29070,248481,178495,36633,18560,123302,131561,14644,8062,108855,3481,433,62,2986,18914,3190,2386,13338
"Cherokee County, South Carolina","45021",54369,10581,7217,36571,39489,7978,5214,26297,13058,2311,1502,9245,298,0,114,184,1524,292,387,845
"Chester County, South Carolina","45023",32778,7011,4614,21153,24916,5953,3448,15515,7331,1032,1107,5192,148,0,0,148,383,26,59,298
"Chesterfield County, South Carolina","45025",45730,10368,5220,30142,30124,7174,3615,19335,14307,2996,1348,9963,98,29,0,69,1201,169,257,775
"Clarendon County, South Carolina","45027",33063,7592,5755,19716,25059,6257,4473,14329,7305,1224,1133,4948,102,0,51,51,597,111,98,388
"Colleton County, South Carolina","45029",38535,8227,5282,25026,28686,6516,3644,18526,8803,1541,1396,5866,210,56,0,154,836,114,242,480
"Darlington County, South Carolina","45031",67312,13438,7001,46873,55912,11660,5659,38593,10118,1507,1230,7381,200,34,0,166,1082,237,112,733
"Dillon County, South Carolina","45033",31165,9490,5117,16558,25721,7767,4263,13691,4853,1460,784,2609,32,12,0,20,559,251,70,238
"Dorchester County, South Carolina","45035",127693,14272,10046,103375,63468,8738,6661,48069,57145,4760,2864,49521,1873,37,38,1798,5207,737,483,3987
"Edgefield County, South Carolina","45037",23775,5042,2559,16174,10953,2814,1339,6800,11935,1844,1196,8895,136,62,6,68,751,322,18,411
