"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Alabama","01",3941362,580888,3360474,708808,402294,595121,431768,450574,300156,114417,357336,2629563,395715,2233848,495901,283345,407482,292455,299887,191385,69947,193446,1117579,144399,973180,185841,101108,155034,119419,132223,96241,39619,143695,36557,4958,31599,6424,2796,4447,3417,4988,3228,1286,5013,157663,35816,121847,20642,15045,28158,16477,13476,9302,3565,15182
"Alaska","02",582153,30200,551953,112064,40684,73063,60864,72968,58042,29023,105245,189879,10021,179858,57743,15635,24559,18565,20387,14556,6954,21459,324283,15471,308812,42859,19548,37355,33074,43092,37657,19287,75940,14623,756,13867,2664,1112,1896,1885,2188,1443,686,1993,53368,3952,49416,8798,4389,9253,7340,7301,4386,2096,5853
"Arizona","04",5462011,868051,4593960,857030,475855,779987,617808,667694,425918,172418,597250,1595866,364285,1231581,314607,129810,202938,163599,178249,102328,37929,102121,2907640,300490,2607150,399378,254845,418380,340481,395699,267692,114945,415730,80889,12770,68119,12119,6159,10929,9122,9689,6644,2594,10863,877616,190506,687110,130926,85041,147740,104606,84057,49254,16950,68536
"Arkansas","05",2391724,334787,2056937,421423,257083,390083,287161,282282,173528,64965,180412,1355213,192700,1162513,252144,150569,218094,160755,158240,96061,34862,91788,883919,110432,773487,149429,94274,141399,104205,109595,69679,26745,78161,18573,2486,16087,3503,1222,2771,1928,2504,1767,484,1908,134019,29169,104850,16347,11018,27819,20273,11943,6021,2874,8555
"California","06",31419652,5379187,26040465,4672006,2862827,4074565,2982738,3151993,2335805,1062532,4897999,14687779,2973884,11713895,2408544,1237008,1682498,1308970,1453385,1098681,501279,2023530,6081362,515733,5565629,684972,519969,761761,576216,663395,557912,280851,1520553,432277,68906,363371,63901,36108,47742,36740,45344,37472,16465,79599,10218234,1820664,8397570,1514589,1069742,1582564,1060812,989869,641740,263937,1274317
"Colorado","08",4391535,494611,3896924,661652,332005,557672,493004,580068,415610,179943,676970,1503299,210500,1292799,282321,118722,191829,165139,190181,131952,53763,158892,2310922,188789,2122133,295521,167464,279062,252068,319419,244381,109863,454355,70431,8461,61970,10849,4941,7641,7498,9300,6743,2836,12162,506883,86861,420022,72961,40878,79140,68299,61168,32534,13481,51561
"Connecticut","09",2975923,347203,2628720,434863,215224,362475,291791,348451,280675,133918,561323,1482120,177389,1304731,229459,107756,176042,147009,182787,150852,71770,239056,886735,81324,805411,118693,56627,95023,76998,96082,83244,42070,236674,117588,16182,101406,26665,13372,18565,12601,11172,7290,2887,8854,489480,72308,417172,60046,37469,72845,55183,58410,39289,17191,76739
"District of Columbia","11",569884,64430,505454,92481,33264,49765,43885,55405,51917,27421,151316,169254,30883,138371,37523,13404,18647,16046,16437,11781,5296,19237,298673,20764,277909,41858,13420,19916,18185,28217,31965,17892,106456,11475,1277,10198,1086,635,765,882,1190,986,492,4162,90482,11506,78976,12014,5805,10437,8772,9561,7185,3741,21461
"Delaware","10",774426,99095,675331,115125,60151,99333,89359,100505,73326,31630,105902,297163,46231,250932,48895,23089,37131,34318,39995,26449,10575,30480,380949,35862,345087,54307,30510,48917,43563,51076,39010,17688,60016,13740,1808,11932,2329,1100,1809,1611,1478,1525,462,1618,82574,15194,67380,9594,5452,11476,9867,7956,6342,2905,13788
"Florida","12",16886151,2544652,14341499,2642621,1623848,2661012,1998470,2005811,1244031,484733,1680973,4608342,1018660,3589682,835478,403483,634301,509940,507594,292048,104277,302561,7667517,752774,6914743,1020489,726884,1221620,941515,1024515,679961,277333,1022426,650867,102642,548225,121084,71825,104440,73922,73770,40822,15448,46914,3959425,670576,3288849,665570,421656,700651,473093,399932,231200,87675,309072
