"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4850771,292163,810519,471452,628088,601634,648384,332906,124598,178995,448837,313195,3392798,259469,654561,334345,409700,380876,408384,214163,82926,121170,304505,222699,1248694,30122,137843,116046,172763,175155,205873,105214,37853,52647,131879,83299,41353,1264,5014,4632,7769,6437,6995,4264,1142,1087,2013,736,167926,1308,13101,16429,37856,39166,27132,9265,2677,4091,10440,6461
"Alaska","02",738565,54267,131979,76877,117976,92305,96077,52037,19086,23621,50640,23700,306965,44457,92205,40522,48909,28328,22196,10317,3479,4270,8229,4053,357822,8623,32954,29578,55273,51250,60684,34949,13572,16928,37388,16623,17735,793,3189,2282,3643,2654,2326,1499,374,310,539,126,56043,394,3631,4495,10151,10073,10871,5272,1661,2113,4484,2898
"Arizona","04",6809946,434757,1187669,671345,917814,841712,840910,413051,160820,235506,644932,461430,2675946,381479,883273,361959,367185,239093,182320,80203,26770,36880,72263,44521,3126225,43829,243976,229160,374167,389216,470442,261565,106407,162799,485759,358905,95965,3591,15630,10234,16985,14603,14402,6777,2475,3048,5234,2986,911810,5858,44790,69992,159477,198800,173746,64506,25168,32779,81676,55018
"Arkansas","05",2977944,190144,515574,286456,387753,367460,381092,193913,73592,105793,277145,199022,1825340,163145,393086,178632,219183,199392,199976,100281,39387,58299,155821,118138,990072,24692,110530,91382,129690,129686,155374,84428,30949,43583,112687,77071,21453,1156,2674,3044,4278,3420,3151,1705,480,384,847,314,141079,1151,9284,13398,34602,34962,22591,7499,2776,3527,7790,3499
"California","06",38982847,2493545,6621175,3917309,5822872,5180070,5202333,2453244,916388,1227463,2946809,2201639,21472724,2318451,5749507,2928448,3266632,2105063,1972117,926543,330575,434837,915681,524870,6471955,96974,387580,352472,776890,761759,958966,590672,245125,353273,1016726,931518,519680,26159,82805,52211,84139,74803,78296,39238,13473,16780,31734,20042,10518488,51961,401283,584178,1695211,2238445,2192954,896791,327215,422573,982668,725209
"Colorado","08",5436519,334250,917083,516709,824458,736447,716635,359741,136824,186976,432280,275116,2324108,289165,669889,261909,305521,222551,204715,103150,36774,49829,108180,72425,2497308,38239,200233,202700,396316,371011,399769,217589,86726,120105,287742,176878,81527,2662,11940,9070,14341,14174,14119,6574,2148,2277,2676,1546,533576,4184,35021,43030,108280,128711,98032,32428,11176,14765,33682,24267
"Connecticut","09",3594478,186188,576544,351449,439239,433401,535611,266501,99017,130771,318515,257242,1977305,161386,436457,214604,230364,192921,252329,127544,47457,59871,140114,114258,975026,19148,96941,88050,102235,114765,166392,88337,33478,47389,121227,97064,130254,1895,15324,11837,18487,21179,21807,10219,3657,5364,12134,8351,511893,3759,27822,36958,88153,104536,95083,40401,14425,18147,45040,37569
"District of Columbia","11",672391,43607,74451,76490,156390,95604,76580,36243,13838,19419,45582,34187,247130,34373,53941,24463,36753,25844,26597,14234,5077,6877,12370,6601,317604,7689,14671,41940,93221,45860,33222,15201,6391,9721,26446,23242,13236,478,1562,1456,3360,2339,2184,777,234,229,371,246,94421,1067,4277,8631,23056,21561,14577,6031,2136,2592,6395,4098
"Delaware","10",943732,55282,148771,88139,125241,110313,128392,66862,24735,35432,95605,64960,426032,45607,105438,42522,55783,42947,47614,23732,8377,11057,25155,17800,416391,8466,37668,37292,47211,45787,64034,36316,13967,21512,62241,41897,15281,424,1552,1555,2456,2536,2812,1279,562,562,1024,519,86028,785,4113,6770,19791,19043,13932,5535,1829,2301,7185,4744
"Florida","12",20278447,1105362,3006220,1770799,2602567,2465145,2752893,1375329,524114,749129,2169519,1757370,7289295,970431,2165677,973474,1043119,665843,588535,268649,88478,115906,249587,159596,8148894,95982,547243,472510,850870,911513,1261638,719195,295524,437273,1387704,1169442,733891,16662,94697,67713,111687,121591,111174,49449,17429,24985,69488,49016,4106367,22287,198603,257102,596891,766198,791546,338036,122683,170965,462740,379316
