"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",183469,28049,65193,46988,29957,13282,80865,9614,30742,22482,13026,5001,61584,6811,20996,17255,10834,5688,6114,2306,2172,898,540,198,34906,9318,11283,6353,5557,2395
"Bergen County, New Jersey","34003",625632,56935,158636,131815,174001,104245,209157,13719,65077,49851,53953,26557,183697,9112,39545,39161,55674,40205,9996,1677,3211,1941,1848,1319,222782,32427,50803,40862,62526,36164
"Burlington County, New Jersey","34005",304778,27799,92347,82607,66061,35964,127273,11152,44116,35745,25022,11238,135849,9546,37414,38143,32227,18519,5905,964,1799,1450,1062,630,35751,6137,9018,7269,7750,5577
"Camden County, New Jersey","34007",339797,49731,110300,85120,60588,34058,141580,17225,52557,39233,22725,9840,142585,15382,43798,37256,28356,17793,13183,5818,3978,2050,1022,315,42449,11306,9967,6581,8485,6110
"Cape May County, New Jersey","34009",71205,8393,26059,17980,12419,6354,25913,2881,9877,6667,4781,1707,41351,4312,14989,10600,7143,4307,790,208,357,177,20,28,3151,992,836,536,475,312
"Cumberland County, New Jersey","34011",103033,24961,40944,23421,9728,3979,59726,10899,26504,14490,5796,2037,24162,5118,9017,5979,2717,1331,6502,3335,1962,982,173,50,12643,5609,3461,1970,1042,561
"Essex County, New Jersey","34013",511207,92022,147993,109674,98524,62994,207027,26196,68407,50664,40819,20941,125391,17055,28271,24776,29811,25478,23213,9756,6770,3916,1822,949,155576,39015,44545,30318,26072,15626
"Gloucester County, New Jersey","34015",188051,19755,66647,51021,35006,15622,89268,8535,34854,24402,15189,6288,84311,8446,28173,23642,16480,7570,2530,384,704,631,547,264,11942,2390,2916,2346,2790,1500
"Hudson County, New Jersey","34017",428810,84440,115961,79849,96269,52291,114124,14313,39226,24272,25094,11219,77691,7507,14833,15989,25084,14278,20466,7609,6660,3405,1994,798,216529,55011,55242,36183,44097,25996
"Hunterdon County, New Jersey","34019",88130,5305,20513,20463,24669,17180,47330,2991,13401,11941,12378,6619,30892,986,5399,6342,10063,8102,1002,191,118,283,131,279,8906,1137,1595,1897,2097,2180
"Mercer County, New Jersey","34021",241243,32566,62572,53885,49679,42541,105194,11642,34587,28992,19594,10379,69584,6157,13018,14335,17955,18119,6429,1952,1919,1383,662,513,60036,12815,13048,9175,11468,13530
"Middlesex County, New Jersey","34023",534021,64065,150191,114510,123678,81577,194314,17169,73098,50481,37571,15995,124326,8408,34686,31927,28133,21172,15940,5179,5213,2868,1488,1192,199441,33309,37194,29234,56486,43218
"Monmouth County, New Jersey","34025",425642,37252,116576,105035,103418,63361,197754,13349,62015,50595,48362,23433,151489,8319,35185,39566,40815,27604,6644,1843,1783,1497,1034,487,69755,13741,17593,13377,13207,11837
"Morris County, New Jersey","34027",336089,23081,79678,70517,99010,63803,157730,7556,44196,37729,44647,23602,94972,3483,16088,19231,32578,23592,4901,1209,1312,987,908,485,78486,10833,18082,12570,20877,16124
"Ocean County, New Jersey","34029",394735,43007,149969,105782,65216,30761,225320,20799,90955,60719,36903,15944,125254,11458,45067,35291,21558,11880,6448,1274,2171,1803,818,382,37713,9476,11776,7969,5937,2555
"Passaic County, New Jersey","34031",321436,59626,112646,68203,55626,25335,130812,13026,49997,32064,24965,10760,55291,7211,16819,13106,11331,6824,23184,9580,8096,3314,1786,408,112149,29809,37734,19719,17544,7343
"Salem County, New Jersey","34033",44751,6427,17517,12635,5691,2481,26773,3305,11655,7446,3150,1217,15082,2128,4973,4636,2266,1079,792,290,417,16,39,30,2104,704,472,537,236,155
"Somerset County, New Jersey","34035",217831,15950,48223,45188,60994,47476,90630,4431,23621,22474,26327,13777,62626,2593,11097,12619,19491,16826,2887,558,933,565,505,326,61688,8368,12572,9530,14671,16547
"Sussex County, New Jersey","34037",101352,7055,33688,28801,20893,10915,61221,4109,23050,17245,11777,5040,30280,1448,7830,9013,7336,4653,1276,223,318,398,225,112,8575,1275,2490,2145,1555,1110
"Union County, New Jersey","34039",354191,55723,111402,76542,68267,42257,139580,11197,47600,34986,30316,15481,75669,6571,18973,15062,20050,15013,9317,2521,3263,2137,960,436,129625,35434,41566,24357,16941,11327
"Warren County, New Jersey","34041",74116,7928,26027,18936,14674,6551,43146,4682,17039,10990,7606,2829,21961,1842,6624,5649,5150,2696,912,276,200,237,112,87,8097,1128,2164,2060,1806,939
