"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Atlantic County, New Jersey","34001",273162,16654,48085,24954,31224,38603,43570,17357,6647,8305,20190,17573,150933,14897,38149,17022,16203,18740,19284,7194,2357,3160,7045,6882,72400,1245,5794,3777,5524,9384,14845,6861,3158,3620,9692,8500,7646,260,989,283,1373,1446,1719,426,149,273,441,287,42183,252,3153,3872,8124,9033,7722,2876,983,1252,3012,1904
"Bergen County, New Jersey","34003",896482,50998,153862,65990,102616,134963,144727,59206,22309,27371,65399,69041,391973,41308,104851,36657,37706,43741,47762,19483,7406,8736,19091,25232,236962,7851,32281,13133,20389,34359,41950,19254,7082,9771,23820,27072,13088,363,1631,1098,1423,2236,2008,1229,355,542,1277,926,254459,1476,15099,15102,43098,54627,53007,19240,7466,8322,21211,15811
"Burlington County, New Jersey","34005",447861,26169,79975,36939,51398,66786,73422,28208,11151,13702,30899,29212,230662,21902,57953,23534,26410,29076,30610,10527,4009,5155,10734,10752,167447,3713,18353,9532,15995,27832,33750,13526,5730,6736,16503,15777,8100,175,1204,816,1054,1221,1743,670,144,370,372,331,41652,379,2465,3057,7939,8657,7319,3485,1268,1441,3290,2352
"Camden County, New Jersey","34007",513574,33357,94241,46179,66810,73390,77833,31779,11363,14264,32236,32122,268144,28636,69015,28913,36262,32787,30508,11702,4169,4657,10409,11086,177601,4106,20090,10820,17876,26788,35206,15348,5619,7308,16759,17681,16136,225,1301,1427,2091,3058,3410,1287,607,714,1326,690,51693,390,3835,5019,10581,10757,8709,3442,968,1585,3742,2665
"Cape May County, New Jersey","34009",97684,4589,14407,7483,8840,11533,15467,7290,3191,4341,10641,9902,45543,3895,11193,4542,4965,4698,5888,2373,1004,1068,3033,2884,47196,653,2850,2342,3098,6000,8830,4552,2026,3083,7101,6661,928,13,81,44,85,183,272,104,50,42,21,33,4017,28,283,555,692,652,477,261,111,148,486,324
"Cumberland County, New Jersey","34011",155456,10602,27171,14650,22224,22804,21901,9174,3566,3998,10150,9216,102188,9734,22838,9890,14064,14251,12360,5320,1917,1916,5328,4570,29593,689,2700,2042,3072,4273,5723,2559,764,1126,3121,3524,7333,32,380,419,891,1497,1527,485,472,454,863,313,16342,147,1253,2299,4197,2783,2291,810,413,502,838,809
"Essex County, New Jersey","34013",780872,54422,142437,72806,108102,119034,113055,45971,15852,19900,46287,43006,406286,47666,106063,45530,50669,49325,43252,17262,5738,6805,15591,18385,162712,5308,22064,9949,17259,24482,28063,13307,4829,6314,16065,15072,27547,374,2340,1620,3958,5000,5626,2550,946,1146,2668,1319,184327,1074,11970,15707,36216,40227,36114,12852,4339,5635,11963,8230
"Gloucester County, New Jersey","34015",285223,17433,53462,26277,32955,42726,45629,18248,6305,7961,18047,16180,162539,14817,39724,18730,20125,22141,20404,7435,2576,3397,6979,6211,105634,2500,12560,6263,10189,16900,22362,9278,3252,3966,9531,8833,3116,93,268,225,610,617,514,208,140,101,240,100,13934,23,910,1059,2031,3068,2349,1327,337,497,1297,1036
"Hudson County, New Jersey","34017",622123,41448,89270,62595,127332,95509,81485,32899,11999,14485,35177,29924,237324,32762,61219,29219,36396,24257,20050,8495,2973,3020,8850,10083,107380,6796,12866,10027,27686,17834,13170,4980,1421,2412,4998,5190,24752,402,2267,1617,3329,3623,4086,2644,1220,1442,2599,1523,252667,1488,12918,21732,59921,49795,44179,16780,6385,7611,18730,13128
"Hunterdon County, New Jersey","34019",128458,6610,24734,8984,10297,20043,25118,10063,3076,4013,8702,6818,79175,5776,19442,6627,6175,10418,14197,4778,1614,1981,4247,3920,37395,697,4351,1455,2657,6727,8689,4331,1225,1714,3383,2166,1413,46,207,158,70,213,359,128,23,49,100,60,10475,91,734,744,1395,2685,1873,826,214,269,972,672
