"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Atlantic County, New Jersey","34001",261002,30757,22721,207524,142089,17795,11507,112787,70139,6640,5219,58280,7509,1668,1221,4620,41265,4654,4774,31837
"Bergen County, New Jersey","34003",886798,51639,37528,797631,387151,19337,14216,353598,233920,10100,7598,216222,12951,919,838,11194,252776,21283,14876,216617
"Burlington County, New Jersey","34005",435105,23840,17167,394098,224138,13118,9249,201771,162905,7070,5289,150546,7732,405,300,7027,40330,3247,2329,34754
"Camden County, New Jersey","34007",505340,56608,35374,413358,262651,34036,18291,210324,175492,12082,9782,153628,15929,3672,2495,9762,51268,6818,4806,39644
"Cape May County, New Jersey","34009",95686,8776,7161,79749,44863,4082,3795,36986,45982,3815,3014,39153,852,156,24,672,3989,723,328,2938
"Cumberland County, New Jersey","34011",144832,22519,13818,108495,95644,14980,8265,72399,26747,3101,2674,20972,6751,1558,738,4455,15690,2880,2141,10669
"Essex County, New Jersey","34013",760726,110725,60231,589770,392787,64098,29642,299047,158497,17811,9535,131151,26946,5804,3265,17877,182496,23012,17789,141695
"Gloucester County, New Jersey","34015",280462,20009,14566,245887,159043,12691,8292,138060,104531,5136,4993,94402,3057,412,390,2255,13831,1770,891,11170
"Hudson County, New Jersey","34017",615220,93152,58199,463869,233694,39771,22432,171491,105804,12080,5665,88059,24481,5171,2885,16425,251241,36130,27217,187894
"Hunterdon County, New Jersey","34019",124603,4947,3828,115828,76847,3241,2424,71182,36552,1188,1086,34278,1183,77,43,1063,10021,441,275,9305
"Mercer County, New Jersey","34021",349830,35376,20626,293828,185106,20087,10404,154615,85851,6773,3519,75559,8267,1225,951,6091,70606,7291,5752,57563
"Middlesex County, New Jersey","34023",774106,57406,37518,679182,363491,28496,16050,318945,159343,9303,5797,144243,18756,2415,1944,14397,232516,17192,13727,201597
"Monmouth County, New Jersey","34025",621520,38952,30586,551982,345957,22046,16460,307451,186809,7813,6944,172052,7921,1028,739,6154,80833,8065,6443,66325
"Morris County, New Jersey","34027",481484,19400,14134,447950,272499,9631,7004,255864,112297,3552,2562,106183,6136,382,289,5465,90552,5835,4279,80438
"Ocean County, New Jersey","34029",561988,50712,38898,472378,363254,31150,23310,308794,146552,13447,9442,123663,8477,1471,1160,5846,43705,4644,4986,34075
"Passaic County, New Jersey","34031",485579,73506,45018,367055,255733,37236,19084,199413,68079,7348,4268,56463,28343,6842,4841,16660,133424,22080,16825,94519
"Salem County, New Jersey","34033",65115,6595,5023,53497,41236,4295,3477,33464,20692,1638,1257,17797,840,276,55,509,2347,386,234,1727
"Somerset County, New Jersey","34035",316393,11235,10666,294492,167487,5347,4990,157150,75425,1935,1884,71606,3474,68,64,3342,70007,3885,3728,62394
"Sussex County, New Jersey","34037",148398,7125,5746,135527,100651,4883,4288,91480,36697,1423,1002,34272,1580,94,62,1424,9470,725,394,8351
"Union County, New Jersey","34039",522858,47406,32579,442873,262390,23496,15100,223794,96703,7224,4471,85008,12106,1842,1081,9183,151659,14844,11927,124888
"Warren County, New Jersey","34041",107258,7283,5075,94900,69262,5000,3186,61076,27907,1440,1040,25427,1016,126,76,814,9073,717,773,7583
