"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Atlantic County, New Jersey","34001",26800,26545,31581,20998,24046
"Bergen County, New Jersey","34003",39918,37583,46952,33888,36383
"Burlington County, New Jersey","34005",36753,33936,41690,33482,30969
"Camden County, New Jersey","34007",29819,28091,35142,17807,24942
"Cape May County, New Jersey","34009",30122,29243,31886,16410,20322
"Cumberland County, New Jersey","34011",23915,25484,24838,18705,20261
"Essex County, New Jersey","34013",29002,29161,35422,19911,26338
"Gloucester County, New Jersey","34015",33447,30891,37357,31567,31724
"Hudson County, New Jersey","34017",29283,29994,45098,19945,25584
"Hunterdon County, New Jersey","34019",43720,40079,53898,29875,40996
"Mercer County, New Jersey","34021",31744,31213,38643,21448,27609
"Middlesex County, New Jersey","34023",35875,32881,41861,26373,36619
"Monmouth County, New Jersey","34025",36494,35045,43876,26401,28669
"Morris County, New Jersey","34027",42840,41568,53523,32714,36408
"Ocean County, New Jersey","34029",29621,30364,30950,27169,22573
"Passaic County, New Jersey","34031",26696,30577,34697,18939,22365
"Salem County, New Jersey","34033",29976,30222,31178,15944,25428
"Somerset County, New Jersey","34035",44455,42058,52521,35016,42075
"Sussex County, New Jersey","34037",37746,36099,43057,33350,36162
"Union County, New Jersey","34039",31221,33076,40447,25638,26589
"Warren County, New Jersey","34041",34371,33171,38881,29563,31550
