"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Atlantic County, New Jersey","34001",220521,24295,196226,41162,19133,31948,26982,28790,18700,7808,21703,106869,13305,93564,22576,8533,13518,12546,12870,9548,3838,10135,67054,4856,62198,10705,6262,9168,7443,10115,6615,3088,8802,6645,718,5927,1527,427,1785,802,785,239,89,273,39953,5416,34537,6354,3911,7477,6191,5020,2298,793,2493
"Bergen County, New Jersey","34003",729317,100077,629240,95679,47240,77754,65789,86014,73141,32467,151156,269581,36590,232991,43291,17047,26645,23469,32889,27814,12332,49504,205433,20160,185273,24556,12679,20112,16253,22828,20549,10674,57622,11522,1408,10114,1491,665,1767,1235,1343,1143,575,1895,242781,41919,200862,26341,16849,29230,24832,28954,23635,8886,42135
"Burlington County, New Jersey","34005",361723,43467,318256,51087,23249,41261,37227,47864,39347,17165,61056,164789,23402,141387,27443,10472,17749,16450,21802,17791,7179,22501,150292,13025,137267,17437,9637,16440,15843,20451,17536,8292,31631,7075,1080,5995,1071,340,995,651,1012,653,265,1008,39567,5960,33607,5136,2800,6077,4283,4599,3367,1429,5916
"Camden County, New Jersey","34007",409664,47478,362186,69429,33535,54840,45568,53184,39286,16231,50113,186691,24773,161918,35490,14947,23294,20705,25094,16850,6922,18616,158890,13436,145454,22721,12237,20433,17112,21721,17833,7695,25702,15096,2081,13015,4155,1472,2122,2154,1293,985,179,655,48987,7188,41799,7063,4879,8991,5597,5076,3618,1435,5140
"Cape May County, New Jersey","34009",82655,6145,76510,14607,7449,11597,9337,11308,8655,3335,10222,33303,3316,29987,6820,2654,3869,3707,4549,3435,1366,3587,44682,2569,42113,6643,4210,6653,5195,6390,4859,1910,6253,868,3,865,240,166,274,60,37,45,8,35,3802,257,3545,904,419,801,375,332,316,51,347
"Cumberland County, New Jersey","34011",124533,21421,103112,22649,11737,18727,14227,14195,9425,3593,8559,75270,13658,61612,14181,5927,10180,8932,8989,5919,2347,5137,26781,3724,23057,4442,3132,4011,2782,3051,2497,751,2391,7062,916,6146,1679,1067,961,885,842,343,104,265,15420,3123,12297,2347,1611,3575,1628,1313,666,391,766
"Essex County, New Jersey","34013",618385,96006,522379,106472,47130,79572,66253,70090,50934,19138,82790,276299,50567,225732,52167,17947,30738,27379,32192,23572,8696,33041,140863,15167,125696,23078,10747,15391,13143,15401,12532,5051,30353,25485,3627,21858,6562,2524,3374,2891,2626,1602,616,1663,175738,26645,149093,24665,15912,30069,22840,19871,13228,4775,17733
"Gloucester County, New Jersey","34015",227509,24618,202891,37915,17417,26496,22445,30327,23925,11554,32812,117444,14730,102714,22253,8586,13523,11425,15675,11969,5220,14063,93938,7577,86361,13176,7538,10893,9462,12918,10432,5624,16318,2862,289,2573,600,187,277,331,337,254,103,484,13265,2022,11243,1886,1106,1803,1227,1397,1270,607,1947
"Hudson County, New Jersey","34017",514071,78639,435432,79351,42552,71366,52128,59062,43246,18759,68968,157150,27240,129910,27809,11458,18167,14514,18566,14407,6332,18657,90505,8297,82208,9657,5685,9401,8078,11813,10369,4796,22409,22806,2662,20144,5315,2666,3644,2669,2470,1592,300,1488,243610,40440,203170,36570,22743,40154,26867,26213,16878,7331,26414
"Hunterdon County, New Jersey","34019",103141,10846,92295,16064,6170,9142,8357,10666,9424,4835,27637,58588,6364,52224,10191,3730,5343,4901,6336,5679,2697,13347,33470,3066,30404,4225,1601,2753,2501,3159,3039,1707,11419,1206,216,990,236,111,85,87,104,30,48,289,9877,1200,8677,1412,728,961,868,1067,676,383,2582
