"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Orangeburg School District 5, South Carolina","4503210",47749,12399,5655,29695,37259,9728,4470,23061,8860,2181,959,5720,217,11,47,159,1413,479,179,755
"Pickens County School District, South Carolina","4503330",111979,21737,13181,77061,72112,14038,8723,49351,34319,6159,3707,24453,985,189,107,689,4563,1351,644,2568
"Richland School District 1, South Carolina","4503360",189035,46400,23253,119382,124501,32585,15912,76004,53308,11442,5807,36059,2610,504,180,1926,8616,1869,1354,5393
"Richland School District 2, South Carolina","4503390",127994,12552,9723,105719,64613,7452,6197,50964,49481,3548,2474,43459,4037,288,151,3598,9863,1264,901,7698
"Saluda County School District, South Carolina","4503460",15019,3648,1908,9463,11080,2566,1454,7060,2151,462,165,1524,107,30,0,77,1681,590,289,802
"Spartanburg School District 1, South Carolina","4503480",29365,5168,2969,21228,18021,3461,1961,12599,10011,1141,911,7959,193,21,25,147,1140,545,72,523
"Spartanburg School District 2, South Carolina","4503510",57956,9001,5614,43341,37026,5666,4163,27197,16056,2113,1240,12703,627,31,0,596,4247,1191,211,2845
"Spartanburg School District 3, South Carolina","4503540",16278,3215,2692,10371,12612,2517,2073,8022,3292,602,565,2125,13,0,0,13,361,96,54,211
"Spartanburg School District 4, South Carolina","4503570",16880,3126,2799,10955,12012,2485,2060,7467,4430,542,610,3278,70,16,35,19,368,83,94,191
"Spartanburg School District 5, South Carolina","4503600",42665,5719,4935,32011,25882,3858,3198,18826,13585,1238,1467,10880,401,185,21,195,2797,438,249,2110
"Spartanburg School District 6, South Carolina","4503630",59295,10751,6306,42238,35581,6748,3912,24921,17704,2318,1442,13944,511,60,129,322,5499,1625,823,3051
"Spartanburg School District 7, South Carolina","4503660",51211,12520,6669,32022,34401,9999,4463,19939,13883,2128,1608,10147,362,37,24,301,2565,356,574,1635
"Union County School District, South Carolina","4503750",27895,5312,3838,18745,23165,4680,3300,15185,4474,601,516,3357,49,24,3,22,207,7,19,181
"Williamsburg County School District, South Carolina","4503780",31630,9109,4604,17917,27529,7815,4007,15707,3869,1231,571,2067,56,6,0,50,176,57,26,93
"York School District 1, South Carolina","4503810",31981,5937,3694,22350,16887,3305,1810,11772,13613,2343,1584,9686,79,44,2,33,1402,245,298,859
"York School District 2, South Carolina","4503840",36271,4547,2438,29286,9969,1526,583,7860,25041,2879,1828,20334,392,42,0,350,869,100,27,742
"York School District 3, South Carolina","4503870",108567,18862,10968,78737,58705,12303,6638,39764,44555,5669,3953,34933,1086,154,146,786,4221,736,231,3254
"York School District 4, South Carolina","4503900",54190,3590,2999,47601,9537,1098,785,7654,39858,1941,1835,36082,697,13,108,576,4098,538,271,3289
"Sumter County Consolidated School District, South Carolina","4503902",105089,19494,13627,71968,68293,15103,9776,43414,31281,3687,3024,24570,1744,118,194,1432,3771,586,633,2552
"Marion School District 10, South Carolina","4503908",32143,9546,4716,17881,26332,7620,4085,14627,5107,1657,560,2890,63,12,7,44,641,257,64,320
"Remainder of South Carolina, South Carolina","4599999",3843,591,472,2780,1202,473,50,679,2268,107,334,1827,196,0,41,155,177,11,47,119
"Dorchester School District 4, South Carolina","4500002",14725,3008,1630,10087,11498,2437,1276,7785,2931,467,308,2156,47,0,0,47,249,104,46,99
"Abbeville County School District, South Carolina","4500690",23079,5416,2771,14892,18081,4305,2115,11661,4601,925,651,3025,125,26,5,94,272,160,0,112
"Aiken County School District, South Carolina","4500720",163220,29999,16631,116590,67966,15538,7425,45003,87465,12840,8180,66445,1775,310,355,1110,6014,1311,671,4032
"Allendale County School District, South Carolina","4500750",8917,2897,1476,4544,7430,2583,1258,3589,1298,303,199,796,32,0,0,32,157,11,19,127
"Anderson School District 1, South Carolina","4500780",49708,5491,5053,39164,33830,3884,3561,26385,14822,1581,1209,12032,233,11,64,158,823,15,219,589
"Anderson School District 2, South Carolina","4500810",22947,3627,3173,16147,17588,2847,2601,12140,5088,687,549,3852,55,0,16,39,216,93,7,116
"Anderson School District 3, South Carolina","4500840",14950,3510,2692,8748,11640,2975,1969,6696,3217,535,714,1968,36,0,0,36,57,0,9,48
"Anderson School District 4, South Carolina","4500870",21928,3023,2353,16552,14926,2085,1639,11202,6172,858,499,4815,112,0,7,105,718,80,208,430
"Anderson School District 5, South Carolina","4500900",77929,15801,10086,52042,52723,11897,6831,33995,21553,3155,2590,15808,967,255,58,654,2686,494,607,1585
"Bamberg School District 1, South Carolina","4500930",8398,1926,723,5749,6744,1389,564,4791,1450,517,127,806,38,0,0,38,166,20,32,114
"Bamberg School District 2, South Carolina","4500960",6263,2172,794,3297,5152,1899,682,2571,1024,273,112,639,0,0,0,0,87,0,0,87
"Barnwell School District 19, South Carolina","4501020",4911,1555,414,2942,4000,1262,315,2423,748,180,99,469,9,0,0,9,154,113,0,41
"Barnwell School District 29, South Carolina","4501050",5314,1382,963,2969,4147,1020,815,2312,1135,362,116,657,0,0,0,0,32,0,32,0
"Barnwell School District 45, South Carolina","4501080",11759,3370,1340,7049,8907,2902,903,5102,2622,468,437,1717,127,0,0,127,103,0,0,103
"Beaufort County School District, South Carolina","4501110",162073,20071,14220,127782,46041,9270,5517,31254,97491,8056,5782,83653,2418,208,312,1898,16123,2537,2609,10977
"Berkeley County School District, South Carolina","4501170",184988,26767,17953,140268,97586,16978,10630,69978,74359,7507,5914,60938,2731,251,234,2246,10312,2031,1175,7106
"Calhoun County School District, South Carolina","4501250",14918,2794,2099,10025,11494,2273,1833,7388,2996,456,232,2308,41,0,6,35,387,65,28,294
"Charleston County School District, South Carolina","4501440",353845,63899,31194,258752,186812,40172,19658,126982,144251,19591,8281,116379,4436,793,478,3165,18346,3343,2777,12226
