"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Orangeburg School District 5, South Carolina","4503210",50688,3325,7348,7387,6123,5283,6428,3479,1218,2146,4633,3318,39019,3051,6307,5035,4528,3737,4766,2640,923,1726,3628,2678,9986,274,948,2154,1171,1193,1387,681,232,398,935,613,237,0,40,14,72,38,30,13,11,0,19,0,1446,0,53,184,352,315,245,145,52,22,51,27
"Pickens County School District, South Carolina","4503330",119577,6137,17711,22117,13510,13539,15404,7396,2947,3728,9918,7170,75545,5344,14833,12165,8109,7890,8802,4118,1638,2287,5691,4668,38241,688,2537,8882,3902,4603,6028,2854,1162,1332,3897,2356,1057,65,75,195,136,169,153,73,55,21,107,8,4734,40,266,875,1363,877,421,351,92,88,223,138
"Richland School District 1, South Carolina","4503360",206981,12347,27213,39731,32812,22078,25973,12337,4297,6559,13254,10380,133704,11003,22501,22103,18927,13049,15906,8170,2771,4204,8525,6545,61295,1156,4058,15381,10532,7355,8311,3570,1338,2072,4149,3373,2831,22,155,546,573,380,645,270,51,50,94,45,9151,166,499,1701,2780,1294,1111,327,137,233,486,417
"Richland School District 2, South Carolina","4503390",128949,8756,25636,11022,18225,20213,17602,7894,2699,4110,7827,4965,65298,6980,16791,5807,7737,9706,7120,3357,1154,1575,3030,2041,49718,1509,7599,3708,7849,7964,7926,3587,1197,2089,3949,2341,4043,176,433,528,760,702,732,166,181,158,142,65,9890,91,813,979,1879,1841,1824,784,167,288,706,518
"Saluda County School District, South Carolina","4503460",15250,1139,2483,1292,1854,1785,2109,1082,462,450,1585,1009,11216,1072,2115,839,975,1331,1503,686,337,356,1243,759,2235,67,308,160,162,151,348,304,106,86,293,250,118,0,11,18,0,37,39,0,0,8,5,0,1681,0,49,275,717,266,219,92,19,0,44,0
"Spartanburg School District 1, South Carolina","4503480",29714,1285,5429,2280,2784,3790,4204,2584,1138,1149,3163,1908,18273,1172,4162,1418,1581,2344,1846,1571,627,622,1771,1159,10108,113,1115,691,950,1164,2114,919,499,524,1334,685,193,0,14,5,28,43,72,15,7,0,9,0,1140,0,138,166,225,239,172,79,5,3,49,64
"Spartanburg School District 2, South Carolina","4503510",58913,3952,10369,6627,6272,8531,8788,3530,1096,1690,5227,2831,37753,3497,7977,4466,4010,4315,4655,2127,610,988,3149,1959,16268,387,1872,1612,1374,3235,3273,1089,358,601,1705,762,633,68,90,114,11,51,74,100,0,19,106,0,4259,0,430,435,877,930,786,214,128,82,267,110
"Spartanburg School District 3, South Carolina","4503540",16307,730,2737,1546,1607,2107,2286,1420,535,634,1592,1113,12638,673,2356,1255,1135,1609,1671,999,453,536,1166,785,3295,48,340,271,324,458,557,374,82,98,426,317,13,0,0,0,0,0,13,0,0,0,0,0,361,9,41,20,148,40,45,47,0,0,0,11
"Spartanburg School District 4, South Carolina","4503570",18504,1260,2961,1498,2087,2551,2930,1115,557,610,1895,1040,13186,1153,2651,948,1587,1537,1855,709,369,371,1297,709,4843,107,303,535,407,910,937,376,188,231,530,319,88,0,0,0,69,10,0,0,0,0,9,0,387,0,7,15,24,94,138,30,0,8,59,12
"Spartanburg School District 5, South Carolina","4503600",42810,2838,8545,2982,6294,5463,6057,3115,1071,1443,3065,1937,26014,2444,6329,1695,3818,2991,2937,1675,562,686,1613,1264,13598,291,1993,1047,1985,1878,2460,1055,439,553,1321,576,401,98,7,0,44,43,136,15,0,46,12,0,2797,5,216,240,447,551,524,370,70,158,119,97
