"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Orangeburg School District 5, South Carolina","4503210",18888,18624,19210,21979,22721
"Pickens County School District, South Carolina","4503330",19437,18584,20798,23841,18776
"Richland School District 1, South Carolina","4503360",20434,19511,22085,29891,20353
"Richland School District 2, South Carolina","4503390",32053,29298,37388,34421,24893
"Saluda County School District, South Carolina","4503460",21444,21075,22771,72250,20475
"Spartanburg School District 1, South Carolina","4503480",21675,19579,26396,24000,9557
"Spartanburg School District 2, South Carolina","4503510",23810,21629,28088,20893,23982
"Spartanburg School District 4, South Carolina","4503570",20896,20337,22181,15625,20833
"Spartanburg School District 5, South Carolina","4503600",27720,26383,31690,17965,21275
"Spartanburg School District 6, South Carolina","4503630",23621,22404,27352,24085,20639
"Spartanburg School District 7, South Carolina","4503660",19866,17511,24935,26000,20773
"Union County School District, South Carolina","4503750",20786,20072,22823,24107,18207
"Williamsburg County School District, South Carolina","4503780",16168,17012,13958,7308,11803
"York School District 1, South Carolina","4503810",22428,21870,22997,48295,24601
"York School District 2, South Carolina","4503840",29448,24908,30491,34871,29548
"York School District 3, South Carolina","4503870",25085,22463,27946,27969,25482
"York School District 4, South Carolina","4503900",39745,33000,41293,61347,32060
"Sumter County Consolidated School District, South Carolina","4503902",21863,19585,29373,31371,17263
"Marion School District 10, South Carolina","4503908",17360,17135,18776,6818,18024
"Remainder of South Carolina, South Carolina","4599999",12440,16111,11998,14667,15681
"Dorchester School District 4, South Carolina","4500002",21029,20889,21980,36397,15139
"Abbeville County School District, South Carolina","4500690",19600,19889,18580,62857,24044
"Aiken County School District, South Carolina","4500720",24292,21325,26948,26250,23476
"Allendale County School District, South Carolina","4500750",16069,14660,20808,30536,20375
"Anderson School District 1, South Carolina","4500780",27348,26038,30115,32796,32607
"Anderson School District 2, South Carolina","4500810",21074,20671,23194,34063,13869
"Anderson School District 4, South Carolina","4500870",24171,23091,24833,14605,31382
"Anderson School District 5, South Carolina","4500900",22097,20597,25442,20938,22506
"Barnwell School District 45, South Carolina","4501080",21713,20682,22255,86069,47386
"Beaufort County School District, South Carolina","4501110",27907,20383,32062,26059,21216
"Berkeley County School District, South Carolina","4501170",26281,22787,30308,27799,22155
"Calhoun County School District, South Carolina","4501250",22951,21751,26126,22788,15536
"Charleston County School District, South Carolina","4501440",27038,21860,34706,32843,24262
"Cherokee County School District, South Carolina","4501500",19021,18253,20968,27534,17051
"Chester County School District, South Carolina","4501530",18547,17381,22036,37500,26042
"Chesterfield County School District, South Carolina","4501560",19387,19322,19813,6875,16216
"Clarendon School District 1, South Carolina","4501740",14523,13517,18484,36375,16250
"Clarendon School District 2, South Carolina","4501770",17648,16701,22573,13182,14375
"Colleton County School District, South Carolina","4501830",18815,18459,20072,11176,19554
"Darlington County School District, South Carolina","4501860",19852,19010,23366,20664,17591
"Dorchester School District 2, South Carolina","4502010",28970,25249,32941,28708,24543
"Edgefield County School District, South Carolina","4502070",21782,21228,23542,22550,17193
"Fairfield County School District, South Carolina","4502100",20725,19060,28792,41413,25139
"Florence School District 1, South Carolina","4502130",23703,21327,29001,30595,30794
"Florence School District 3, South Carolina","4502190",17391,18486,15126,50833,16023
"Florence School District 5, South Carolina","4502250",20659,20851,18631,9688,32222
"Georgetown County School District, South Carolina","4502280",21932,18400,28519,28589,23024
"Greenville County School District, South Carolina","4502310",25488,22455,30501,25618,21741
"Greenwood School District 50, South Carolina","4502340",20536,20272,22708,26250,16016
"Hampton School District 1, South Carolina","4502430",20490,19984,21458,28750,30938
"Hampton School District 2, South Carolina","4502460",15970,17642,11703,7589,16056
"Horry County School District, South Carolina","4502490",22076,19308,24546,25709,18796
"Jasper County School District, South Carolina","4502520",18975,17216,20155,21020,20417
"Kershaw County School District, South Carolina","4502550",23695,21874,28540,19710,21609
"Lancaster County School District, South Carolina","4502580",23057,19402,29312,10368,23587
"Laurens School District 55, South Carolina","4502610",20791,20211,23014,44732,19321
"Laurens School District 56, South Carolina","4502640",18319,17601,21035,8482,8785
"Lee County School District, South Carolina","4502670",17067,16203,20152,31125,17440
"Lexington School District 1, South Carolina","4502700",31616,30431,35460,37361,21457
"Lexington School District 2, South Carolina","4502730",24335,23614,28060,32904,19821
"Lexington School District 4, South Carolina","4502790",21179,19297,23486,37031,24054
"Lexington School District 5, South Carolina","4502820",34989,33681,35934,47869,34850
"Marlboro County School District, South Carolina","4502970",16937,16250,18750,18625,20556
"McCormick County School District, South Carolina","4503000",20437,17359,23649,48000,22404
"Newberry County School District, South Carolina","4503030",23903,22456,27848,40045,25195
"Oconee County School District, South Carolina","4503060",21874,20195,25438,14679,20036
"Orangeburg School District 3, South Carolina","4503150",16358,15516,19523,5284,22266
"Orangeburg School District 4, South Carolina","4503180",20448,19431,24519,2499,26318
