"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Orangeburg School District 5, South Carolina","4503210",32628,5690,10524,8707,4421,3286,24626,4631,8295,6221,3318,2161,6610,694,1924,2298,920,774,183,0,42,45,65,31,1209,365,263,143,118,320
"Pickens County School District, South Carolina","4503330",73612,13022,22781,21303,9691,6815,43203,9233,15543,12148,4024,2255,26134,3088,6434,8231,4975,3406,722,111,89,284,154,84,3553,590,715,640,538,1070
"Richland School District 1, South Carolina","4503360",127690,17881,31612,36387,24715,17095,78097,12486,22344,22543,13313,7411,40700,3543,7522,12332,9565,7738,2108,80,528,647,644,209,6785,1772,1218,865,1193,1737
"Richland School District 2, South Carolina","4503390",83535,6154,16523,28693,19274,12891,35720,2925,8715,11880,7363,4837,36902,1318,5687,13834,10090,5973,2906,218,388,1162,721,417,8007,1693,1733,1817,1100,1664
"Saluda County School District, South Carolina","4503460",10336,2462,4114,2620,786,354,7190,1291,3103,1989,630,177,1700,136,783,523,135,123,89,15,0,59,15,0,1357,1020,228,49,6,54
"Spartanburg School District 1, South Carolina","4503480",20720,3602,7042,6386,2331,1359,11521,2272,4213,3422,1061,553,8189,858,2637,2736,1192,766,174,0,49,75,37,13,836,472,143,153,41,27
"Spartanburg School District 2, South Carolina","4503510",37965,6415,11533,12318,5149,2550,21813,4008,6799,7332,2516,1158,12397,1195,3646,4118,2194,1244,361,106,135,60,41,19,3394,1106,953,808,398,129
"Spartanburg School District 3, South Carolina","4503540",11294,2333,4196,3098,1040,627,8354,1874,3181,2359,611,329,2636,356,923,663,396,298,13,0,0,4,9,0,291,103,92,72,24,0
"Spartanburg School District 4, South Carolina","4503570",12785,3129,4703,3289,979,685,8434,2342,3336,1970,499,287,3898,691,1237,1250,403,317,88,0,10,69,0,9,365,96,120,0,77,72
"Spartanburg School District 5, South Carolina","4503600",28445,3373,8535,10289,4248,2000,15546,2093,4832,5675,2121,825,10267,760,2849,3964,1736,958,296,92,107,33,26,38,2336,428,747,617,365,179
