"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Marlboro County, South Carolina","45069",23107,5531,17576,4564,2900,3774,2344,2093,1000,355,546,16399,3244,13155,3509,2217,2708,1762,1649,675,257,378,5842,1740,4102,955,669,1013,556,378,303,98,130,171,91,80,34,0,15,11,0,2,0,18,695,456,239,66,14,38,15,66,20,0,20
"Newberry County, South Carolina","45071",30699,4518,26181,4713,3621,5458,4134,3583,2060,861,1751,22665,3151,19514,3769,2674,4127,3103,2650,1520,611,1060,6266,987,5279,784,734,823,721,828,523,250,616,98,25,73,9,0,32,27,5,0,0,0,1670,355,1315,151,213,476,283,100,17,0,75
"Oconee County, South Carolina","45073",62600,7942,54658,11923,7465,10521,7055,6789,4375,1534,4996,34147,4930,29217,6825,4055,6135,4298,3517,1950,778,1659,25241,2546,22695,4564,2884,3616,2537,2982,2339,735,3038,716,76,640,121,154,84,66,103,36,7,69,2496,390,2106,413,372,686,154,187,50,14,230
"Orangeburg County, South Carolina","45075",72834,13107,59727,15627,8590,11456,8180,7377,3871,1429,3197,56078,10090,45988,12114,7044,8759,6455,5723,2883,1017,1993,14535,2469,12066,3094,1294,2406,1567,1471,891,332,1011,256,79,177,33,31,21,25,40,5,22,0,1965,469,1496,386,221,270,133,143,92,58,193
"Pickens County, South Carolina","45077",101147,13204,87943,23672,10595,16064,11095,10948,6392,2218,6959,58312,8391,49921,13393,6486,9503,6832,6300,3380,1140,2887,37456,4034,33422,9109,3665,5392,3807,4134,2759,994,3562,999,95,904,270,58,90,174,129,47,33,103,4380,684,3696,900,386,1079,282,385,206,51,407
"Richland County, South Carolina","45079",328709,38413,290296,65748,29902,46305,39156,41582,25815,9892,31896,170933,22671,148262,35573,16521,25195,20588,21136,12196,4331,12722,130310,11659,118651,25450,10720,17123,15417,17228,11488,4939,16286,7365,694,6671,1465,546,780,921,1131,718,190,920,20101,3389,16712,3260,2115,3207,2230,2087,1413,432,1968
"Saluda County, South Carolina","45081",16316,2689,13627,2833,1878,2611,2085,1881,1001,395,943,11642,1867,9775,2164,1267,1789,1503,1314,847,227,664,2724,341,2383,501,309,396,327,336,154,142,218,153,25,128,0,24,2,49,5,0,7,41,1797,456,1341,168,278,424,206,226,0,19,20
"Spartanburg County, South Carolina","45083",236571,32388,204183,42753,25345,38778,28908,27750,18454,6130,16065,140474,19837,120637,27215,16047,23369,16854,16224,10539,3183,7206,75935,9020,66915,12094,7615,11478,9262,9633,6987,2566,7280,2167,270,1897,316,204,294,402,270,141,52,218,17995,3261,14734,3128,1479,3637,2390,1623,787,329,1361
"Sumter County, South Carolina","45085",85450,13209,72241,16479,9267,13763,10380,9886,5392,2150,4924,52686,8629,44057,11171,6137,8691,6440,5835,2838,868,2077,27878,3781,24097,4366,2581,4188,3404,3518,2226,1226,2588,1406,195,1211,228,97,177,166,202,173,22,146,3480,604,2876,714,452,707,370,331,155,34,113
"Union County, South Carolina","45087",22997,2875,20122,4645,2871,4423,2893,2440,1748,446,656,18837,2400,16437,3996,2333,3486,2430,1906,1416,370,500,3978,439,3539,618,526,928,414,510,328,76,139,52,0,52,12,0,0,36,0,4,0,0,130,36,94,19,12,9,13,24,0,0,17
"Williamsburg County, South Carolina","45089",26959,5549,21410,6178,3512,4159,2705,2503,1249,366,738,21944,4036,17908,5150,2782,3457,2369,2129,1025,318,678,4207,1206,3001,893,594,584,318,354,171,27,60,290,130,160,80,45,1,0,0,34,0,0,518,177,341,55,91,117,18,20,19,21,0
"York County, South Carolina","45091",195245,26116,169129,31770,17313,26462,21813,25112,16552,6418,23689,75152,10102,65050,13906,8199,11335,8430,10128,5792,1744,5516,106657,13747,92910,16224,8129,13015,12054,13299,9799,4234,16156,2431,306,2125,389,183,164,347,365,256,137,284,11005,1961,9044,1251,802,1948,982,1320,705,303,1733
