"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Abbeville County, South Carolina","45001",43.6,42.1,47.7,21.7,27.5
"Aiken County, South Carolina","45003",40.8,41.6,40.9,39.5,38.8
"Allendale County, South Carolina","45005",39.3,38.2,46,36.9,32.4
"Anderson County, South Carolina","45007",40.5,36.1,48.9,44.6,40.2
"Bamberg County, South Carolina","45009",41,41.6,37.1,25.4,34.5
"Barnwell County, South Carolina","45011",40.4,39.4,42.5,43.6,40.3
"Beaufort County, South Carolina","45013",43.6,24.3,52.8,34,42.1
"Berkeley County, South Carolina","45015",35.6,28.9,41.4,37,41.5
"Calhoun County, South Carolina","45017",45.8,41.1,53.4,52.6,44.6
"Charleston County, South Carolina","45019",36.8,31.6,41.9,35.6,39.5
"Cherokee County, South Carolina","45021",39.1,36.2,43.7,32,36.5
"Chester County, South Carolina","45023",41.3,38.3,47.4,52.2,65.5
"Chesterfield County, South Carolina","45025",41.5,42.6,40.2,30,37.9
"Clarendon County, South Carolina","45027",43.1,38.7,52.6,52.9,41.9
"Colleton County, South Carolina","45029",42.2,38.9,53.2,35.3,26.4
"Darlington County, South Carolina","45031",41.2,39.1,47.9,43.1,36.3
"Dorchester County, South Carolina","45035",36,27.4,43.6,31.1,42.6
"Edgefield County, South Carolina","45037",42.3,43.5,42.1,38.9,39.5
"Fairfield County, South Carolina","45039",44.8,42.4,52.8,29,39.8
"Florence County, South Carolina","45041",38.5,35.1,45.4,36.2,42.1
"Georgetown County, South Carolina","45043",47.9,40,56.8,50.1,47.1
"Greenville County, South Carolina","45045",37.9,30.8,44.7,38,40
"Greenwood County, South Carolina","45047",39.1,34.5,49.1,38.8,37.8
"Hampton County, South Carolina","45049",40.1,37.8,46.8,31.6,46.4
"Horry County, South Carolina","45051",43.8,28.4,52.2,37.4,41.8
"Jasper County, South Carolina","45053",37.9,33.7,45.1,46.5,36.7
"Kershaw County, South Carolina","45055",41.8,35.7,49.1,35.3,48.4
"Lancaster County, South Carolina","45057",41.5,39.7,43.7,38.1,42.6
"Laurens County, South Carolina","45059",40.8,37.2,49.7,37.9,37.1
"Lee County, South Carolina","45061",40.8,40.2,42.5,40.6,51.4
"Lexington County, South Carolina","45063",38.8,32.7,46.7,43.6,38.9
"McCormick County, South Carolina","45065",52.4,46,60.5,46.1,64.4
"Marion County, South Carolina","45067",40.2,38.5,50,56.2,40.4
"Marlboro County, South Carolina","45069",39.4,39.9,38.9,36.5,38.2
"Newberry County, South Carolina","45071",41.3,41,46,47.5,36.7
"Oconee County, South Carolina","45073",44.9,36.5,54.5,53.9,41.3
"Orangeburg County, South Carolina","45075",39.1,36.4,48.1,36.3,41.3
"Pickens County, South Carolina","45077",35.8,32.4,42.4,47.8,34.9
"Richland County, South Carolina","45079",32.9,29.9,35.9,34.9,37.7
"Saluda County, South Carolina","45081",41.2,40.6,51.2,36.3,33.3
"Spartanburg County, South Carolina","45083",38.2,33.5,45.9,43.9,41.7
"Sumter County, South Carolina","45085",35.8,32,41.3,30,41.4
"Union County, South Carolina","45087",43.7,42.2,46.7,78.3,44.3
"Williamsburg County, South Carolina","45089",41.5,41.6,42.1,37.9,35.9
"York County, South Carolina","45091",38.2,34.2,40.3,39.9,41.2
