"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Abbeville County, South Carolina","45001",24247,5230,2781,16236,18485,4133,2045,12307,5471,946,719,3806,68,10,4,54,223,141,13,69
"Aiken County, South Carolina","45003",162435,28253,17869,116313,63526,12899,7515,43112,90295,13327,8913,68055,1591,345,343,903,7023,1682,1098,4243
"Allendale County, South Carolina","45005",8487,2519,1655,4313,7101,2216,1581,3304,1266,295,56,915,36,0,0,36,84,8,18,58
"Anderson County, South Carolina","45007",189850,30879,22093,136878,130211,22582,15732,91897,53200,7246,5257,40697,1293,178,129,986,5146,873,975,3298
"Bamberg County, South Carolina","45009",14069,3806,1522,8741,11819,3288,1225,7306,2007,501,279,1227,40,4,0,36,203,13,18,172
"Barnwell County, South Carolina","45011",21446,5680,2291,13475,16003,4727,1635,9641,5089,896,617,3576,89,10,0,79,265,47,39,179
"Beaufort County, South Carolina","45013",169824,21115,13935,134774,48136,10162,5436,32538,103749,8458,6190,89101,2415,281,245,1889,15524,2214,2064,11246
"Berkeley County, South Carolina","45015",195416,25772,17106,152538,102491,16173,10000,76318,79676,7643,5825,66208,2983,412,227,2344,10266,1544,1054,7668
"Calhoun County, South Carolina","45017",14652,2834,1483,10335,11062,2243,1341,7478,3101,498,138,2465,42,0,0,42,447,93,4,350
"Charleston County, South Carolina","45019",368671,60063,29801,278807,194981,37875,19700,137406,151030,18025,7863,125142,4591,832,334,3425,18069,3331,1904,12834
"Cherokee County, South Carolina","45021",55481,12593,7473,35415,39725,9835,5671,24219,14280,2285,1664,10331,278,0,7,271,1198,473,131,594
"Chester County, South Carolina","45023",32225,7554,3709,20962,24297,6288,2962,15047,7654,1257,715,5682,66,9,7,50,208,0,25,183
"Chesterfield County, South Carolina","45025",45530,11158,6544,27828,29467,7237,4302,17928,14556,3323,2164,9069,102,18,0,84,1405,580,78,747
"Clarendon County, South Carolina","45027",32301,8400,4071,19830,24572,6904,3179,14489,7113,1207,849,5057,132,8,5,119,484,281,38,165
"Colleton County, South Carolina","45029",37181,7733,7393,22055,28759,6000,6176,16583,7536,1219,1107,5210,136,64,19,53,750,450,91,209
"Darlington County, South Carolina","45031",66163,15241,8409,42513,52978,12740,6894,33344,11624,2198,1285,8141,364,104,1,259,1197,199,229,769
