"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Abbeville County, South Carolina","45001",24951,1358,3990,2526,2296,2908,3330,1646,661,1354,2912,1970,18880,1293,3362,1723,1790,2052,2312,1192,510,1004,2155,1487,5736,65,535,735,487,782,990,445,136,341,751,469,89,0,18,29,0,4,0,9,15,0,0,14,246,0,75,39,19,70,28,0,0,9,6,0
"Aiken County, South Carolina","45003",165146,9602,26970,14263,20597,19245,22376,11930,4509,6844,17185,11625,65284,4857,11761,6003,6035,7027,8907,5127,1759,2280,6823,4705,91210,4631,14586,7449,12757,10143,12191,6322,2609,4366,9606,6550,1596,26,182,229,271,387,227,55,68,37,87,27,7056,88,441,582,1534,1688,1051,426,73,161,669,343
"Allendale County, South Carolina","45005",9589,505,1406,1054,1149,1328,1184,735,314,306,1107,501,7882,483,1218,895,948,1039,944,632,241,294,796,392,1539,22,171,128,169,253,224,97,73,11,282,109,58,0,0,14,0,16,14,6,0,0,8,0,110,0,17,17,32,20,2,0,0,1,21,0
"Anderson County, South Carolina","45007",192709,11460,33366,16322,22303,23970,27086,13745,4444,7212,19377,13424,131990,10487,27745,11774,14674,15425,15796,8341,2820,4530,11775,8623,54190,767,5117,4187,6260,7073,10222,4952,1538,2530,6954,4590,1327,52,116,41,207,261,258,271,13,46,43,19,5202,154,388,320,1162,1211,810,181,73,106,605,192
"Bamberg County, South Carolina","45009",15057,785,2295,2111,1365,1732,1805,1183,510,509,1656,1106,12382,753,2077,1399,1028,1511,1371,1094,416,441,1434,858,2410,32,218,690,197,218,391,73,94,68,222,207,51,0,0,11,36,0,4,0,0,0,0,0,214,0,0,11,104,3,39,16,0,0,0,41
"Barnwell County, South Carolina","45011",21917,1472,3987,2109,2235,2542,3000,1563,645,873,2129,1362,16355,1159,2986,1633,1664,1981,2161,1107,494,596,1551,1023,5184,313,981,383,542,467,821,424,151,277,496,329,89,0,0,18,0,28,5,28,0,0,10,0,289,0,20,75,29,66,13,4,0,0,72,10
"Beaufort County, South Carolina","45013",175316,10234,24661,16360,21036,18238,19034,11063,4522,7778,26335,16055,48938,6844,13904,4392,5720,3491,4640,2455,936,1352,3110,2094,108111,3210,9262,10226,11867,10982,11603,7673,3038,5991,21303,12956,2473,136,367,297,482,359,314,181,73,81,113,70,15794,44,1128,1445,2967,3406,2477,754,475,354,1809,935
"Berkeley County, South Carolina","45015",199081,13520,35010,20208,29161,26230,26897,12947,4544,6251,16110,8203,103581,11014,24804,10075,13820,11378,11040,5757,2045,2742,6976,3930,82120,2305,9264,8967,12492,12260,13567,6251,2162,3040,7982,3830,3036,75,431,194,702,800,483,113,63,42,80,53,10344,126,511,972,2147,1792,1807,826,274,427,1072,390
"Calhoun County, South Carolina","45017",14886,737,2304,1130,1438,1677,2189,1229,450,698,1970,1064,11254,712,2026,997,1149,1074,1485,867,354,533,1208,849,3143,25,202,132,244,498,609,344,74,153,681,181,42,0,0,0,0,0,26,0,0,0,0,16,447,0,76,1,45,105,69,18,22,12,81,18
"Charleston County, South Carolina","45019",380673,23342,53381,37931,65494,47222,49061,25494,10060,13473,33583,21632,200943,20435,40483,19675,27359,19428,22716,12148,4745,6562,15916,11476,156401,2746,11640,16259,32157,22823,22614,11899,4691,6194,16077,9301,4801,58,455,893,935,675,991,388,109,114,127,56,18528,103,803,1104,5043,4296,2740,1059,515,603,1463,799
