"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Abbeville County, South Carolina","45001",17077,3713,6003,5014,1581,766,12502,2729,4650,3585,1077,461,4401,928,1342,1406,467,258,42,14,0,4,15,9,132,42,11,19,22,38
"Aiken County, South Carolina","45003",114311,16597,35407,33371,18076,10860,42663,8519,15507,11018,4978,2641,64544,6114,17835,20888,12104,7603,1159,136,326,363,269,65,5945,1828,1739,1102,725,551
"Allendale County, South Carolina","45005",6624,1684,2695,1594,526,125,5286,1355,2323,1203,321,84,1218,288,347,338,204,41,44,14,19,11,0,0,76,27,6,42,1,0
"Anderson County, South Carolina","45007",131561,21151,41956,42116,16779,9559,81984,14869,28288,25503,8830,4494,44119,4858,12354,15482,7017,4408,1118,168,273,258,333,86,4340,1256,1041,873,599,571
"Bamberg County, South Carolina","45009",9866,2215,2819,2945,1269,618,8153,1846,2398,2447,998,464,1470,232,392,438,271,137,40,0,4,36,0,0,203,137,25,24,0,17
"Barnwell County, South Carolina","45011",14349,2934,5068,4450,1314,583,10577,2344,3998,2937,909,389,3507,471,1041,1420,405,170,71,0,18,38,0,15,194,119,11,55,0,9
"Beaufort County, South Carolina","45013",124061,9375,28211,37336,29389,19750,23798,2900,8371,7150,3009,2368,85413,2836,15674,26688,24268,15947,1673,94,388,563,434,194,13177,3545,3778,2935,1678,1241
"Berkeley County, South Carolina","45015",130343,15408,39759,45230,19834,10112,57688,8822,20162,18273,6684,3747,61584,4522,16084,23780,11379,5819,2336,208,693,965,347,123,8735,1856,2820,2212,1424,423
"Calhoun County, South Carolina","45017",10715,1727,4138,3032,1197,621,7519,1256,2905,2056,880,422,2784,327,1085,897,293,182,42,0,41,1,0,0,370,144,107,78,24,17
"Charleston County, South Carolina","45019",266019,26003,57726,72844,70588,38858,120350,16265,35165,33803,23637,11480,125756,5039,18861,35636,42207,24013,3395,292,646,878,1108,471,16518,4407,3054,2527,3636,2894
"Cherokee County, South Carolina","45021",37210,8096,13556,9616,3722,2220,25076,5911,9238,6401,2042,1484,11037,1905,3923,3005,1519,685,209,0,40,50,73,46,888,280,355,160,88,5
"Chester County, South Carolina","45023",22206,4529,8244,6234,2207,992,15877,3473,6178,4172,1510,544,6071,1005,2000,2008,634,424,50,15,29,4,2,0,208,36,37,50,61,24
"Chesterfield County, South Carolina","45025",31421,7357,12895,7551,2368,1250,19987,4807,8593,4731,1135,721,10210,2020,4011,2645,1050,484,93,0,32,45,16,0,1131,530,259,130,167,45
"Clarendon County, South Carolina","45027",23639,4849,8618,6632,2340,1200,16943,3853,6445,4362,1541,742,6130,803,1994,2154,756,423,138,5,68,39,8,18,428,188,111,77,35,17
"Colleton County, South Carolina","45029",26062,4284,9830,7956,2595,1397,18826,3305,7427,5713,1529,852,6734,734,2244,2188,1043,525,83,0,35,38,10,0,419,245,124,17,13,20
"Darlington County, South Carolina","45031",45884,8770,16457,12798,5260,2599,34777,7181,13014,9358,3658,1566,9806,1211,3041,3218,1432,904,286,5,120,93,55,13,1015,373,282,129,115,116
"Dillon County, South Carolina","45033",20376,5547,7372,5504,1404,549,15704,4267,5913,4006,1119,399,3999,832,1268,1468,281,150,49,49,0,0,0,0,624,399,191,30,4,0
"Dorchester County, South Carolina","45035",97867,9930,27417,34728,16517,9275,39271,5438,12949,12567,5252,3065,50157,3094,12189,19517,9944,5413,2226,161,494,993,384,194,6213,1237,1785,1651,937,603
"Edgefield County, South Carolina","45037",18936,3728,6727,4956,2274,1251,8395,1955,3413,1871,774,382,9274,1122,3110,2873,1407,762,235,47,41,73,37,37,1032,604,163,139,56,70
"Fairfield County, South Carolina","45039",16464,2942,6373,4291,1904,954,12961,2490,5360,3309,1249,553,3065,341,927,928,485,384,66,0,11,20,34,1,372,111,75,34,136,16
"Florence County, South Carolina","45041",92344,14083,30674,26903,13383,7301,64346,11642,23216,18127,7638,3723,24084,1658,6762,7942,4776,2946,711,61,132,232,198,88,3203,722,564,602,771,544
"Georgetown County, South Carolina","45043",44375,6206,13073,13509,7191,4396,23587,4202,8620,6784,2524,1457,19040,1506,4141,6291,4447,2655,497,154,28,142,76,97,1251,344,284,292,144,187
"Greenville County, South Carolina","45045",324486,42545,82146,93097,68371,38327,146748,23293,46736,42054,23028,11637,142192,8866,28079,43777,38977,22493,3641,489,572,1093,1069,418,31905,9897,6759,6173,5297,3779
"Greenwood County, South Carolina","45047",46691,8176,13704,13821,7441,3549,31034,5843,9950,9201,4408,1632,13116,1105,3353,4225,2715,1718,378,67,38,156,85,32,2163,1161,363,239,233,167
