"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Alabama","01",38.3,35.7,43.6,38.8,37.1
"Alaska","02",33.1,20.4,44.8,27.3,44.4
"Arizona","04",36.8,18.7,50.4,37.7,42.5
"Arkansas","05",37.8,33.1,45.3,32,36.6
"California","06",35.7,23.4,53.9,37.4,45.1
"Colorado","08",36.4,22.7,46.1,37.5,40.3
"Connecticut","09",40.5,32.1,48.2,42.5,43.8
"Delaware","10",39.1,27.4,49.8,39.1,39.3
"District of Columbia","11",33.8,27.1,35.3,32.5,38.5
"Florida","12",41.5,21,53.7,41.5,47.3
"Georgia","13",35.9,28.1,43.2,34.8,39.9
"Hawaii","15",38.1,32.7,38,34.6,48.2
"Idaho","16",35.7,24.1,45.5,37.3,40.2
"Illinois","17",37.2,32,46.1,41.8,42.8
"Indiana","18",37.3,33.6,45.4,38.9,37.3
"Iowa","19",38,37.5,40.5,32,35.8
"Kansas","20",36,30.8,43.4,36.2,37.5
"Kentucky","21",38.5,36.6,42.9,35.9,35.8
"Louisiana","22",36,34,43.1,33.8,40.2
"Maine","23",44,39.6,49.1,43.3,47.3
"Maryland","24",38.2,27.7,46.1,34.9,42
"Massachusetts","25",39.4,35.3,43.5,40,43.1
"Michigan","26",39.6,35.9,50.7,36.6,43
"Minnesota","27",37.7,34.6,45,33.6,37.2
"Mississippi","28",36.6,34.3,42,34.3,38.5
"Missouri","29",38.1,33.9,46.1,35.8,38.7
"Montana","30",39.6,31.7,47.6,38.3,47
"Nebraska","31",36.3,33.3,42.5,34.1,36.6
"Nevada","32",37.1,13.5,45.8,39.6,43.5
"New Hampshire","33",42.3,28.8,48.7,45,44.8
"New Jersey","34",39.4,28.8,49.3,47.3,43.8
"New Mexico","35",36.9,26.7,48.6,42.7,41.7
"New York","36",38.2,32.3,41.2,49.7,45.4
"North Carolina","37",37.9,33.2,43.3,36.1,37.6
"North Dakota","38",35.5,36.3,34.5,30.3,32
"Ohio","39",39.3,35.7,49.6,38.3,41.7
"Oklahoma","40",36.2,31.1,44.2,36.4,37.1
"Oregon","41",39.1,26,49.6,41.1,40.9
"Pennsylvania","42",40.6,39.6,42.8,41,41.8
"Rhode Island","44",39.9,36.3,43.4,34.5,44.5
"South Carolina","45",38.6,33.4,44.2,38.4,39.5
"South Dakota","46",36.6,33.8,41.2,31.7,34.3
"Tennessee","47",38.5,33.5,45.2,34.8,36.4
"Texas","48",34,26.2,44.4,35.8,41.2
"Utah","49",30.2,23.7,39.7,33.5,37.9
"Vermont","50",42.5,35.7,47.6,37.9,47.6
"Virginia","51",37.6,28.9,44.3,34.5,41
"Washington","53",37.4,26.4,47.2,37.4,40.8
"West Virginia","54",41.7,41.9,41.5,41.9,38
"Wisconsin","55",39,36.6,45,38.1,38.2
"Wyoming","56",36.6,26.6,43.9,39.3,38.4
