"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3225447,498648,1001134,968712,476016,280937,2116215,353113,717248,630145,266848,148861,949038,104420,243612,309172,180553,111281,29954,2065,6961,9899,8073,2956,130240,39050,33313,19496,20542,17839
"Alaska","02",462659,38677,129029,165540,84038,45375,128666,14856,45226,43279,18458,6847,281770,15102,69157,106415,56641,34455,9106,325,2412,3746,1939,684,43117,8394,12234,12100,7000,3389
"Arizona","04",4344737,612204,1079149,1464943,741982,446459,968192,139940,273490,357778,137636,59348,2546495,173158,614180,937386,505679,316092,57462,5749,12487,19561,11445,8220,772588,293357,178992,150218,87222,62799
"Arkansas","05",1960503,305438,691814,559314,262755,141182,1099816,164722,423074,309952,136008,66060,736938,92804,240149,227723,112573,63689,13671,1192,3612,4124,2813,1930,110078,46720,24979,17515,11361,9503
"California","06",25147232,4608007,5228893,7504598,4905468,2900266,9876955,888090,2338238,3781592,1934847,934188,5727785,394024,1047292,1863225,1406176,1017068,327834,37131,61937,105137,79536,44093,9214658,3288762,1781426,1754644,1484909,904917
"Colorado","08",3514235,332384,761103,1092467,837913,490368,1065304,95734,298309,367175,209339,94747,1979059,94831,365034,625086,558165,335943,53750,3389,9650,18292,14101,8318,416122,138430,88110,81914,56308,51360
"Connecticut","09",2465315,254990,673455,619416,508487,408967,1159039,85781,383225,326868,221207,141958,775947,44817,153803,183488,206765,187074,95693,33501,27167,20407,8013,6605,434636,90891,109260,88653,72502,73330
"Delaware","10",629730,73547,196726,172072,108075,79310,229514,28396,89263,62604,32202,17049,321839,27427,92013,95379,61110,45910,11972,2427,3055,3749,1966,775,66405,15297,12395,10340,12797,15576
"District of Columbia","11",453014,44846,84220,74342,102958,146648,126090,18639,44412,33977,17895,11167,240787,13713,25792,28647,67534,105101,8511,797,439,778,2840,3657,77626,11697,13577,10940,14689,26723
"Florida","12",13726996,1807169,4042708,4142944,2409162,1325013,2990423,381711,975173,949978,468140,215421,6868716,582547,1972232,2232095,1312513,769329,509779,87182,139662,160126,82278,40531,3358078,755729,955641,800745,546231,299732
"Georgia","13",6472172,939819,1850063,1849171,1149847,683272,2974975,493687,1053172,834329,386897,206890,2594602,194961,588792,832466,603558,374825,89670,6758,21451,29017,21933,10511,812925,244413,186648,153359,137459,91046
"Hawaii","15",959903,86365,263311,310976,199229,100022,454053,31793,153981,143134,88372,36773,262117,7176,44282,98409,66979,45271,26650,1221,7780,10638,4405,2606,217083,46175,57268,58795,39473,15372
"Idaho","16",1026889,108946,281769,366768,185216,84190,371191,31422,114093,140320,62457,22899,569023,45548,147856,208577,111629,55413,10558,644,1941,5332,1968,673,76117,31332,17879,12539,9162,5205
"Illinois","17",8593665,1045002,2321273,2467288,1698605,1061497,5104187,408387,1531691,1682534,963727,517848,1816986,162346,392961,483444,444497,333738,94610,22760,24866,23153,14462,9369,1577882,451509,371755,278157,275919,200542
"Indiana","18",4312892,536046,1478163,1271464,655276,371943,2719249,298603,1015513,830403,388145,186585,1316222,164423,392906,389825,224604,144464,30779,2747,8776,10768,4490,3998,246642,70273,60968,40468,38037,36896
"Iowa","19",2048270,172313,670345,664103,370188,171321,1411607,97526,509087,474998,241072,88924,514992,39230,134008,167770,110819,63165,10619,1212,2441,3833,2027,1106,111052,34345,24809,17502,16270,18126
"Kansas","20",1872445,186251,498426,606352,374418,206998,973476,68185,298957,336569,187884,81881,730032,56403,169177,234075,164853,105524,14402,850,2639,6113,3010,1790,154535,60813,27653,29595,18671,17803
"Kentucky","21",2953653,469747,979031,837849,392610,274416,1965662,347554,704301,548426,217688,147693,853992,92057,245794,258313,151723,106105,20275,1272,4645,7959,3448,2951,113724,28864,24291,23151,19751,17667
"Louisiana","22",3034973,513636,1019022,818088,453347,230880,2256494,403573,806116,600873,310944,134988,605681,66602,169681,181952,115473,71973,19873,1706,6273,5562,3479,2853,152925,41755,36952,29701,23451,21066
"Maine","23",953962,77761,322855,284158,172498,96690,562434,51734,228309,168174,82938,31279,344986,17717,84023,104359,81549,57338,10371,519,2717,3697,2015,1423,36171,7791,7806,7928,5996,6650
"Maryland","24",4018701,436072,1030851,1047973,814992,688813,1515389,178153,520492,435770,240011,140963,1723287,105961,355006,458393,417303,386624,60502,4080,11552,16158,15597,13115,719523,147878,143801,137652,142081,148111
"Massachusetts","25",4604795,465085,1190870,1093464,1037415,817961,2556428,182392,785436,702065,558735,327800,1023007,46953,148588,205346,312865,309255,126773,36592,35161,28122,14774,12124,898587,199148,221685,157931,151041,168782
"Michigan","26",6645295,702639,1971925,2183344,1089029,698358,4799765,433270,1531195,1680871,743765,410664,1287608,145471,333240,393491,232242,183164,47270,7738,11999,12913,9036,5584,510652,116160,95491,96069,103986,98946
"Minnesota","27",3629333,274705,955079,1182666,813237,403646,2282870,135554,684927,802669,472366,187354,1003641,57176,199989,302654,275104,168718,23719,1088,4855,7987,5851,3938,319103,80887,65308,69356,59916,43636
"Mississippi","28",1931054,340494,591240,605914,248488,144918,1309232,253919,416123,391389,158002,89799,556302,68974,158883,199217,82327,46901,13594,1765,3717,5049,1904,1159,51926,15836,12517,10259,6255,7059
"Missouri","29",4047283,457687,1276285,1222306,685991,405014,2447984,280948,853398,739183,377913,196542,1388181,130740,376731,440677,270069,169964,26211,2362,6380,8456,5384,3629,184907,43637,39776,33990,32625,34879
"Montana","30",689169,50481,200303,238597,135518,64270,325241,24362,100772,113598,63570,22939,341776,24098,93967,117227,67747,38737,6606,19,1542,3057,1198,790,15546,2002,4022,4715,3003,1804
"Nebraska","31",1215208,118513,329595,410308,238160,118632,729209,42709,221500,262022,141595,61383,378344,27426,90494,131405,81549,47470,9988,912,1843,3457,3098,678,97667,47466,15758,13424,11918,9101
"Nevada","32",1872884,277958,532452,640374,282283,139817,180473,16498,58063,68528,26974,10410,1186578,108958,339442,451993,186268,99917,35285,3883,9850,12575,6668,2309,470548,148619,125097,107278,62373,27181
"New Hampshire","33",924568,66888,270826,267409,202495,116950,307658,28411,119428,87394,52302,20123,542765,25282,134078,163575,136256,83574,10949,1069,2809,4276,1461,1334,63196,12126,14511,12164,12476,11919
"New Jersey","34",6086705,699065,1751336,1410435,1374616,851253,2558370,195639,860667,669531,568171,264362,1665349,108295,418401,406804,423393,308456,173829,52134,53636,35384,22878,9797,1689157,342997,418632,298716,360174,268638
"New Mexico","35",1361846,214446,361553,426479,204226,155142,567480,86841,187902,186586,70247,35904,600226,45573,133569,207048,112319,101717,19009,1543,3150,6400,4712,3204,175131,80489,36932,26445,16948,14317
"New York","36",13419310,1933631,3594712,3317089,2589891,1983987,7410524,638193,2179340,2137445,1389635,1065911,1790097,139395,334622,387641,505251,423188,373265,126673,102667,69731,40419,33775,3845424,1029370,978083,722272,654586,461113
"North Carolina","37",6568110,938603,1743595,2020923,1211484,653505,3315373,532461,1042290,1055661,493435,191526,2559275,185530,560470,833460,605694,374121,79647,7338,17605,25509,20115,9080,613815,213274,123230,106293,92240,78778
