"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Alabama","01",3910998,595647,3315351,777386,408152,586355,428599,440546,273831,107305,293177,2609405,402886,2206519,546017,287084,396935,292161,292140,174464,64815,152903,1111071,151917,959154,199109,105342,153494,119287,131380,89302,37777,123463,36622,5339,31283,8119,2272,4626,3401,3802,3642,1715,3706,153900,35505,118395,24141,13454,31300,13750,13224,6423,2998,13105
"Alaska","02",576379,27622,548757,115406,44864,76476,56679,76066,59928,26902,92436,195371,8863,186508,64185,17177,25320,18908,20733,14994,5859,19332,319737,13397,306340,42721,22955,38243,31416,46521,38881,18700,66903,12017,648,11369,2050,862,2031,1348,1840,1250,384,1604,49254,4714,44540,6450,3870,10882,5007,6972,4803,1959,4597
"Arizona","04",5281089,880089,4401000,906167,483770,778331,576282,615114,387816,151350,502170,1495422,364836,1130586,317428,123661,185306,146391,156113,88483,30247,82957,2856432,307637,2548795,438972,261705,434510,326506,376842,252633,103876,353751,70654,10936,59718,13397,4669,8814,7598,8250,5954,2524,8512,858581,196680,661901,136370,93735,149701,95787,73909,40746,14703,56950
"Arkansas","05",2363879,330439,2033440,465198,268171,400410,276027,263529,157532,55042,147531,1362806,200035,1162771,280237,160330,225886,159185,149303,85437,28233,74160,856603,101213,755390,164598,92917,141743,99193,103090,65194,23389,65266,17248,2427,14821,3070,1305,2291,1327,2405,2102,638,1683,127222,26764,100458,17293,13619,30490,16322,8731,4799,2782,6422
"California","06",30732852,5472613,25260239,5087900,2913157,4126935,2822815,3009994,2188604,976447,4134387,14154321,3038287,11116034,2578826,1217188,1634172,1210757,1350969,1007465,456876,1659781,6175357,536679,5638678,777806,565677,801093,600649,700066,563126,270426,1359835,401618,70557,331061,63901,32621,43785,36125,40064,32576,15614,66375,10001556,1827090,8174466,1667367,1097671,1647885,975284,918895,585437,233531,1048396
"Colorado","08",4224677,477531,3747146,728684,336809,573627,475250,550373,363449,157546,561408,1457782,208967,1248815,307092,122140,194290,152041,184087,117600,43979,127586,2231322,181095,2050227,328082,165040,294597,256829,308760,217011,99030,380878,63428,7447,55981,9941,4735,8010,6978,8714,4744,2180,10679,472145,80022,392123,83569,44894,76730,59402,48812,24094,12357,42265
"Connecticut","09",2955331,354110,2601221,468586,225268,396266,286131,341542,268378,122988,492062,1470633,180161,1290472,242968,110928,194126,143653,181378,143241,66461,207717,892745,89575,803170,131780,59777,104380,78212,93842,82433,40987,211759,112914,16788,96126,28158,11919,18608,10635,11798,5932,1961,7115,479039,67586,411453,65680,42644,79152,53631,54524,36772,13579,65471
"Delaware","10",754812,87353,667459,130238,66593,101848,87210,96469,72330,25663,87108,300145,41796,258349,57376,25314,39354,38548,37278,25531,9081,25867,365861,32524,333337,58803,33605,47967,38061,51044,39381,13601,50875,13904,982,12922,3321,886,1824,1851,1419,1949,674,998,74902,12051,62851,10738,6788,12703,8750,6728,5469,2307,9368
"District of Columbia","11",550110,64995,485115,102135,33161,49525,38801,57363,51383,24571,128176,162918,30400,132518,44448,11962,16525,11701,16993,11460,4171,15258,288427,21098,267329,43595,14770,19287,17434,30113,33532,17040,91558,10177,1388,8789,892,651,890,695,1001,1176,413,3071,88588,12109,76479,13200,5778,12823,8971,9256,5215,2947,18289
"Florida","12",16226496,2552666,13673830,2837619,1658163,2584434,1876135,1827758,1084343,422997,1382381,4440483,1036995,3403488,894982,406962,611423,466715,444873,243843,89452,245238,7520817,778207,6742610,1145830,764629,1217913,928876,975816,606990,248184,854372,596234,95111,501123,120805,70799,88537,69937,64121,36484,13588,36852,3668962,642353,3026609,676002,415773,666561,410607,342948,197026,71773,245919
"Georgia","13",7916383,1382313,6534070,1412329,723298,1133124,844359,884247,570027,219912,746774,3838760,736166,3102594,787294,384070,549103,410004,405925,246497,87069,232632,3044127,426378,2617749,476654,246244,383879,321567,384326,273038,109440,422601,111949,20623,91326,21513,6621,11656,13031,12423,10170,3353,12559,921547,199146,722401,126868,86363,188486,99757,81573,40322,20050,78982
"Hawaii","15",1145298,148416,996882,179958,88964,161978,130627,148058,106434,44263,136600,562088,77824,484264,91454,41454,78713,61972,75185,56330,19346,59810,314618,30796,283822,42864,23552,42097,33837,40635,31397,16256,53184,32388,5048,27340,5182,2585,4102,3168,3969,2465,1102,4767,236204,34748,201456,40458,21373,37066,31650,28269,16242,7559,18839
"Idaho","16",1255359,166785,1088574,252723,121590,197630,157703,151464,82372,29787,95305,492747,71381,421366,108435,45417,74227,60217,58579,31737,11402,31352,660854,76366,584488,124169,69016,104032,82023,83680,46386,17025,58157,13265,1526,11739,2536,1393,1469,1467,1778,933,362,1801,88493,17512,70981,17583,5764,17902,13996,7427,3316,998,3995
