"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dorchester School District 4, South Carolina","4500002",11642,3081,4537,2960,699,365,8690,2435,3424,2195,391,245,2800,605,1056,746,273,120,40,5,3,0,32,0,112,36,54,19,3,0
"Marion School District 7, South Carolina","4500012",4015,905,2011,697,290,112,3343,764,1685,561,221,112,489,47,275,136,31,0,0,0,0,0,0,0,183,94,51,0,38,0
"Abbeville County School District, South Carolina","4500690",16473,3773,5565,4557,1684,894,12082,2958,4262,3174,1176,512,3995,762,1136,1307,481,309,99,9,25,45,20,0,297,44,142,31,7,73
"Aiken County School District, South Carolina","4500720",108459,18020,34590,30524,16066,9259,45973,10245,17497,11757,4285,2189,56918,5879,16200,17597,10791,6451,1276,152,279,580,192,73,4292,1744,614,590,798,546
"Allendale County School District, South Carolina","4500750",7176,1920,2811,1499,675,271,5578,1557,2251,1005,607,158,1446,313,470,485,68,110,33,24,0,9,0,0,119,26,90,0,0,3
"Anderson School District 1, South Carolina","4500780",31884,5509,11597,9123,3827,1828,19990,3807,7891,5438,1948,906,10830,1525,3380,3322,1761,842,246,11,79,96,48,12,818,166,247,267,70,68
"Anderson School District 2, South Carolina","4500810",15709,3395,5655,4725,1287,647,11685,2828,4326,3376,827,328,3648,441,1249,1238,430,290,110,40,14,26,30,0,266,86,66,85,0,29
"Anderson School District 3, South Carolina","4500840",10037,2882,3708,2650,537,260,7215,2221,2658,1899,327,110,2624,620,966,715,193,130,54,0,43,11,0,0,144,41,41,25,17,20
"Anderson School District 4, South Carolina","4500870",14269,2131,4105,4596,2090,1347,7940,1504,2262,2687,1057,430,5862,566,1751,1765,989,791,148,10,22,56,6,54,319,51,70,88,38,72
"Anderson School District 5, South Carolina","4500900",52301,10139,16487,15209,7028,3438,32232,7272,10839,9049,3500,1572,17347,2182,4900,5433,3159,1673,357,39,90,155,56,17,2365,646,658,572,313,176
"Bamberg School District 1, South Carolina","4500930",5548,1252,1853,1443,693,307,4636,1118,1564,1080,580,294,819,123,269,338,76,13,11,0,11,0,0,0,82,11,9,25,37,0
"Bamberg School District 2, South Carolina","4500960",4758,1179,1443,1347,535,254,3905,1105,1104,1094,425,177,796,54,302,253,110,77,0,0,0,0,0,0,57,20,37,0,0,0
"Barnwell School District 19, South Carolina","4501020",3746,761,1830,784,222,149,2948,583,1606,528,159,72,738,126,216,256,63,77,0,0,0,0,0,0,60,52,8,0,0,0
"Barnwell School District 29, South Carolina","4501050",3437,871,1236,1006,179,145,2572,582,896,830,141,123,865,289,340,176,38,22,0,0,0,0,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",7795,1635,3172,1965,725,298,5530,1418,2342,1118,454,198,2123,146,830,776,271,100,71,0,0,71,0,0,71,71,0,0,0,0
"Beaufort County School District, South Carolina","4501110",105364,9931,25547,30341,24566,14979,20751,3748,7325,5350,2673,1655,71958,3173,14513,21852,20099,12321,1415,52,392,507,355,109,11240,2958,3317,2632,1439,894
"Berkeley County School District, South Carolina","4501170",108359,14795,39231,34501,13892,5940,48293,8074,19840,13978,4377,2024,50504,4297,16781,18060,8028,3338,1855,177,608,674,255,141,7707,2247,2002,1789,1232,437
"Calhoun County School District, South Carolina","4501250",10575,1945,3776,2712,1451,691,7965,1546,3152,1801,1097,369,2423,336,624,886,270,307,7,0,0,7,0,0,180,63,0,18,84,15
"Charleston County School District, South Carolina","4501440",227578,28643,53477,60072,54818,30568,105115,19166,31005,26917,18773,9254,104851,5708,18542,29190,32790,18621,2748,137,459,965,669,518,14864,3632,3471,3000,2586,2175
"Cherokee County School District, South Carolina","4501500",34913,9003,14016,7882,2879,1133,23792,6105,10355,4886,1755,691,9663,2261,3372,2714,914,402,233,72,43,98,20,0,1225,565,246,184,190,40
"Chester County School District, South Carolina","4501530",22223,5719,8427,5583,1833,661,16143,4425,6654,3644,1095,325,5617,1238,1686,1815,679,199,90,0,15,41,12,22,373,56,72,83,47,115
"Chesterfield County School District, South Carolina","4501560",30541,8134,12031,6986,2238,1152,20330,5801,8101,4542,1329,557,9199,1902,3634,2290,854,519,65,0,17,48,0,0,947,431,279,106,55,76
"Clarendon School District 1, South Carolina","4501740",6907,1944,2926,1225,569,243,4956,1663,2045,811,340,97,1872,249,834,414,229,146,11,0,11,0,0,0,68,32,36,0,0,0
"Clarendon School District 2, South Carolina","4501770",12576,2853,4917,3027,1199,580,8457,2270,3203,1832,777,375,3730,443,1575,1150,370,192,54,0,0,21,33,0,335,140,139,24,19,13
"Clarendon School District 3, South Carolina","4501800",3592,884,1566,693,348,101,3178,777,1458,567,295,81,362,83,93,113,53,20,8,8,0,0,0,0,44,16,15,13,0,0
"Colleton County School District, South Carolina","4501830",25798,6367,10078,5835,2439,1079,17819,4456,7101,3995,1662,605,7246,1471,2782,1776,759,458,89,18,53,8,10,0,644,422,142,56,8,16
"Darlington County School District, South Carolina","4501860",45670,10557,17038,10800,4857,2418,36665,8943,14489,8148,3544,1541,8004,1351,2243,2502,1214,694,126,39,60,27,0,0,875,224,246,123,99,183
"Dillon School District 1, South Carolina","4501890",3312,1024,1382,638,229,39,2666,831,1124,516,165,30,614,171,258,112,64,9,10,0,0,10,0,0,22,22,0,0,0,0
"Dillon School District 2, South Carolina","4501920",11899,4072,4510,2203,752,362,9392,3338,3631,1701,516,206,2107,551,662,502,236,156,12,12,0,0,0,0,388,171,217,0,0,0
"Dillon School District 3, South Carolina","4501950",4960,1802,1643,1048,270,197,4099,1493,1373,884,188,161,828,285,270,164,76,33,0,0,0,0,0,0,33,24,0,0,6,3
"Dorchester School District 2, South Carolina","4502010",71780,6168,20909,25657,12772,6274,25601,3111,8050,8735,3939,1766,40945,2310,11251,15502,8004,3878,1111,65,317,468,99,162,4123,682,1291,952,730,468
"Edgefield County School District, South Carolina","4502070",18628,4047,6807,4734,2091,949,8610,2250,3589,1820,771,180,8910,1286,2924,2789,1284,627,134,9,67,32,0,26,974,502,227,93,36,116
"Fairfield County School District, South Carolina","4502100",16337,3514,6382,3846,1750,845,13035,3222,5140,2845,1229,599,3142,255,1232,941,468,246,50,0,0,34,16,0,110,37,10,26,37,0
"Florence School District 1, South Carolina","4502130",62865,9821,20014,17340,9929,5761,41536,7916,13945,11230,5495,2950,18731,1495,5467,5668,3770,2331,405,18,135,109,124,19,2193,392,467,333,540,461
"Florence School District 2, South Carolina","4502160",4661,1219,2007,947,345,143,3925,1073,1588,863,273,128,585,52,362,84,72,15,2,0,2,0,0,0,149,94,55,0,0,0
"Florence School District 3, South Carolina","4502190",12869,3906,4750,2813,949,451,11005,3322,4245,2443,715,280,1640,464,502,370,201,103,27,13,0,0,0,14,197,107,3,0,33,54
"Florence School District 4, South Carolina","4502220",4665,1354,2106,814,255,136,3650,886,1727,713,210,114,679,206,340,89,22,22,24,0,0,6,18,0,312,262,39,6,5,0
"Florence School District 5, South Carolina","4502250",3527,722,1389,987,209,220,3066,692,1238,792,142,202,444,27,144,188,67,18,3,0,0,3,0,0,14,3,7,4,0,0
"Georgetown County School District, South Carolina","4502280",42620,7083,13867,12376,5833,3461,23882,5261,8857,6586,2013,1165,17269,1231,4726,5505,3632,2175,187,27,39,57,51,13,1282,564,245,228,137,108
"Greenville County School District, South Carolina","4502310",299286,48473,82514,80143,59062,29094,141006,28694,46480,36275,20675,8882,127000,9888,29087,37918,33147,16960,3265,254,769,1014,993,235,28015,9637,6178,4936,4247,3017
"Greenwood School District 50, South Carolina","4502340",37600,7696,11600,9720,5753,2831,25151,5202,8224,6744,3515,1466,10143,1529,2909,2669,1905,1131,250,0,61,105,35,49,2056,965,406,202,298,185
