"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 4, South Carolina","4500002",16532,975,2518,1397,1956,2392,2773,1063,399,614,1609,836,12657,810,1969,1188,1518,1697,1941,786,282,510,1210,746,3713,165,539,209,411,651,770,263,117,104,394,90,40,0,0,0,0,0,26,14,0,0,0,0,122,0,10,0,27,44,36,0,0,0,5,0
"Marion School District 7, South Carolina","4500012",6007,325,1014,653,762,635,870,375,198,276,565,334,4694,298,634,419,591,450,731,324,175,260,496,316,921,27,380,25,39,170,110,51,23,9,69,18,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,209,132,15,29,0,0,7,0,0
"Abbeville County School District, South Carolina","4500690",24451,1502,4242,2234,2530,3072,3454,1932,679,800,2228,1778,18976,1450,3712,1732,1944,1974,2525,1364,463,652,1799,1361,5007,52,476,484,468,975,894,510,209,136,395,408,99,0,0,0,20,29,33,0,7,0,10,0,369,0,54,18,98,94,2,58,0,12,24,9
"Aiken County School District, South Carolina","4500720",159958,9895,27465,14139,19429,20293,24574,10896,4056,5464,13299,10448,68956,5009,12517,5457,8021,8541,10804,4562,1697,2346,5353,4649,83558,4828,14038,7774,9820,10372,12557,6118,2194,2952,7396,5509,1752,27,278,171,289,373,379,70,0,56,55,54,5692,31,632,737,1299,1007,834,146,165,110,495,236
"Allendale County School District, South Carolina","4500750",10688,648,1821,1043,1431,1516,1494,699,385,274,724,653,8644,551,1567,948,961,1202,1093,628,316,229,597,552,1892,97,254,95,345,305,383,71,69,45,127,101,33,0,0,0,24,9,0,0,0,0,0,0,119,0,0,0,101,0,18,0,0,0,0,0
"Anderson School District 1, South Carolina","4500780",48759,3158,9745,3972,5289,7629,7073,3320,1348,1498,3595,2132,34091,2992,7983,3126,3691,4743,3914,2128,936,844,2231,1503,13204,166,1668,540,1360,2627,2890,1079,370,557,1339,608,370,0,18,106,19,33,146,33,0,15,0,0,1094,0,76,200,219,226,123,80,42,82,25,21
"Anderson School District 2, South Carolina","4500810",22764,1379,4127,1549,2435,2907,3111,1636,810,1037,2115,1658,17625,1153,3583,1204,1729,2020,2153,1260,658,829,1673,1363,4611,156,518,289,636,777,889,356,152,208,361,269,127,0,0,17,9,33,54,14,0,0,0,0,401,70,26,39,61,77,15,6,0,0,81,26
"Anderson School District 3, South Carolina","4500840",14874,1226,2536,1075,1668,2033,2089,1131,342,569,1372,833,11406,1177,2176,838,1346,1432,1354,750,251,450,928,704,3261,49,351,237,276,520,664,381,91,119,444,129,54,0,0,0,11,0,43,0,0,0,0,0,153,0,9,0,35,81,28,0,0,0,0,0
"Anderson School District 4, South Carolina","4500870",20227,1007,3679,1272,2048,2957,3131,1609,575,801,1947,1201,12431,948,2712,831,1152,1652,1763,863,311,429,1100,670,7320,59,958,441,840,1215,1274,634,264,365,787,483,148,0,0,0,32,21,6,89,0,0,0,0,328,0,9,0,24,69,88,23,0,7,60,48
"Anderson School District 5, South Carolina","4500900",77421,5073,12647,7400,10162,9815,11607,4423,1675,2487,6141,5991,51747,4557,10122,4836,6216,5945,6908,2942,1115,1483,3816,3807,22110,446,2194,2123,3030,3098,4075,1387,488,925,2251,2093,454,0,79,18,59,72,141,50,16,4,0,15,3110,70,252,423,857,700,483,44,56,75,74,76
