"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Orangeburg School District 3, South Carolina","4503150",16334,2481,13853,5001,1659,2700,1955,1020,789,282,447,12787,1980,10807,4059,1324,2114,1563,654,601,212,280,3306,483,2823,880,325,521,364,318,181,67,167,43,0,43,26,2,0,12,0,0,3,0,198,18,180,36,8,65,16,48,7,0,0
"Orangeburg School District 4, South Carolina","4503180",16143,2758,13385,3388,1577,2711,2016,1787,949,320,637,12670,2223,10447,2863,1223,1958,1686,1319,702,242,454,3156,411,2745,523,296,667,318,437,247,78,179,26,0,26,0,0,14,12,0,0,0,0,291,124,167,2,58,72,0,31,0,0,4
"Orangeburg School District 5, South Carolina","4503210",42103,6830,35273,11849,4061,5934,4723,3846,2445,791,1624,31728,4969,26759,9199,3110,4565,3542,2918,1772,617,1036,8937,1558,7379,2287,873,1167,1068,811,568,174,431,265,15,250,82,16,14,61,9,59,0,9,1173,288,885,281,62,188,52,108,46,0,148
"Pickens County School District, South Carolina","4503330",97766,11243,86523,26411,10128,15419,10706,10557,6022,2303,4977,57203,6913,50290,15919,6230,8948,6616,5950,3187,1293,2147,35565,3324,32241,9575,3401,5328,3576,4244,2627,917,2573,678,148,530,113,69,152,118,25,23,10,20,4320,858,3462,804,428,991,396,338,185,83,237
"Richland School District 1, South Carolina","4503360",169470,21700,147770,41747,16155,25234,21008,19152,9812,3707,10955,105428,15029,90399,26701,10548,16310,13290,11381,5411,1691,5067,53790,5222,48568,12879,4431,7122,6611,6837,3930,1615,5143,2517,288,2229,549,234,439,239,294,165,156,153,7735,1161,6574,1618,942,1363,868,640,306,245,592
"Richland School District 2, South Carolina","4503390",89295,8487,80808,14328,5958,12053,11888,13368,8913,3238,11062,39745,4034,35711,6801,2743,5760,5648,5821,3577,1380,3981,39167,3185,35982,5687,2203,4417,5330,6218,4551,1532,6044,2454,287,2167,545,112,332,210,455,256,63,194,7929,981,6948,1295,900,1544,700,874,529,263,843
"Saluda County School District, South Carolina","4503460",11180,1243,9937,2474,1260,2129,1617,991,779,153,534,8164,1051,7113,1833,830,1364,1149,813,616,113,395,1593,84,1509,417,193,340,179,99,122,40,119,67,0,67,0,0,67,0,0,0,0,0,1356,108,1248,224,237,358,289,79,41,0,20
"Spartanburg School District 1, South Carolina","4503480",24244,3076,21168,4777,2461,4045,3131,3203,1667,602,1282,14374,2076,12298,2659,1726,2524,1840,1933,766,262,588,8700,842,7858,1717,588,1398,1105,1201,842,327,680,188,53,135,18,23,34,11,35,14,0,0,982,105,877,383,124,89,175,34,45,13,14
"Spartanburg School District 2, South Carolina","4503510",42698,4991,37707,7901,4118,7125,5666,6005,3179,1115,2598,25839,3137,22702,4992,2518,4356,3581,3487,1870,687,1211,13158,1085,12073,2322,1307,2043,1482,2144,1186,388,1201,161,19,142,33,0,9,30,14,31,0,25,3540,750,2790,554,293,717,573,360,92,40,161
"Spartanburg School District 3, South Carolina","4503540",14008,1622,12386,3132,2118,2206,1760,1577,924,206,463,10177,1226,8951,2516,1465,1595,1089,1139,661,171,315,3289,329,2960,587,633,521,423,398,224,35,139,38,0,38,0,0,0,0,13,25,0,0,504,67,437,29,20,90,248,27,14,0,9
"Spartanburg School District 4, South Carolina","4503570",14160,2565,11595,2897,1466,2545,1655,1634,728,189,481,10489,2045,8444,2144,1170,1950,1042,1188,562,110,278,3266,485,2781,641,257,468,560,433,154,79,189,41,0,41,0,19,9,0,13,0,0,0,364,35,329,112,20,118,53,0,12,0,14
"Spartanburg School District 5, South Carolina","4503600",31105,3958,27147,5502,3027,4513,4247,4129,2458,948,2323,18512,2434,16078,3478,1960,2829,2574,2475,1389,530,843,10153,1202,8951,1510,884,1109,1406,1477,944,403,1218,374,4,370,164,11,66,22,42,24,0,41,2066,318,1748,350,172,509,245,135,101,15,221
"Spartanburg School District 6, South Carolina","4503630",46049,6185,39864,9211,4460,6816,6281,5070,3372,1359,3295,27284,3586,23698,5845,2775,4247,3614,3200,1945,713,1359,13959,1706,12253,2647,1221,1740,1722,1552,1173,606,1592,370,33,337,106,22,64,75,39,31,0,0,4436,860,3576,613,442,765,870,279,223,40,344
"Spartanburg School District 7, South Carolina","4503660",43941,5067,38874,11703,4924,6867,4913,4468,2501,657,2841,29159,3496,25663,8094,3511,4749,3175,2970,1513,433,1218,12787,1348,11439,3184,1259,1639,1348,1398,905,212,1494,251,0,251,147,31,10,24,18,0,0,21,1744,223,1521,278,123,469,366,82,83,12,108
"Sumter School District 17, South Carolina","4503690",41193,6887,34306,8174,4540,6512,4915,4640,2494,828,2203,25478,4770,20708,5555,3303,3904,2992,2703,1036,341,874,13186,1477,11709,2098,1062,2098,1707,1636,1401,442,1265,704,182,522,139,76,116,43,51,57,0,40,1825,458,1367,382,99,394,173,250,0,45,24
"Sumter School District 2, South Carolina","4503720",42620,6899,35721,9083,4173,7239,5183,5204,2292,994,1553,25979,4459,21520,6337,2970,4366,2944,2808,998,607,490,14240,1934,12306,2421,961,2346,1986,2154,1177,369,892,861,129,732,60,113,218,57,129,54,0,101,1540,377,1163,265,129,309,196,113,63,18,70
"Union County School District, South Carolina","4503750",23647,2844,20803,5623,3071,4012,2895,2684,1434,361,723,19666,2212,17454,4924,2597,3315,2473,2236,1076,316,517,3720,576,3144,665,443,602,414,421,350,45,204,124,44,80,17,20,35,8,0,0,0,0,137,12,125,17,11,60,0,27,8,0,2
"Williamsburg County School District, South Carolina","4503780",27985,5972,22013,7535,3583,4445,2161,2428,998,317,546,23041,4442,18599,6105,3089,3651,1896,2178,900,300,480,4542,1355,3187,1294,480,791,224,250,98,17,33,98,16,82,49,0,0,0,0,0,0,33,304,159,145,87,14,3,41,0,0,0,0
"York School District 1, South Carolina","4503810",24160,3612,20548,4462,2510,4196,3198,2752,1762,466,1202,12209,1775,10434,2304,1381,2292,1496,1314,892,176,579,10747,1595,9152,1932,1026,1664,1602,1316,807,239,566,114,25,89,10,11,50,0,10,0,8,0,1090,217,873,216,92,190,100,112,63,43,57
"York School District 2, South Carolina","4503840",25321,2610,22711,4673,1975,3610,3136,3518,2167,645,2987,6985,642,6343,1570,603,1253,982,903,378,155,499,17216,1654,15562,2955,1293,2242,2045,2558,1622,475,2372,467,163,304,87,17,41,45,12,88,0,14,653,151,502,61,62,74,64,45,79,15,102
"York School District 3, South Carolina","4503870",85402,9107,76295,17469,8270,12805,11571,11354,6624,2395,5807,44990,5404,39586,9665,4837,7205,5951,5790,3100,1044,1994,35673,3093,32580,6930,2993,4387,5209,5103,3144,1163,3651,489,1,488,49,65,79,74,92,120,9,0,4250,609,3641,825,375,1134,337,369,260,179,162
"York School District 4, South Carolina","4503900",34127,3654,30473,4604,1888,4375,3635,4885,3641,1513,5932,6531,672,5859,994,584,745,710,1032,760,296,738,24736,2619,22117,3299,1059,3101,2647,3527,2633,1091,4760,605,106,499,36,40,53,64,88,28,62,128,2255,257,1998,275,205,476,214,238,220,64,306
"School District Not Defined, South Carolina","4599997",26,17,9,0,0,0,0,0,9,0,0,26,17,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Remainder of South Carolina, South Carolina","4599999",14541,455,14086,4943,1948,3626,1558,1083,325,149,454,962,156,806,215,105,154,49,18,60,32,173,11657,221,11436,4074,1463,3170,1276,881,229,96,247,745,17,728,291,124,125,109,43,36,0,0,1177,61,1116,363,256,177,124,141,0,21,34
