"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Wayne County School District, Georgia","1305550",27469,5863,3379,18227,19981,3989,2391,13601,6510,1525,916,4069,263,40,27,196,715,309,45,361
"Whitfield County School District, Georgia","1305700",69649,11800,10231,47618,41942,7189,6833,27920,17557,2349,1853,13355,452,66,69,317,9698,2196,1476,6026
"Webster County School District, Georgia","1305580",2613,509,302,1802,2263,457,272,1534,311,42,30,239,19,4,0,15,20,6,0,14
"Wheeler County School District, Georgia","1305640",6085,1780,1121,3184,5559,1662,1000,2897,508,118,108,282,0,0,0,0,18,0,13,5
"White County School District, Georgia","1305670",28078,4981,2305,20792,18583,3630,1580,13373,8582,1028,575,6979,205,170,0,35,708,153,150,405
"Wilcox County School District, Georgia","1305730",6825,1491,875,4459,5624,1144,740,3740,1106,302,131,673,0,0,0,0,95,45,4,46
"Wilkes County School District, Georgia","1305760",9779,2595,1268,5916,7844,2147,1023,4674,1462,265,144,1053,58,0,0,58,415,183,101,131
"Wilkinson County School District, Georgia","1305790",9046,2112,923,6011,7926,1918,865,5143,942,159,53,730,53,15,0,38,125,20,5,100
"Worth County School District, Georgia","1305850",20652,4447,2298,13907,17170,3921,2046,11203,3083,492,220,2371,139,26,0,113,260,8,32,220
"Remainder of Georgia, Georgia","1399999",12337,992,1932,9413,1667,120,385,1162,9012,791,1157,7064,874,60,258,556,784,21,132,631
"Troup County School District, Georgia","1300001",67637,14430,6397,46810,46368,10846,4953,30569,17992,2940,1263,13789,555,29,20,506,2722,615,161,1946
"Grady County School District, Georgia","1302460",24773,6284,3026,15463,16808,4287,2139,10382,6342,1357,686,4299,170,96,0,74,1453,544,201,708
"Greene County School District, Georgia","1302490",16579,3623,2160,10796,10963,2962,1705,6296,4713,376,391,3946,101,10,0,91,802,275,64,463
"Spalding County School District, Georgia","1302520",62957,13624,8549,40784,46728,10576,6869,29283,13779,2620,1562,9597,382,80,11,291,2068,348,107,1613
"Gwinnett County School District, Georgia","1302550",870218,104840,84754,680624,314413,41358,31016,242039,321516,28933,23145,269438,15119,1643,1639,11837,219170,32906,28954,157310
"Habersham County School District, Georgia","1302580",41274,7114,4567,29593,27288,4722,3203,19363,9692,1144,908,7640,298,93,4,201,3996,1155,452,2389
"Hall County School District, Georgia","1302610",153052,20804,15147,117101,85382,12224,8556,64602,43292,4229,2436,36627,1918,275,229,1414,22460,4076,3926,14458
"Hancock County School District, Georgia","1302640",6021,1804,934,3283,5053,1696,795,2562,863,93,103,667,44,9,0,35,61,6,36,19
"Haralson County School District, Georgia","1302670",22067,4204,2604,15259,16648,3303,1882,11463,5050,873,684,3493,68,26,11,31,301,2,27,272
"Henry County School District, Georgia","1302820",215768,24638,19485,171645,116057,12901,10096,93060,78753,8894,6988,62871,4310,623,387,3300,16648,2220,2014,12414
"Harris County School District, Georgia","1302700",32667,2382,2045,28240,19926,1740,1487,16699,11292,559,479,10254,740,0,79,661,709,83,0,626
"Hart County School District, Georgia","1302730",24642,4642,3881,16119,15472,3234,2343,9895,8434,1292,1404,5738,102,0,10,92,634,116,124,394
"Heard County School District, Georgia","1302790",11330,1975,1600,7755,8721,1540,1365,5816,2454,395,233,1826,46,8,0,38,109,32,2,75
"Houston County School District, Georgia","1302880",148253,24745,14905,108603,82386,16342,9932,56112,53649,6325,3278,44046,3794,459,451,2884,8424,1619,1244,5561
"Irwin County School District, Georgia","1302910",8989,2204,1494,5291,7762,2016,1311,4435,1147,174,176,797,18,14,4,0,62,0,3,59
"Jackson County School District, Georgia","1302940",46567,5376,3940,37251,31875,4020,2684,25171,12062,924,864,10274,295,11,8,276,2335,421,384,1530
"Jefferson County School District, Georgia","1303060",15464,4162,2166,9136,13452,3796,1808,7848,1556,232,189,1135,91,5,0,86,365,129,169,67
"Jasper County School District, Georgia","1302970",13511,2623,2499,8389,10431,1989,1954,6488,2665,459,545,1661,6,0,0,6,409,175,0,234
"Jeff Davis County School District, Georgia","1303000",14925,3079,2557,9289,11684,2362,1693,7629,2451,364,701,1386,94,43,18,33,696,310,145,241
"Jefferson City School District, Georgia","1303030",10259,1211,782,8266,6792,906,449,5437,2749,256,200,2293,175,17,0,158,543,32,133,378
"Jenkins County School District, Georgia","1303090",8852,2720,1429,4703,7386,2298,1239,3849,1088,241,140,707,11,0,0,11,367,181,50,136
"Johnson County School District, Georgia","1303120",9488,2037,992,6459,7701,1616,867,5218,1690,383,107,1200,43,25,8,10,54,13,10,31
"Jones County School District, Georgia","1303150",28238,4001,2949,21288,22883,3460,2393,17030,5006,520,537,3949,86,6,11,69,263,15,8,240
"Lamar County School District, Georgia","1303210",16987,3525,1767,11695,13739,3091,1654,8994,2641,278,113,2250,135,57,0,78,472,99,0,373
"Lanier County School District, Georgia","1303240",10017,2875,894,6248,6181,1900,595,3686,3389,806,189,2394,287,75,92,120,160,94,18,48
"Lee County School District, Georgia","1303270",28191,3281,1980,22930,19021,2354,1634,15033,7865,765,255,6845,321,0,12,309,984,162,79,743
"Liberty County School District, Georgia","1303300",51663,8754,6414,36495,21465,4833,2549,14083,23899,2922,2882,18095,3078,575,662,1841,3221,424,321,2476
"Lincoln County School District, Georgia","1303330",7701,1773,686,5242,5638,1373,459,3806,1879,398,209,1272,96,0,0,96,88,2,18,68
"Long County School District, Georgia","1303360",17659,3530,2151,11978,8414,1867,1418,5129,7517,1417,547,5553,505,75,27,403,1223,171,159,893
"Lowndes County School District, Georgia","1303390",55931,10047,4666,41218,32136,6079,2815,23242,19815,3314,1381,15120,1176,140,105,931,2804,514,365,1925
"Lumpkin County School District, Georgia","1303420",30161,6052,3767,20342,18345,4305,2472,11568,10587,1576,1049,7962,119,39,0,80,1110,132,246,732
"Macon County School District, Georgia","1303450",11771,3364,1687,6720,9563,2831,1568,5164,1791,298,119,1374,59,48,0,11,358,187,0,171
"Madison County School District, Georgia","1303480",28306,4977,4528,18801,21643,3750,3650,14243,5296,744,513,4039,233,2,32,199,1134,481,333,320
"McIntosh County School District, Georgia","1303600",13969,2829,1462,9678,9743,1991,1000,6752,3780,704,401,2675,208,98,25,85,238,36,36,166
