"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Decatur City School District, Georgia","1301680",22022,2173,4615,1737,2294,3669,2871,1132,402,532,1398,1199,9619,1762,3345,745,623,825,645,339,91,156,545,543,9883,374,833,655,1192,2257,1877,727,264,335,761,608,380,37,162,34,57,28,25,0,20,17,0,0,2140,0,275,303,422,559,324,66,27,24,92,48
"Decatur County School District, Georgia","1301710",27023,1814,4868,2478,3421,3237,3616,1758,804,814,2400,1813,19804,1655,4380,1746,2280,2149,2593,1200,599,558,1474,1170,6343,159,488,702,823,837,873,511,199,234,885,632,139,0,0,10,53,22,34,8,6,0,6,0,737,0,0,20,265,229,116,39,0,22,35,11
"Dougherty School District, Georgia","1301830",91522,6372,16227,10757,12406,10672,10788,5303,2459,3568,7575,5395,71506,5961,14723,8329,9409,7974,7697,3607,1726,2590,5589,3901,17200,376,1290,2066,2387,2155,2717,1423,694,848,1839,1405,487,0,52,62,64,57,139,58,0,0,41,14,2329,35,162,300,546,486,235,215,39,130,106,75
"DeKalb County School District, Georgia","1301740",682122,48427,111361,62453,113927,98114,92870,42213,16340,20705,47378,28334,310943,42459,81320,29984,43265,29036,28008,13589,6246,7834,18802,10400,245072,3993,19496,20894,43019,41238,43396,21302,7600,9412,21333,13389,9736,309,1321,1564,2042,1637,1481,424,171,151,268,368,116371,1666,9224,10011,25601,26203,19985,6898,2323,3308,6975,4177
"Dodge County School District, Georgia","1301770",21063,1111,3200,1878,2748,2870,3005,1525,585,716,2001,1424,17912,1090,2967,1629,2136,2257,2573,1266,422,564,1752,1256,2722,21,206,230,511,444,406,224,124,152,242,162,101,0,22,6,39,15,12,7,0,0,0,0,328,0,5,13,62,154,14,28,39,0,7,6
"Dooly County School District, Georgia","1301800",14053,549,2073,1334,1530,1989,1987,1069,430,633,1488,971,11877,540,2025,1104,1104,1582,1583,841,420,471,1349,858,1622,9,46,141,294,228,317,210,8,155,125,89,11,0,2,0,4,2,1,0,2,0,0,0,543,0,0,89,128,177,86,18,0,7,14,24
"Douglas County School District, Georgia","1301860",140152,8968,28318,12794,17441,20373,21306,8924,3198,3883,9813,5134,71953,7328,18628,7408,8971,7863,8495,3718,955,1770,4160,2657,54594,1483,8698,4512,6352,8861,9841,4312,1810,1772,4808,2145,1683,143,247,113,250,401,285,66,76,18,68,16,11922,14,745,761,1868,3248,2685,828,357,323,777,316
"Dublin City School District, Georgia","1301870",15889,1256,2564,1716,1937,1870,1948,1038,498,506,1329,1227,13115,1196,2258,1508,1581,1475,1437,804,379,398,1095,984,2345,38,276,208,262,322,471,142,101,100,205,220,13,0,0,0,0,0,6,0,7,0,0,0,416,22,30,0,94,73,34,92,11,8,29,23
"Laurens County School District, Georgia","1301890",31562,1946,6015,2331,3908,3947,4204,2161,661,1226,3091,2072,25990,1847,5423,2015,3178,3090,3176,1570,514,973,2455,1749,4843,99,573,289,474,660,953,542,146,235,580,292,202,0,0,25,90,30,34,5,0,18,0,0,527,0,19,2,166,167,41,44,1,0,56,31
"Early County School District, Georgia","1301920",10405,666,1916,858,1066,1213,1390,557,320,498,1089,832,7913,505,1530,579,693,905,1109,440,246,377,844,685,2207,150,337,277,327,224,218,117,44,121,245,147,20,0,0,0,20,0,0,0,0,0,0,0,265,11,49,2,26,84,63,0,30,0,0,0
"Echols County School District, Georgia","1301950",4011,213,927,240,441,678,604,227,103,141,232,205,2634,207,853,180,193,321,342,161,52,97,109,119,930,6,74,60,92,178,163,66,51,36,123,81,131,0,0,0,30,43,50,0,0,8,0,0,316,0,0,0,126,136,49,0,0,0,0,5
"Effingham County School District, Georgia","1301980",57087,3905,11470,4910,7499,8224,8109,3909,1195,1598,4109,2159,35232,3408,8337,3064,4683,3924,4093,2312,566,893,2344,1608,19284,438,2710,1662,2539,3621,3516,1387,602,667,1617,525,895,43,236,50,38,153,258,66,17,7,25,2,1676,16,187,134,239,526,242,144,10,31,123,24
"Fannin County School District, Georgia","1302100",24480,967,3289,1568,2104,2488,3191,2073,886,1308,4062,2544,12363,737,2690,1136,1176,896,964,660,415,330,1926,1433,11448,230,570,416,878,1405,2139,1353,432,973,1968,1084,184,0,0,0,23,16,26,49,23,5,42,0,485,0,29,16,27,171,62,11,16,0,126,27
"Elbert County School District, Georgia","1302010",19288,1154,3094,1571,2181,2232,2618,1346,562,813,2120,1597,14789,1087,2535,1230,1593,1675,1975,892,538,571,1520,1173,3976,67,503,302,515,360,552,417,24,234,598,404,41,0,0,0,0,16,14,1,0,0,0,10,482,0,56,39,73,181,77,36,0,8,2,10
"Emanuel County School District, Georgia","1302040",22502,1505,4172,2010,2901,2686,2906,1540,550,779,2056,1397,18978,1464,3773,1676,2490,2059,2369,1214,428,637,1680,1188,2965,41,372,308,349,429,408,291,76,127,369,195,113,0,21,0,0,42,0,20,30,0,0,0,446,0,6,26,62,156,129,15,16,15,7,14
"Evans County School District, Georgia","1302070",10757,793,2053,756,1532,1213,1426,724,247,299,996,718,8038,766,1827,587,931,910,853,490,155,224,684,611,2258,27,226,150,529,256,393,199,92,57,232,97,54,0,0,0,5,9,18,4,0,18,0,0,407,0,0,19,67,38,162,31,0,0,80,10
"Fayette County School District, Georgia","1302130",110306,4823,21392,9824,9177,12420,17984,9409,3087,3953,11577,6660,46936,4054,13692,5287,3805,3869,4946,2568,772,1427,3801,2715,50448,622,6664,3487,3910,6026,10341,5523,1928,2040,6519,3388,1884,59,315,97,233,361,340,177,38,76,109,79,11038,88,721,953,1229,2164,2357,1141,349,410,1148,478
"Fort Stewart School District, Georgia","1300003",9725,1757,1956,2599,2390,781,207,21,0,9,5,0,2100,842,530,221,262,142,91,4,0,3,5,0,6884,855,1375,2206,1850,483,96,13,0,6,0,0,327,60,51,104,75,22,15,0,0,0,0,0,414,0,0,68,203,134,5,4,0,0,0,0
"Appling County School District, Georgia","1300060",18471,1331,3304,1470,2308,2015,2590,1245,512,701,1825,1170,14486,1264,2928,1133,1323,1506,1882,912,419,571,1530,1018,3188,67,360,297,658,389,502,333,64,102,295,121,48,0,0,0,0,0,38,0,0,0,0,10,749,0,16,40,327,120,168,0,29,28,0,21
"Atkinson County School District, Georgia","1300090",8313,582,1737,752,1110,1010,1095,576,136,277,731,307,5960,533,1592,510,697,511,688,371,94,163,577,224,1322,49,114,176,179,180,173,125,39,86,118,83,11,0,0,0,0,0,0,11,0,0,0,0,1020,0,31,66,234,319,234,69,3,28,36,0
"Atlanta City School District, Georgia","1300120",465230,26852,60753,62992,94765,66137,56602,23698,9068,11950,31632,20781,245459,24538,50811,31772,39928,24998,22493,11233,4429,6377,16604,12276,182767,2086,8448,25188,43933,33939,28247,10901,4166,5072,13432,7355,4978,59,514,907,1323,936,745,246,66,15,93,74,32026,169,980,5125,9581,6264,5117,1318,407,486,1503,1076
"Bacon County School District, Georgia","1300150",11279,755,2154,916,1431,1557,1392,745,338,327,1000,664,8451,742,2064,660,948,1043,893,517,233,233,673,445,2174,13,73,179,319,303,391,176,105,94,314,207,73,0,0,0,13,36,0,12,0,0,0,12,581,0,17,77,151,175,108,40,0,0,13,0
