"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Polk County School District, Georgia","1304200",32463,4906,27557,5886,2926,6116,4163,3958,2322,772,1414,22876,3471,19405,4470,2071,4134,2881,2564,1658,628,999,6759,882,5877,1188,805,1164,753,994,459,107,407,84,0,84,16,0,6,20,0,16,18,8,2744,553,2191,212,50,812,509,400,189,19,0
"Gilmer County School District, Georgia","1302340",24714,2914,21800,4773,2818,4529,2746,3239,1526,619,1550,13428,1581,11847,2513,1636,2555,1419,1740,828,411,745,9191,940,8251,1822,893,1609,1087,1229,663,188,760,187,26,161,60,0,8,41,9,32,0,11,1908,367,1541,378,289,357,199,261,3,20,34
"Fulton County School District, Georgia","1302280",454392,69387,385005,57613,29807,53077,44119,51194,38675,16846,93674,140552,26163,114389,23442,10857,16056,14148,17596,11799,3890,16601,215105,24534,190571,24011,12914,23183,19866,25039,21097,9002,55459,6670,950,5720,925,402,705,523,747,632,289,1497,92065,17740,74325,9235,5634,13133,9582,7812,5147,3665,20117
"Franklin County School District, Georgia","1302250",18267,3087,15180,3735,2345,2753,2236,1791,1137,462,721,12458,2241,10217,2394,1711,1919,1459,1179,725,293,537,5001,606,4395,1232,548,728,651,576,389,116,155,121,36,85,12,0,8,42,0,4,0,19,687,204,483,97,86,98,84,36,19,53,10
"Gainesville City School District, Georgia","1302310",28397,4992,23405,4138,2961,5490,3613,2772,1823,711,1897,11785,2381,9404,2126,1209,1815,1240,1142,720,330,822,7525,710,6815,843,844,1132,1053,934,784,330,895,331,71,260,95,0,28,50,24,49,14,0,8756,1830,6926,1074,908,2515,1270,672,270,37,180
"Floyd County School District, Georgia","1302190",49044,7002,42042,9933,4387,7669,5324,5962,3721,1320,3726,33188,5085,28103,6631,2740,5197,3710,4169,2530,755,2371,12825,1345,11480,2670,1385,1922,1283,1556,939,485,1240,436,133,303,30,11,73,66,25,52,28,18,2595,439,2156,602,251,477,265,212,200,52,97
"Forsyth County School District, Georgia","1302220",161465,24304,137161,22023,9776,16144,12954,16786,13840,6783,38855,47842,7841,40001,8387,3538,5099,4252,5287,4192,1813,7433,79472,9645,69827,10161,4418,6974,5725,8894,7677,3637,22341,2532,414,2118,409,143,261,180,70,174,174,707,31619,6404,25215,3066,1677,3810,2797,2535,1797,1159,8374
"Glascock County School District, Georgia","1302370",2466,423,2043,367,299,443,307,315,182,60,70,2037,330,1707,275,258,364,291,280,134,48,57,403,88,315,83,39,78,15,35,48,4,13,12,0,12,9,2,1,0,0,0,0,0,14,5,9,0,0,0,1,0,0,8,0
"Glynn County School District, Georgia","1302400",67662,7872,59790,12302,6764,10089,7742,8586,4917,1830,7560,35899,4691,31208,7512,3779,5110,4470,4544,2392,977,2424,26471,2321,24150,4094,2382,3854,2712,3521,2215,765,4607,763,75,688,82,111,119,19,161,67,43,86,4529,785,3744,614,492,1006,541,360,243,45,443
"Gordon County School District, Georgia","1302430",32529,5102,27427,5127,3378,5389,4544,4529,2022,712,1726,20816,3449,17367,3346,2107,3443,2703,2805,1384,450,1129,9140,1195,7945,1627,1239,1265,1216,1324,547,238,489,226,33,193,43,3,78,24,5,16,24,0,2347,425,1922,111,29,603,601,395,75,0,108
