"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Decatur City School District, Georgia","1301680",51292,29575,66425,37188,22262
"Decatur County School District, Georgia","1301710",23185,21797,24394,38056,30066
"Dougherty School District, Georgia","1301830",20496,18897,24516,26051,25163
"DeKalb County School District, Georgia","1301740",29237,25690,36191,31312,22974
"Dodge County School District, Georgia","1301770",22032,23104,18640,10000,18618
"Douglas County School District, Georgia","1301860",28276,25342,31352,34434,30197
"Laurens County School District, Georgia","1301890",23168,22504,23760,35847,24264
"Effingham County School District, Georgia","1301980",31002,29225,32714,42042,31956
"Fannin County School District, Georgia","1302100",22423,20705,24045,36434,23611
"Emanuel County School District, Georgia","1302040",20155,20123,19025,10917,26875
"Fayette County School District, Georgia","1302130",40369,32106,47217,41773,37769
"Fort Stewart School District, Georgia","1300003",26104,28992,25827,25577,26940
"Atlanta City School District, Georgia","1300120",30477,20729,42031,43682,35239
"Barrow County School District, Georgia","1300290",26446,23499,32041,29097,26460
"Bartow County School District, Georgia","1300330",26114,25359,27426,37944,28047
"Ben Hill County School District, Georgia","1300360",20382,19848,21394,24737,25889
"Bibb County School District, Georgia","1300420",22449,21214,27239,28514,24358
"Brantley County School District, Georgia","1300480",19621,19000,19660,48523,28792
"Brooks County School District, Georgia","1300540",22725,20828,26575,27125,24375
"Buford City School District, Georgia","1300600",23756,21950,32164,33516,21039
"Bulloch County School District, Georgia","1300630",19236,17037,24293,20472,20884
"Burke County School District, Georgia","1300660",22002,21310,22030,42308,25276
"Butts County School District, Georgia","1300690",20465,19095,24832,44688,38125
"Calhoun City School District, Georgia","1300720",22932,19893,25711,18163,23489
"Camden County School District, Georgia","1300780",26796,26436,27462,26667,22687
"Carroll County School District, Georgia","1300840",24599,23520,25909,24268,25538
"Cartersville City School District, Georgia","1300900",27031,26024,31766,50481,21104
"Catoosa County School District, Georgia","1300930",26600,25575,26789,38918,23616
"Chatham County School District, Georgia","1301020",26788,23133,31990,30468,26763
"Cherokee County School District, Georgia","1301110",33998,28665,41517,38578,25693
"Clarke County School District, Georgia","1301170",17713,14231,23352,20443,20425
"Clayton County School District, Georgia","1301230",23909,21728,26831,22018,22253
"Coweta County School District, Georgia","1301500",32273,28562,41859,36919,23866
"Crawford County School District, Georgia","1301530",24334,22474,26307,26716,60865
"Colquitt County School District, Georgia","1301380",20306,21278,19461,25433,18363
"Cobb County School District, Georgia","1301290",35463,28782,41926,36788,29698
"Coffee County School District, Georgia","1301350",21613,21929,20485,27778,21614
"Columbia County School District, Georgia","1301410",34808,29741,39224,35561,27200
"Commerce City School District, Georgia","1301440",24652,22690,27500,31563,24526
"Cook County School District, Georgia","1301470",21268,21284,19703,26333,27313
"Dalton City School District, Georgia","1301620",23339,21003,26802,30447,23783
"Dawson County School District, Georgia","1301650",29370,26011,34196,43832,20957
"Pierce County School District, Georgia","1304140",22184,23535,20323,12125,21328
"Pike County School District, Georgia","1304170",27451,25647,33136,22083,31100
"Rabun County School District, Georgia","1304320",22195,21032,23974,19833,17057
"Richmond County School District, Georgia","1304380",21369,18919,24880,24984,22675
"Rome City School District, Georgia","1304440",21828,20692,26934,11838,22292
"Schley County School District, Georgia","1304470",25253,25605,26500,3229,6125
"Screven County School District, Georgia","1304500",21214,20142,26007,61429,24792
"Stephens County School District, Georgia","1304560",21022,20618,22112,24667,18845
"Stewart County School District, Georgia","1304590",17320,17373,24494,20673,11125
"Sumter County School District, Georgia","1304620",19785,18448,21372,26607,25960
"Talbot County School District, Georgia","1304650",20251,19063,24826,24167,21786
"Tattnall County School District, Georgia","1304770",20864,20007,23300,17083,16650
"Thomas County School District, Georgia","1304890",23847,22179,26816,21250,25272
"Treutlen County School District, Georgia","1305100",20354,21427,17259,18750,26402
"Turner County School District, Georgia","1305190",23609,23440,21741,42589,26250
"Union County School District, Georgia","1305250",22709,19973,22946,58188,28196
"Upson County School District, Georgia","1305280",20313,20250,21906,18591,16713
"Valdosta City School District, Georgia","1305310",18567,16219,22586,24564,20213
"Vidalia City School District, Georgia","1305340",19107,18394,21012,51810,17762
"Walker County School District, Georgia","1305370",22023,20738,23467,35300,30234
"Walton County School District, Georgia","1305390",28077,26090,33574,21510,26786
"Washington County School District, Georgia","1305490",19270,19644,17761,54250,11747
"Wayne County School District, Georgia","1305550",21289,22729,18450,24446,9962
"Whitfield County School District, Georgia","1305700",23871,22779,26851,28254,23011
"White County School District, Georgia","1305670",23008,23529,23106,7619,14545
"Wilkes County School District, Georgia","1305760",19294,19844,16950,30227,17043
"Wilkinson County School District, Georgia","1305790",21289,20457,26400,75114,21875
"Worth County School District, Georgia","1305850",21579,20659,23632,65583,31750
"Remainder of Georgia, Georgia","1399999",22054,23472,21550,23286,30273
"Troup County School District, Georgia","1300001",22787,21139,26533,29490,22039
"Greene County School District, Georgia","1302490",22750,18460,38032,28669,21477
"Spalding County School District, Georgia","1302520",21887,20508,25966,27227,23467
"Gwinnett County School District, Georgia","1302550",30718,28978,36897,31227,26156
"Habersham County School District, Georgia","1302580",22785,21640,24138,26438,24167
"Hall County School District, Georgia","1302610",26725,25312,33702,24089,22966
