"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Abbeville County, South Carolina","45001",17118,4168,5568,5246,1377,759,12828,3304,4338,3791,911,484,3939,774,1168,1371,423,203,157,38,25,57,30,7,194,52,37,27,13,65
"Aiken County, South Carolina","45003",109090,16979,34406,31681,16564,9460,45262,9244,16913,12031,4562,2512,58270,5965,16462,18378,11220,6245,1042,160,157,419,212,94,4516,1610,874,853,570,609
"Allendale County, South Carolina","45005",7092,1851,2618,1546,768,309,5639,1622,2137,1080,602,198,1317,145,445,450,166,111,16,13,0,3,0,0,120,71,36,13,0,0
"Anderson County, South Carolina","45007",126628,23603,41876,37762,15618,7769,80461,17101,27936,23435,8315,3674,40771,5061,12542,13163,6463,3542,1223,367,304,195,305,52,4173,1074,1094,969,535,501
"Bamberg County, South Carolina","45009",10227,2330,2934,3206,1212,545,7912,2001,2187,2394,923,407,2074,272,671,784,255,92,37,0,16,21,0,0,204,57,60,7,34,46
"Barnwell County, South Carolina","45011",14607,3055,5867,3904,1282,499,10959,2456,4423,2755,954,371,3367,531,1377,1053,278,128,85,0,22,63,0,0,196,68,45,33,50,0
"Beaufort County, South Carolina","45013",111678,10231,27706,32435,25191,16115,21776,3290,8201,5541,2881,1863,75440,3421,15049,23476,20473,13021,1484,130,437,469,355,93,12978,3390,4019,2949,1482,1138
"Berkeley County, South Carolina","45015",115452,15897,38109,37770,15872,7804,50669,8856,19189,15121,4963,2540,54294,4332,16321,19687,9293,4661,1874,200,526,648,364,136,8615,2509,2073,2314,1252,467
"Calhoun County, South Carolina","45017",10618,1655,3839,3257,1398,469,7953,1185,3105,2381,1057,225,2447,356,723,845,288,235,19,0,11,8,0,0,199,114,0,23,53,9
"Charleston County, South Carolina","45019",236915,28864,51792,65216,58139,32904,107561,19226,30071,29369,18945,9950,110800,5571,17772,31985,35407,20065,2855,152,444,1008,854,397,15699,3915,3505,2854,2933,2492
"Cherokee County, South Carolina","45021",36326,9120,13530,9063,3444,1169,24104,6156,9448,5678,2104,718,10934,2424,3847,3087,1179,397,296,104,40,96,33,23,992,436,195,202,128,31
"Chester County, South Carolina","45023",22268,5039,8684,6075,1768,702,16076,3941,6694,4051,1008,382,5823,1039,1935,1907,696,246,55,0,11,33,11,0,314,59,44,84,53,74
"Chesterfield County, South Carolina","45025",30898,8175,11569,7449,2471,1234,21006,5768,8062,5177,1330,669,9032,2018,3238,2200,1087,489,31,2,15,10,0,4,829,387,254,62,54,72
