"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Abbeville County, South Carolina","45001",42.4,41.3,46.3,52,32.7
"Aiken County, South Carolina","45003",40.1,39.1,41,40.2,38.9
"Allendale County, South Carolina","45005",38.3,38.2,40,28.2,31.1
"Anderson County, South Carolina","45007",40,35.6,47.2,44.3,39.6
"Bamberg County, South Carolina","45009",38.9,38.3,45.7,25.9,35.6
"Barnwell County, South Carolina","45011",38.9,37.4,44,42.1,42
"Beaufort County, South Carolina","45013",41.2,23,50.2,32.1,35.8
"Berkeley County, South Carolina","45015",34.6,28.4,39.6,30.7,38.2
"Calhoun County, South Carolina","45017",43.9,41.5,51.3,51.1,45
"Charleston County, South Carolina","45019",35.8,30.3,40.6,36.6,35.5
"Cherokee County, South Carolina","45021",38.2,36.2,41.7,41.6,37.7
"Chester County, South Carolina","45023",40.3,37.9,44.6,48.1,55.6
"Chesterfield County, South Carolina","45025",39.2,39.7,38.5,21.8,36.7
"Clarendon County, South Carolina","45027",41.9,38.2,49.5,32.3,40.3
"Colleton County, South Carolina","45029",41,37.2,50.9,21.5,33.4
"Darlington County, South Carolina","45031",39.3,37.6,47.1,42.7,36
"Dillon County, South Carolina","45033",37.5,36.3,41.3,41.5,38.8
"Dorchester County, South Carolina","45035",35.6,28.3,41.4,31.5,40.3
"Edgefield County, South Carolina","45037",40.6,43,38.4,45,35.7
"Fairfield County, South Carolina","45039",42.5,40.2,49.4,48.3,37.9
"Florence County, South Carolina","45041",37.5,34.7,44.2,37.8,36.1
"Georgetown County, South Carolina","45043",45.6,39.4,55,39.8,41.9
"Greenville County, South Carolina","45045",37.2,31,43.2,36.3,37.4
"Greenwood County, South Carolina","45047",38.3,35.5,45.4,43.7,31.6
"Hampton County, South Carolina","45049",38.9,38.8,39.3,35,36.8
"Horry County, South Carolina","45051",41.4,28.6,49.1,36.5,35.4
"Jasper County, South Carolina","45053",35.5,35.2,39.7,60.5,31.9
"Kershaw County, South Carolina","45055",40.8,36,45.9,39.7,41.4
"Lancaster County, South Carolina","45057",40.1,38.7,42.7,52,37.7
"Laurens County, South Carolina","45059",40.1,36.4,49.2,37.8,34.5
"Lee County, South Carolina","45061",38.4,37.2,40.7,40.5,31.1
"Lexington County, South Carolina","45063",37.7,32.5,44.6,39.6,35.9
"McCormick County, South Carolina","45065",49.9,45.6,55.9,55.1,61.8
"Marion County, South Carolina","45067",39.1,38.6,43.1,22.3,33.7
"Marlboro County, South Carolina","45069",39.1,39.7,38.4,35.6,38
"Newberry County, South Carolina","45071",39.9,38.8,48.7,50.2,32.4
"Oconee County, South Carolina","45073",43.2,37,51.1,39.9,36.6
"Orangeburg County, South Carolina","45075",37.9,37.1,41.5,32.7,36.2
"Pickens County, South Carolina","45077",34.8,31.4,40.8,24.6,32.8
"Richland County, South Carolina","45079",32.8,29.8,36.1,31.7,36.5
"Saluda County, South Carolina","45081",40.4,40.8,48.1,31.5,32.6
"Spartanburg County, South Carolina","45083",38,34.2,44.4,41.4,37.1
"Sumter County, South Carolina","45085",35.6,32.6,39.4,33.4,38.2
"Union County, South Carolina","45087",42.4,40.7,47,25.3,52.6
"Williamsburg County, South Carolina","45089",40.6,42.7,34.5,31.4,34.8
"York County, South Carolina","45091",37.2,33.3,39,40.8,40
