"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Abbeville County, South Carolina","45001",25387,1525,4248,2496,2395,3105,3621,1985,571,1143,2402,1896,19874,1479,3702,1865,1862,2176,2557,1524,392,863,1952,1502,5053,46,490,578,448,847,1011,432,164,260,422,355,169,0,12,0,0,42,52,7,15,0,11,30,291,0,44,53,85,40,1,22,0,20,17,9
"Aiken County, South Carolina","45003",160169,9808,26788,14483,19303,19670,23691,11536,4289,5687,14330,10584,69115,5182,12387,6284,7661,8195,10161,4926,1743,2355,5347,4874,84123,4602,13680,7571,10381,9882,12496,6260,2351,3199,8268,5433,1477,24,240,171,194,283,263,69,39,24,113,57,5454,0,481,457,1067,1310,771,281,156,109,602,220
"Allendale County, South Carolina","45005",10399,600,1711,996,1412,1424,1430,702,429,288,838,569,8510,588,1441,842,1063,1032,1158,645,373,252,662,454,1697,12,235,133,290,335,252,57,56,36,176,115,27,0,0,11,13,3,0,0,0,0,0,0,165,0,35,10,46,54,20,0,0,0,0,0
"Anderson County, South Carolina","45007",187228,11857,32871,15872,21380,24898,27584,12780,4665,6680,16297,12344,130452,11091,27138,11762,14037,15907,16433,8293,3006,4099,10344,8342,50224,632,5260,3561,6120,7560,9824,4085,1479,2364,5575,3764,1457,0,103,131,190,352,360,150,8,68,36,59,5095,134,370,418,1033,1079,967,252,172,149,342,179
"Bamberg County, South Carolina","45009",15941,920,2614,2180,1567,1654,2180,1146,494,596,1451,1139,12719,797,2367,1643,1197,1386,1580,839,381,485,1129,915,2969,123,247,525,263,212,567,307,113,90,298,224,37,0,0,0,21,0,16,0,0,0,0,0,216,0,0,12,86,56,17,0,0,21,24,0
"Barnwell County, South Carolina","45011",22523,1459,4284,2173,2322,2746,3356,1743,663,589,1813,1375,17461,1158,3525,1819,1823,2036,2502,1334,487,424,1298,1055,4653,301,733,252,466,615,819,407,176,148,427,309,117,0,26,6,0,56,0,0,0,0,29,0,292,0,0,96,33,39,35,2,0,17,59,11
"Beaufort County, South Carolina","45013",162316,10665,23263,16710,20043,17286,18500,9820,4941,7420,20494,13174,45300,8293,11697,3534,4860,3547,4583,2294,914,940,2928,1710,98002,2195,9787,10580,10414,9979,11922,6726,3793,5918,16316,10372,2233,103,274,372,432,275,418,136,30,106,29,58,16781,74,1505,2224,4337,3485,1577,664,204,456,1221,1034
"Berkeley County, South Carolina","45015",179773,13111,31914,19296,26585,24974,25129,10662,4456,5252,11924,6470,93604,10667,21978,10290,10961,10702,10247,5108,2185,2423,5577,3466,72768,2172,8677,7625,12486,11504,12797,4907,2067,2332,5495,2706,2867,195,571,227,706,614,335,109,37,52,21,0,10534,77,688,1154,2432,2154,1750,538,167,445,831,298
"Calhoun County, South Carolina","45017",15134,894,2400,1222,1502,1844,2394,1245,435,685,1518,995,12063,829,2230,1051,1250,1259,1772,949,337,497,1088,801,2823,65,170,141,213,531,533,276,98,188,414,194,19,0,0,0,8,0,11,0,0,0,0,0,229,0,0,30,31,54,78,20,0,0,16,0
"Charleston County, South Carolina","45019",352548,22896,50447,42290,56262,43643,48209,23014,9019,11249,25735,19784,186821,19858,37826,21576,22973,17857,22803,11953,4188,5356,12231,10200,142392,2626,11044,17922,26932,21287,22322,9811,4403,5499,11875,8671,3949,115,421,558,725,844,755,217,114,71,88,41,19386,297,1156,2234,5632,3655,2329,1033,314,323,1541,872
