"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Abbeville County, South Carolina","45001",19286,18771,19857,60489,22143
"Aiken County, South Carolina","45003",24576,21912,27339,28553,19773
"Allendale County, South Carolina","45005",17407,16321,20755,21125,19926
"Anderson County, South Carolina","45007",22841,21522,25789,26323,24239
"Bamberg County, South Carolina","45009",18244,18210,18342,2499,20123
"Barnwell County, South Carolina","45011",19818,19624,21510,36193,9788
"Beaufort County, South Carolina","45013",27635,20300,32191,23427,20633
"Berkeley County, South Carolina","45015",25655,22438,29813,32903,19715
"Calhoun County, South Carolina","45017",23503,22547,25161,82841,35625
"Charleston County, South Carolina","45019",26368,21484,33068,32490,21065
"Cherokee County, South Carolina","45021",19032,18289,20983,27500,16627
"Chester County, South Carolina","45023",19066,18009,21315,43472,26045
"Chesterfield County, South Carolina","45025",19391,19092,20060,23750,20572
"Clarendon County, South Carolina","45027",16840,16581,17856,10347,16250
"Colleton County, South Carolina","45029",18397,17544,20244,11905,21646
"Darlington County, South Carolina","45031",21046,20415,24104,19875,19055
"Dillon County, South Carolina","45033",16222,16333,16778,17344,7181
"Dorchester County, South Carolina","45035",28084,24849,32961,25904,22185
"Edgefield County, South Carolina","45037",21451,19075,26308,98657,15391
"Fairfield County, South Carolina","45039",20418,19642,24824,40781,21389
"Florence County, South Carolina","45041",21954,20602,28036,31266,22167
"Georgetown County, South Carolina","45043",21384,17960,27827,27500,18179
"Greenville County, South Carolina","45045",25349,22552,30295,25779,20461
"Greenwood County, South Carolina","45047",21002,20528,22114,35156,19306
"Hampton County, South Carolina","45049",18185,18833,17272,9554,16942
"Horry County, South Carolina","45051",22222,19742,24948,23006,18474
"Jasper County, South Carolina","45053",20325,20134,21726,21453,17303
"Kershaw County, South Carolina","45055",23925,23168,27001,20500,18534
"Lancaster County, South Carolina","45057",22326,19767,27025,4756,25412
"Laurens County, South Carolina","45059",20738,20508,21707,42614,17534
"Lee County, South Carolina","45061",16614,16116,18575,9861,20357
"Lexington County, South Carolina","45063",29125,27613,31913,31500,20739
"McCormick County, South Carolina","45065",21285,17866,27294,26053,20000
"Marion County, South Carolina","45067",17042,16091,21484,5563,22510
"Marlboro County, South Carolina","45069",16822,16031,20306,14750,14583
"Newberry County, South Carolina","45071",23335,22286,26088,34018,22124
"Oconee County, South Carolina","45073",21807,19055,26394,20337,21909
"Orangeburg County, South Carolina","45075",18607,17859,20034,24844,24306
"Pickens County, South Carolina","45077",18894,18052,20259,20708,17507
"Richland County, South Carolina","45079",25081,22808,28254,30048,22474
"Saluda County, South Carolina","45081",20515,20850,19851,19089,19779
"Spartanburg County, South Carolina","45083",22162,20392,26944,26000,20528
"Sumter County, South Carolina","45085",22066,19002,30173,27768,20766
"Union County, South Carolina","45087",19429,18652,21516,9000,18500
"Williamsburg County, South Carolina","45089",15565,16282,13093,8720,14250
"York County, South Carolina","45091",27261,22793,31213,41341,23345
