"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Abbeville County, South Carolina","45001",20653,2775,17878,4565,2524,3741,2819,1922,1388,412,507,15538,2134,13404,3391,2033,2803,2134,1458,1080,203,302,4711,600,4111,1091,491,845,646,430,262,207,139,157,0,157,28,0,8,7,18,36,0,60,247,41,206,55,0,85,32,16,10,2,6
"Aiken County, South Carolina","45003",129785,20050,109735,24050,12638,18779,15034,14856,8979,3689,11710,54750,9325,45425,10876,5378,8773,6658,6055,3242,1209,3234,68766,9506,59260,12047,6634,8989,7809,8366,5361,2320,7734,1250,112,1138,303,146,58,141,64,99,43,284,5019,1107,3912,824,480,959,426,371,277,117,458
"Allendale County, South Carolina","45005",8524,3000,5524,1510,992,1207,599,441,468,137,170,6848,2461,4387,1249,833,939,491,297,322,137,119,1484,487,997,256,142,209,59,134,146,0,51,27,16,11,1,0,10,0,0,0,0,0,165,36,129,4,17,49,49,10,0,0,0
"Anderson County, South Carolina","45007",150119,19658,130461,28088,16184,24955,19561,17542,11079,3961,9091,98367,13742,84625,19438,10992,16427,12977,11266,6545,2290,4690,45644,5025,40619,7658,4703,7406,5591,5632,4101,1590,3938,1380,115,1265,311,54,195,305,148,135,26,91,4728,776,3952,681,435,927,688,496,298,55,372
"Bamberg County, South Carolina","45009",13093,2640,10453,3058,1290,2045,1470,1244,570,376,400,10135,1902,8233,2196,1185,1533,1243,990,435,344,307,2705,732,1973,787,88,420,215,238,129,27,69,37,0,37,21,0,0,0,16,0,0,0,216,6,210,54,17,92,12,0,6,5,24
"Barnwell County, South Carolina","45011",17874,3652,14222,3797,1877,2540,1770,1895,1116,380,847,13615,2857,10758,2915,1429,1984,1349,1439,816,307,519,3864,763,3101,721,405,534,419,392,283,73,274,103,12,91,14,21,0,0,22,0,0,34,292,20,272,147,22,22,2,42,17,0,20
"Beaufort County, South Carolina","45013",133549,13046,120503,22405,13253,19683,16064,16444,11513,4423,16718,27609,3928,23681,6345,3247,3959,3411,2687,1738,777,1517,88201,6702,81499,13221,7389,12229,10236,12010,8957,3395,14062,1965,247,1718,410,193,312,226,217,134,77,149,15774,2169,13605,2429,2424,3183,2191,1530,684,174,990
"Berkeley County, South Carolina","45015",142187,19821,122366,25176,12952,21578,17456,18672,12066,3756,10710,65558,10428,55130,13339,6132,9809,8250,8219,4688,1322,3371,64365,7182,57183,9811,5465,9410,8078,8964,6561,2202,6692,2260,521,1739,208,178,281,278,339,133,104,218,10004,1690,8314,1818,1177,2078,850,1150,684,128,429
"Calhoun County, South Carolina","45017",12425,1582,10843,2367,1422,1875,1752,1604,777,271,775,9516,1342,8174,1913,992,1445,1389,1146,586,210,493,2661,222,2439,426,385,395,363,369,172,61,268,19,0,19,0,8,0,0,0,0,0,11,229,18,211,28,37,35,0,89,19,0,3
"Charleston County, South Carolina","45019",290587,34715,255872,53890,25764,42104,36140,35856,21802,8458,31858,137262,19155,118107,30320,14336,21283,17316,14942,8019,2845,9046,131582,12443,119139,20387,9007,16360,16444,18637,12502,5064,20738,3449,358,3091,423,319,518,360,577,286,132,476,18294,2759,15535,2760,2102,3943,2020,1700,995,417,1598
"Cherokee County, South Carolina","45021",44070,6231,37839,10293,4978,7901,5158,4717,2538,735,1519,29626,4124,25502,7480,3346,5114,3469,3022,1628,528,915,12868,1920,10948,2378,1524,2501,1442,1510,852,179,562,336,12,324,114,0,23,81,73,33,0,0,1240,175,1065,321,108,263,166,112,25,28,42
"Chester County, South Carolina","45023",26572,4689,21883,5564,3305,4319,3013,2717,1559,527,879,19531,3501,16030,4268,2502,3140,2273,1990,1024,327,506,6672,1187,5485,1241,786,1118,622,705,503,155,355,55,0,55,0,0,2,12,19,11,0,11,314,1,313,55,17,59,106,3,21,45,7
"Chesterfield County, South Carolina","45025",37034,5801,31233,7956,4597,6404,4647,4161,1654,523,1291,24986,4035,20951,5158,3373,4326,3149,2774,1048,303,820,10995,1626,9369,2604,1195,1667,1426,1249,594,186,448,40,2,38,9,0,10,19,0,0,0,0,1013,138,875,185,29,401,53,138,12,34,23
"Clarendon County, South Carolina","45027",28473,4806,23667,7297,3428,4386,3316,2557,1236,418,1029,20682,3648,17034,5236,2586,3227,2388,1787,767,329,714,7238,1084,6154,1900,765,1089,865,709,435,76,315,105,36,69,32,18,0,0,0,19,0,0,448,38,410,129,59,70,63,61,15,13,0
"Colleton County, South Carolina","45029",31014,4730,26284,7161,3746,5410,3385,3101,1736,421,1324,22435,3696,18739,5283,2688,3798,2395,2290,1243,258,784,7650,851,6799,1736,972,1401,881,682,452,152,523,100,42,58,13,21,0,0,17,0,7,0,829,141,688,129,65,211,109,112,41,4,17
"Darlington County, South Carolina","45031",54966,8625,46341,11202,6526,8598,6872,5795,3362,1147,2839,43316,6904,36412,9091,5231,6706,5620,4509,2463,918,1874,10433,1475,8958,1953,1064,1625,1147,1163,872,229,905,203,70,133,33,24,55,0,9,4,0,8,1014,176,838,125,207,212,105,114,23,0,52
"Dillon County, South Carolina","45033",24740,4354,20386,6018,3489,4664,2678,1680,1063,330,464,19907,3595,16312,4660,2904,3720,2156,1374,906,235,357,4162,646,3516,1054,529,813,518,281,157,57,107,59,0,59,9,13,8,4,25,0,0,0,612,113,499,295,43,123,0,0,0,38,0
