"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Abbeville County, South Carolina","45001",24545,5101,2951,16493,19307,4140,2293,12874,4792,843,650,3299,169,23,8,138,277,95,0,182
"Aiken County, South Carolina","45003",157406,29783,15588,112035,67585,15658,7857,44070,82994,12237,7244,63513,1445,191,183,1071,5382,1697,304,3381
"Allendale County, South Carolina","45005",9222,3349,1255,4618,7694,2961,1060,3673,1354,371,186,797,10,0,0,10,164,17,9,138
"Anderson County, South Carolina","45007",184184,29897,21032,133255,128302,22565,15069,90668,49434,6311,4885,38238,1426,259,120,1047,5022,762,958,3302
"Bamberg County, South Carolina","45009",14973,4010,1806,9157,12134,3225,1425,7484,2603,710,375,1518,37,0,0,37,199,75,6,118
"Barnwell County, South Carolina","45011",22200,6381,2295,13524,17157,5231,1751,10175,4634,965,515,3154,117,6,29,82,292,179,0,113
"Beaufort County, South Carolina","45013",154882,18023,13759,123100,44507,8746,5702,30059,92009,6051,5355,80603,2010,147,245,1618,16356,3079,2457,10820
"Berkeley County, South Carolina","45015",176012,25112,17048,133852,92577,15318,10336,66923,70205,7413,5151,57641,2796,234,183,2379,10434,2147,1378,6909
"Calhoun County, South Carolina","45017",15016,2729,1988,10299,11959,2233,1634,8092,2809,473,315,2021,19,0,8,11,229,23,31,175
"Charleston County, South Carolina","45019",341346,60386,31468,249492,181789,38810,20038,122941,136885,17362,8159,111364,3767,561,388,2818,18905,3653,2883,12369
"Cherokee County, South Carolina","45021",54390,12415,7313,34662,38300,9259,4934,24107,14415,2743,1988,9684,313,13,66,234,1362,400,325,637
"Chester County, South Carolina","45023",32526,7814,4258,20454,24669,6428,3278,14963,7501,1338,964,5199,58,0,3,55,298,48,13,237
"Chesterfield County, South Carolina","45025",45624,11189,5949,28486,30827,7751,4209,18867,13700,3162,1577,8961,65,11,0,54,1032,265,163,604
"Clarendon County, South Carolina","45027",33145,7568,5186,20391,25141,6027,3961,15153,7466,1376,1120,4970,89,8,39,42,449,157,66,226
