"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Colorado","08",36.9,24.2,45.8,36.1,42
"Indiana","18",37.8,34.2,45.7,35.8,39.6
"Kentucky","21",39.1,37.1,43.9,36.4,38.7
"Louisiana","22",37.3,35.5,44.8,41.4,40.6
"Illinois","17",38.3,32.9,47.1,41.4,45.7
"Iowa","19",38.1,37.2,40.7,35.1,37.6
"New Hampshire","33",43.1,28.9,50.8,41.8,46
"Arkansas","05",38.1,33.1,46.5,42.1,39.7
"Delaware","10",41.1,28.3,51.9,47,41.6
"Minnesota","27",38.2,35,45.9,33,38.2
"Montana","30",40.1,33.1,48,40.7,44.6
"Maine","23",45.1,40,51.3,48,46.4
"North Carolina","37",38.9,32.7,45.4,38.3,41
"Georgia","13",36.8,28.6,45,36.5,42.4
"Alaska","02",34.9,21.2,45.6,31.7,46.9
"Alabama","01",39.3,36.3,46,41.3,40.2
"Vermont","50",43.1,37,48.4,45.1,46.8
"Nevada","32",38.2,14.6,46.7,37.7,46.7
"West Virginia","54",42.8,42.2,43.8,44.5,43.7
"Oklahoma","40",36.7,31.2,45.4,39,40.5
"Wisconsin","55",39.6,37.4,46.2,36,40.5
"Virginia","51",38.3,29.3,45.9,35.6,42.6
"North Dakota","38",35.4,36.1,34.7,26.9,35.7
"South Carolina","45",39.7,33.6,46.4,40.7,42
"Oregon","41",39.6,28.3,49.1,38.6,43.1
"Wyoming","56",38.5,28.7,46.3,35.5,40
"California","06",36.7,25.7,54.1,36.3,48
"Mississippi","28",37.7,35.1,43.9,36.7,39.1
"Connecticut","09",41.1,32.8,49.7,44.1,45
"Texas","48",34.9,26.7,44.8,35.5,43.4
"Maryland","24",38.8,28.4,47.5,37.2,43.7
"Florida","12",42.2,22.1,55.8,41.2,48.4
"Massachusetts","25",39.5,35.1,44.4,40.6,43.7
"District of Columbia","11",33.9,27.5,35,36.6,39.6
"Utah","49",31,24.7,39.1,35.7,40.5
"New York","36",39,33,40.6,47.3,47.5
"New Jersey","34",40,29.2,50.3,46.6,45.9
"Ohio","39",39.5,36.7,49.5,37.2,41
"Missouri","29",38.8,35.2,46.9,39.3,39.7
"Pennsylvania","42",40.8,39.5,43.9,40.4,42.7
"Michigan","26",39.8,37,51.1,35.1,43.2
"Nebraska","31",36.7,33.5,42.4,34.9,37.8
"Idaho","16",36.8,24.8,45.9,35.2,43.9
"New Mexico","35",38.1,29.1,51,36.8,45.5
"Hawaii","15",39.3,34.3,38.9,31.8,49.8
"South Dakota","46",37.2,34.1,43.2,45.2,32.7
"Washington","53",37.7,27.4,46.8,36.2,42.1
"Rhode Island","44",40,35.4,44.6,37.5,46
"Arizona","04",38,20.2,52.2,39.1,45.5
"Tennessee","47",38.9,32.9,46.6,39.3,38.6
"Kansas","20",37.1,31.4,44.7,32.7,40.6
