"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Colorado","08",3900287,317116,812615,1145007,1013989,611560,1162045,82502,321841,379275,262239,116188,2197803,92966,374069,657184,655580,418004,68223,4838,14741,18914,17814,11916,472216,136810,101964,89634,78356,65452
"Indiana","18",4467893,491834,1480040,1284953,771811,439255,2779813,275593,1014483,821705,455207,212825,1366263,131470,390496,409877,262605,171815,33872,4828,8652,11509,4901,3982,287945,79943,66409,41862,49098,50633
"Kentucky","21",3039414,401064,990911,893654,442090,311695,1969266,278008,704459,574251,246466,166082,909881,86859,249498,284944,168563,120017,25631,2158,6038,9360,4345,3730,134636,34039,30916,25099,22716,21866
"Louisiana","22",3125733,442559,1071772,852749,496634,262019,2326956,347259,850810,632919,332339,163629,614543,51500,171278,182188,131171,78406,24362,2287,7822,6665,6011,1577,159872,41513,41862,30977,27113,18407
"Illinois","17",8706376,914782,2269285,2469625,1833666,1219018,5171658,356272,1482213,1686654,1041718,604801,1816258,131485,373452,471982,470983,368356,114655,20098,31521,27824,20706,14506,1603805,406927,382099,283165,300259,231355
"Iowa","19",2104792,162649,649269,682334,413442,197098,1404084,80507,475758,477297,266599,103923,550165,39207,139576,174639,125742,71001,12622,1541,2662,4233,2023,2163,137921,41394,31273,26165,19078,20011
"New Hampshire","33",970748,66510,269202,277457,217282,140297,309730,26793,108980,91763,54876,27318,576106,25925,141254,166724,145133,97070,15144,2212,4016,4139,3224,1553,69768,11580,14952,14831,14049,14356
"Arkansas","05",2021939,258986,686867,604811,296422,174853,1114261,138140,410664,326322,156269,82866,771274,74978,240699,252616,124743,78238,15356,1366,3143,6235,2921,1691,121048,44502,32361,19638,12489,12058
"Delaware","10",679700,69081,225797,171830,124178,88814,240383,22481,99132,61873,37912,18985,351473,23741,102825,95848,73063,55996,11065,1935,3671,3086,1282,1091,76779,20924,20169,11023,11921,12742
"Minnesota","27",3809229,252805,921287,1237009,920850,477278,2345357,108482,643331,841784,529212,222548,1045267,48492,196730,300360,311871,187814,30320,1981,5287,8641,8839,5572,388285,93850,75939,86224,70928,61344
"Montana","30",735761,45079,205496,251781,152448,80957,330145,21164,104214,114576,64310,25881,379165,20711,95140,129498,82606,51210,6907,312,1596,2139,1577,1283,19544,2892,4546,5568,3955,2583
"Maine","23",983382,68461,309259,295612,197489,112561,566252,44380,215330,173889,96586,36067,366285,16710,82570,108035,91060,67910,11968,458,2627,4104,2863,1916,38877,6913,8732,9584,6980,6668
"North Carolina","37",7102144,834880,1802360,2198103,1454678,812123,3434288,447032,1058589,1136180,554408,238079,2865476,173673,582989,908196,752029,448589,102231,9790,16926,36426,25427,13662,700149,204385,143856,117301,122814,111793
"Georgia","13",6978172,866099,1942122,1945918,1362317,861716,3171488,451491,1098434,899152,463781,258630,2790011,176737,623774,847729,686687,455084,104197,8096,23260,34113,23472,15256,912476,229775,196654,164924,188377,132746
"Alaska","02",485353,32444,137293,169188,89635,56793,133565,12920,51668,45002,16409,7566,287730,12730,66351,105518,60548,42583,9838,521,2408,3884,2008,1017,54220,6273,16866,14784,10670,5627
"Alabama","01",3337464,448179,1026976,1010272,536086,315951,2163217,311711,740157,650824,301797,158728,1004660,96978,251618,321452,204004,130608,34775,3357,6060,13534,7277,4547,134812,36133,29141,24462,23008,22068
